calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.7,10.4,0.4,0.0,5.1,,,,0.9,,,,,
2016-01-02,4.3,10.9,-0.3,0.0,2.0,,,,1.0,,,,,
2016-01-03,6.8,14.8,2.3,0.0,5.0,,,,1.1,,,,,
2016-01-04,7.2,14.7,3.7,0.0,4.5,,,,1.7,,,,,
2016-01-05,4.8,10.4,1.0,0.5,0.7,,,,0.7,,,,,
2016-01-06,5.6,10.8,2.5,0.0,3.0,,,,1.1,,,,,
2016-01-07,4.4,11.2,0.7,0.0,2.7,,,,0.9,,,,,
2016-01-08,2.3,8.0,-1.4,0.0,0.9,,,,1.1,,,,,
2016-01-09,2.1,8.8,-2.2,0.0,2.7,,,,0.8,,,,,
2016-01-10,2.7,10.6,-2.1,0.0,4.8,,,,1.0,,,,,
2016-01-11,4.4,10.9,0.3,0.0,4.7,,,,1.0,,,,,
2016-01-12,3.7,6.9,1.1,0.0,3.0,,,,1.7,,,,,
2016-01-13,2.3,7.4,-1.3,0.0,2.1,,,,1.1,,,,,
2016-01-14,1.7,8.0,-2.9,0.0,5.0,,,,1.3,,,,,
2016-01-15,1.8,8.3,-1.6,0.0,4.6,,,,0.9,,,,,
2016-01-16,2.0,9.2,-2.9,0.0,5.1,,,,1.2,,,,,
2016-01-17,2.4,7.4,-1.9,5.5,0.5,,,,1.3,,,,,
2016-01-18,5.1,11.1,1.2,15.5,1.1,,,,2.1,,,,,
2016-01-19,-1.2,1.6,-2.5,2.0,0.9,,,,2.6,,,,,
2016-01-20,0.5,6.3,-3.4,4.5,4.6,,,,1.9,,,,,
2016-01-21,1.2,5.5,-1.5,0.5,0.5,,,,0.7,,,,,
2016-01-22,2.4,6.4,0.2,0.0,4.1,,,,1.7,,,,,
2016-01-23,1.5,5.3,-1.1,0.0,0.8,,,,1.6,,,,,
2016-01-24,-3.6,-0.6,-6.1,0.0,3.4,,,,2.1,,,,,
2016-01-25,-2.2,3.3,-6.0,1.5,6.0,,,,1.3,,,,,
2016-01-26,-0.7,5.0,-5.9,0.0,0.9,,,,1.3,,,,,
2016-01-27,2.1,8.0,-2.0,0.0,2.0,,,,1.0,,,,,
2016-01-28,3.1,8.6,-1.8,4.5,1.5,,,,0.9,,,,,
2016-01-29,5.2,6.7,3.1,49.5,0.0,,,,2.2,,,,,
2016-01-30,5.4,7.4,4.0,2.0,0.5,,,,2.3,,,,,
2016-01-31,4.7,9.9,1.4,0.0,3.9,,,,1.4,,,,,
2016-02-01,3.7,6.5,1.9,0.5,0.1,,,,1.3,,,,,
2016-02-02,3.3,7.3,1.3,0.0,5.1,,,,2.3,,,,,
2016-02-03,2.5,6.2,-1.1,0.0,2.4,,,,1.2,,,,,
2016-02-04,3.6,9.9,-1.4,0.0,6.3,,,,1.4,,,,,
2016-02-05,2.9,9.5,-1.6,0.0,4.3,,,,1.1,,,,,
2016-02-06,2.6,9.8,-1.8,0.0,6.0,,,,1.3,,,,,
2016-02-07,1.1,5.7,-2.3,3.5,3.6,,,,1.4,,,,,
2016-02-08,1.2,8.0,-4.7,0.0,6.0,,,,1.5,,,,,
2016-02-09,3.2,8.6,-0.3,5.0,2.0,,,,1.7,,,,,
2016-02-10,2.5,8.6,-0.4,0.5,4.7,,,,1.3,,,,,
2016-02-11,3.5,13.2,-2.0,0.0,7.9,,,,1.3,,,,,
2016-02-12,8.2,15.1,-0.9,0.0,2.7,,,,2.1,,,,,
2016-02-13,13.6,16.3,10.7,34.0,0.0,,,,1.3,,,,,
2016-02-14,13.0,16.3,7.3,17.0,0.2,,,,2.1,,,,,
2016-02-15,3.0,7.4,0.0,3.5,0.8,,,,1.1,,,,,
2016-02-16,1.3,4.8,-2.1,0.0,2.8,,,,1.6,,,,,
2016-02-17,2.2,5.8,-1.4,0.0,1.8,,,,1.5,,,,,
2016-02-18,2.2,9.6,-3.1,0.0,8.1,,,,1.7,,,,,
2016-02-19,5.6,13.2,-1.5,0.0,5.1,,,,1.2,,,,,
2016-02-20,5.7,6.8,4.8,23.5,0.0,,,,1.2,,,,,
2016-02-21,4.1,7.2,0.4,0.0,2.6,,,,1.6,,,,,
2016-02-22,3.9,9.6,-1.1,0.0,3.9,,,,1.1,,,,,
2016-02-23,5.5,10.8,2.1,0.0,0.9,,,,1.0,,,,,
2016-02-24,2.4,5.5,0.3,0.0,3.1,,,,2.3,,,,,
2016-02-25,1.4,7.3,-2.6,0.0,4.9,,,,1.4,,,,,
2016-02-26,1.9,8.8,-3.2,0.0,5.5,,,,1.1,,,,,
2016-02-27,4.4,10.3,-0.8,0.0,3.4,,,,1.5,,,,,
2016-02-28,6.0,13.7,0.1,0.0,4.6,,,,1.6,,,,,
2016-02-29,5.0,9.1,-2.1,5.0,1.5,,,,1.7,,,,,
2016-03-01,-0.5,2.5,-2.3,2.5,1.9,,,,,,,,,
2016-03-02,2.0,10.1,-2.8,0.0,6.5,,,,1.0,,,,,
2016-03-03,5.3,15.4,-2.0,0.0,6.4,,,,1.0,,,,,
2016-03-04,7.8,16.2,0.0,0.0,3.8,,,,1.2,,,,,
2016-03-05,12.5,17.7,5.8,0.0,3.5,,,,2.7,,,,,
2016-03-06,15.2,17.1,13.3,4.0,0.0,,,,3.7,,,,,
2016-03-07,14.6,21.8,10.3,0.5,3.0,,,,1.7,,,,,
2016-03-08,12.2,18.6,8.7,0.0,1.9,,,,1.3,,,,,
2016-03-09,5.6,10.2,4.4,35.5,0.0,,,,2.4,,,,,
2016-03-10,5.0,8.4,3.3,0.0,0.6,,,,1.8,,,,,
2016-03-11,4.2,9.7,0.7,0.0,3.7,,,,2.1,,,,,
2016-03-12,4.2,10.5,-0.8,0.0,3.8,,,,1.6,,,,,
2016-03-13,5.5,11.6,-0.2,4.0,2.5,,,,1.4,,,,,
2016-03-14,5.2,9.0,3.8,6.0,0.8,,,,1.8,,,,,
2016-03-15,6.0,12.7,0.3,0.0,8.9,,,,1.6,,,,,
2016-03-16,5.1,13.3,-1.3,0.0,2.3,,,,1.6,,,,,
2016-03-17,9.0,20.0,0.2,0.0,8.9,,,,1.4,,,,,
2016-03-18,10.8,16.7,4.1,28.0,1.4,,,,2.2,,,,,
2016-03-19,13.6,19.6,8.2,20.5,4.4,,,,1.8,,,,,
2016-03-20,8.9,13.5,4.6,0.0,8.8,,,,2.6,,,,,
2016-03-21,7.6,14.5,1.8,0.0,9.3,,,,1.6,,,,,
2016-03-22,7.1,17.1,-1.4,0.0,6.9,,,,1.6,,,,,
2016-03-23,8.0,16.8,2.6,0.0,5.9,,,,2.0,,,,,
2016-03-24,6.4,10.5,4.0,0.0,3.5,,,,2.1,,,,,
2016-03-25,4.7,9.9,1.2,0.0,3.8,,,,1.2,,,,,
2016-03-26,5.2,13.2,-1.1,0.0,6.8,,,,1.2,,,,,
2016-03-27,7.0,14.1,0.0,0.0,4.5,,,,1.5,,,,,
2016-03-28,7.9,15.8,3.1,0.0,6.7,,,,1.3,,,,,
2016-03-29,8.5,16.5,0.1,0.0,5.8,,,,1.8,,,,,
2016-03-30,10.7,18.6,3.8,0.0,4.6,,,,1.5,,,,,
2016-03-31,12.8,20.2,6.5,0.0,5.5,,,,1.4,,,,,
2016-04-01,12.6,16.0,10.2,1.5,0.0,,,,1.2,,,,,
2016-04-02,14.7,21.4,8.6,0.0,6.0,,,,2.2,,,,,
2016-04-03,14.9,17.9,12.9,7.5,0.2,,,,1.1,,,,,
2016-04-04,13.1,15.8,10.1,6.5,0.5,,,,1.6,,,,,
2016-04-05,11.1,17.1,6.6,0.0,3.1,,,,1.3,,,,,
2016-04-06,12.9,21.5,5.2,0.5,8.8,,,,1.6,,,,,
2016-04-07,15.1,20.3,10.1,42.0,0.0,,,,2.6,,,,,
2016-04-08,12.7,21.0,7.8,0.0,4.2,,,,1.0,,,,,
2016-04-09,13.5,22.9,6.3,0.0,7.4,,,,1.5,,,,,
2016-04-10,13.3,21.0,7.7,0.0,0.3,,,,1.1,,,,,
2016-04-11,8.7,13.4,4.8,0.0,6.1,,,,2.1,,,,,
2016-04-12,9.0,16.8,0.5,0.0,8.0,,,,1.5,,,,,
2016-04-13,14.8,20.1,10.7,47.0,1.5,,,,1.8,,,,,
2016-04-14,16.6,22.7,12.6,0.0,7.8,,,,1.8,,,,,
2016-04-15,13.1,20.0,6.5,0.0,10.0,,,,1.6,,,,,
2016-04-16,14.1,23.4,3.8,0.0,9.7,,,,3.0,,,,,
2016-04-17,18.5,25.8,12.3,15.0,6.2,,,,5.1,,,,,
2016-04-18,12.5,17.0,8.0,0.0,0.0,,,,1.2,,,,,
2016-04-19,11.0,19.8,3.9,0.0,6.3,,,,1.6,,,,,
2016-04-20,13.1,21.5,3.9,0.0,9.6,,,,1.9,,,,,
2016-04-21,14.3,15.8,12.8,27.0,0.0,,,,2.7,,,,,
2016-04-22,17.9,24.7,13.3,0.0,8.5,,,,1.4,,,,,
2016-04-23,16.9,24.3,11.7,2.5,4.0,,,,1.4,,,,,
2016-04-24,15.4,22.1,10.5,0.5,5.7,,,,1.2,,,,,
2016-04-25,14.8,22.3,6.9,0.0,3.8,,,,1.1,,,,,
2016-04-26,17.6,27.4,9.7,0.0,9.9,,,,1.3,,,,,
2016-04-27,15.0,17.3,13.1,13.0,0.0,,,,0.6,,,,,
2016-04-28,13.8,16.8,10.9,15.5,0.0,,,,1.7,,,,,
2016-04-29,10.9,16.8,5.2,0.0,3.3,,,,1.7,,,,,
2016-04-30,11.9,21.7,3.1,0.0,9.5,,,,1.8,,,,,
2016-05-01,16.5,26.5,7.3,0.0,7.0,,,,1.6,,,,,
2016-05-02,18.8,28.4,9.5,0.0,10.2,,,,1.7,,,,,
2016-05-03,18.1,19.7,16.7,36.0,0.0,,,,6.4,,,,,
2016-05-04,16.6,22.3,11.3,0.0,5.3,,,,3.0,,,,,
2016-05-05,16.2,24.7,8.1,0.0,9.3,,,,1.3,,,,,
2016-05-06,13.5,15.4,11.1,7.5,0.0,,,,1.3,,,,,
2016-05-07,16.3,22.8,11.4,0.5,2.4,,,,1.5,,,,,
2016-05-08,15.9,25.1,7.7,0.0,9.5,,,,1.2,,,,,
2016-05-09,14.1,16.5,11.0,21.5,0.0,,,,0.2,,,,,
2016-05-10,17.5,20.1,15.2,11.5,0.0,,,,1.1,,,,,
2016-05-11,17.0,21.0,11.7,0.5,0.3,,,,1.5,,,,,
2016-05-12,16.5,25.8,9.2,0.0,10.4,,,,1.5,,,,,
2016-05-13,17.8,26.3,9.2,0.0,8.2,,,,1.9,,,,,
2016-05-14,19.6,27.5,13.5,0.0,10.5,,,,1.6,,,,,
2016-05-15,18.9,24.0,13.1,0.0,4.0,,,,2.6,,,,,
