calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.7,9.6,-0.4,0.5,4.0,,,,0.8,,,,,
2016-01-02,5.8,11.9,-0.3,0.0,5.3,,,,1.8,,,,,
2016-01-03,6.8,14.3,1.7,0.0,6.1,,,,1.3,,,,,
2016-01-04,6.6,14.9,2.4,0.0,3.6,,,,1.2,,,,,
2016-01-05,4.8,10.2,0.9,0.0,1.0,,,,0.8,,,,,
2016-01-06,5.3,11.4,1.4,0.0,3.0,,,,0.9,,,,,
2016-01-07,3.9,9.3,0.7,0.0,3.4,,,,0.9,,,,,
2016-01-08,1.9,8.6,-1.6,0.0,1.0,,,,0.9,,,,,
2016-01-09,1.9,8.9,-2.1,0.0,3.6,,,,0.9,,,,,
2016-01-10,2.2,9.4,-2.3,0.0,2.1,,,,1.0,,,,,
2016-01-11,4.5,10.7,0.4,0.0,4.8,,,,0.9,,,,,
2016-01-12,2.3,4.3,0.5,0.5,0.2,,,,1.6,,,,,
2016-01-13,1.8,7.3,-1.7,0.0,1.8,,,,1.1,,,,,
2016-01-14,1.7,8.0,-2.9,0.0,4.1,,,,1.0,,,,,
2016-01-15,1.7,6.5,-1.7,0.0,4.9,,,,1.0,,,,,
2016-01-16,1.0,6.7,-2.8,0.0,3.8,,,,1.0,,,,,
2016-01-17,1.7,6.8,-2.7,5.5,1.5,,,,1.1,,,,,
2016-01-18,2.9,9.2,0.3,17.5,1.1,,,,1.6,,,,,
2016-01-19,-1.8,0.8,-4.5,4.5,1.9,,,,,,,,,
2016-01-20,-0.8,2.5,-4.0,14.5,1.7,,,,1.4,,,,,
2016-01-21,0.1,3.0,-3.6,1.5,1.2,,,,,,,,,
2016-01-22,0.4,2.5,-0.6,1.0,0.5,,,,,,,,,
2016-01-23,0.4,3.5,-2.5,0.0,1.9,,,,,,,,,
2016-01-24,-4.5,-1.5,-6.9,0.0,4.4,,,,1.7,,,,,
2016-01-25,-2.5,3.9,-6.7,1.0,6.2,,,,1.3,,,,,
2016-01-26,-0.7,4.7,-6.3,0.0,2.7,,,,1.3,,,,,
2016-01-27,1.9,7.5,-2.1,0.0,4.3,,,,1.1,,,,,
2016-01-28,2.6,8.8,-2.5,3.0,1.9,,,,1.1,,,,,
2016-01-29,4.1,5.6,2.6,53.0,0.0,,,,2.0,,,,,
2016-01-30,4.0,5.6,3.2,4.0,0.2,,,,2.9,,,,,
2016-01-31,4.0,9.4,1.0,0.0,3.8,,,,1.2,,,,,
2016-02-01,2.2,3.9,1.0,1.0,0.0,,,,0.8,,,,,
2016-02-02,1.3,3.1,0.3,5.0,0.3,,,,0.8,,,,,
2016-02-03,1.0,4.1,-0.9,0.5,1.6,,,,,,,,,
2016-02-04,2.2,8.6,-2.3,0.0,5.1,,,,1.0,,,,,
2016-02-05,2.6,9.0,-1.7,0.0,5.1,,,,1.0,,,,,
2016-02-06,1.9,8.8,-1.9,1.0,4.6,,,,1.0,,,,,
2016-02-07,-0.7,2.6,-3.6,9.5,2.7,,,,1.7,,,,,
2016-02-08,0.2,8.3,-5.6,0.0,7.8,,,,1.2,,,,,
2016-02-09,2.1,7.8,-0.6,5.0,2.3,,,,1.6,,,,,
2016-02-10,0.8,5.3,-1.6,1.0,1.6,,,,,,,,,
2016-02-11,2.0,10.2,-3.0,0.0,8.8,,,,1.2,,,,,
2016-02-12,8.7,14.7,-1.4,0.0,3.5,,,,2.9,,,,,
2016-02-13,12.9,15.4,10.6,41.5,0.0,,,,1.9,,,,,
2016-02-14,12.2,15.8,6.6,27.5,0.0,,,,1.8,,,,,
2016-02-15,1.7,6.7,-0.5,5.5,0.0,,,,,,,,,
2016-02-16,0.8,5.2,-2.9,0.0,5.0,,,,,,,,,
2016-02-17,1.3,4.1,-2.0,0.0,1.0,,,,1.2,,,,,
2016-02-18,2.2,9.4,-3.9,0.0,9.4,,,,1.6,,,,,
2016-02-19,6.4,14.3,0.6,0.0,6.0,,,,1.8,,,,,
2016-02-20,5.1,6.0,4.3,23.0,0.0,,,,1.2,,,,,
2016-02-21,2.9,5.4,-0.2,0.5,2.1,,,,1.3,,,,,
2016-02-22,3.0,7.4,-1.6,0.0,2.6,,,,1.0,,,,,
2016-02-23,5.2,11.1,1.8,0.5,1.8,,,,1.0,,,,,
2016-02-24,0.2,4.1,-2.1,2.0,0.4,,,,1.9,,,,,
2016-02-25,0.1,5.2,-3.9,0.0,4.6,,,,1.0,,,,,
2016-02-26,1.2,7.8,-3.4,0.0,6.2,,,,1.2,,,,,
2016-02-27,4.3,11.7,-1.3,0.0,6.4,,,,1.8,,,,,
2016-02-28,7.0,13.9,1.1,0.0,6.9,,,,2.0,,,,,
2016-02-29,4.3,10.0,-2.3,9.5,1.0,,,,1.9,,,,,
2016-03-01,-1.7,1.2,-4.1,4.0,1.6,,,,1.1,,,,,
2016-03-02,1.2,8.1,-4.4,0.0,6.2,,,,1.1,,,,,
2016-03-03,5.9,14.3,-0.5,0.0,8.0,,,,1.5,,,,,
2016-03-04,8.2,16.9,-0.4,0.0,7.7,,,,1.7,,,,,
2016-03-05,13.1,18.8,7.5,0.0,6.4,,,,2.7,,,,,
2016-03-06,14.6,16.4,13.2,7.5,0.0,,,,3.8,,,,,
2016-03-07,12.9,17.9,9.4,0.5,3.4,,,,1.2,,,,,
2016-03-08,10.3,16.4,7.7,0.0,1.5,,,,1.4,,,,,
2016-03-09,4.4,7.9,2.9,30.5,0.0,,,,3.4,,,,,
2016-03-10,3.6,6.3,2.2,0.0,0.4,,,,2.5,,,,,
2016-03-11,2.1,7.5,-1.1,0.0,1.6,,,,2.0,,,,,
2016-03-12,2.5,7.5,-1.5,0.0,4.5,,,,1.6,,,,,
2016-03-13,4.9,12.1,-1.2,5.5,3.2,,,,1.0,,,,,
2016-03-14,3.5,6.1,2.0,8.0,0.1,,,,2.9,,,,,
2016-03-15,3.9,8.9,-0.5,2.0,7.6,,,,1.6,,,,,
2016-03-16,4.6,12.8,-2.0,0.0,2.0,,,,1.6,,,,,
2016-03-17,8.9,19.8,-0.3,0.0,10.1,,,,1.5,,,,,
2016-03-18,11.0,15.7,3.6,25.0,2.2,,,,2.8,,,,,
2016-03-19,12.0,16.1,7.2,16.0,1.2,,,,2.1,,,,,
2016-03-20,7.7,12.1,5.6,0.0,7.1,,,,2.5,,,,,
2016-03-21,5.3,10.6,0.0,0.0,8.7,,,,2.1,,,,,
2016-03-22,7.0,17.1,-1.8,0.0,8.5,,,,1.8,,,,,
2016-03-23,6.1,12.2,2.5,0.0,2.6,,,,2.2,,,,,
2016-03-24,4.8,8.3,2.2,0.0,2.8,,,,2.7,,,,,
2016-03-25,2.9,6.8,0.2,1.0,2.8,,,,1.3,,,,,
2016-03-26,4.2,11.0,-0.2,0.0,8.0,,,,1.3,,,,,
2016-03-27,6.7,14.2,-0.5,0.0,4.3,,,,1.4,,,,,
2016-03-28,7.0,14.5,2.1,0.0,7.2,,,,1.2,,,,,
2016-03-29,8.6,16.7,-0.1,0.0,7.3,,,,2.1,,,,,
2016-03-30,12.1,19.4,6.8,0.0,5.7,,,,1.8,,,,,
2016-03-31,12.8,20.3,6.4,0.0,7.2,,,,1.4,,,,,
2016-04-01,12.0,14.1,10.3,3.0,0.0,,,,1.2,,,,,
2016-04-02,14.7,21.8,7.7,0.0,7.6,,,,1.9,,,,,
2016-04-03,14.7,18.1,12.1,9.0,0.3,,,,1.6,,,,,
2016-04-04,11.1,14.6,8.4,7.0,0.0,,,,1.7,,,,,
2016-04-05,10.4,15.4,7.0,0.5,3.0,,,,1.1,,,,,
2016-04-06,12.8,21.4,4.6,0.0,9.1,,,,1.4,,,,,
2016-04-07,14.6,19.4,10.3,73.5,0.0,,,,2.6,,,,,
2016-04-08,12.8,19.6,7.8,0.0,4.3,,,,1.0,,,,,
2016-04-09,13.9,22.9,7.3,0.0,7.7,,,,1.8,,,,,
2016-04-10,13.7,20.0,8.5,0.0,0.8,,,,1.2,,,,,
2016-04-11,6.3,11.8,2.4,0.5,3.6,,,,3.1,,,,,
2016-04-12,9.1,16.3,-0.2,0.0,9.1,,,,2.0,,,,,
2016-04-13,13.9,17.5,11.9,74.5,0.3,,,,2.4,,,,,
2016-04-14,15.8,22.3,11.3,0.0,7.7,,,,1.5,,,,,
2016-04-15,10.8,16.5,4.9,0.0,10.1,,,,2.3,,,,,
2016-04-16,14.1,23.4,3.1,0.0,9.7,,,,3.5,,,,,
2016-04-17,17.6,25.8,11.6,52.5,5.9,,,,4.2,,,,,
2016-04-18,11.9,17.1,7.1,0.0,0.0,,,,1.0,,,,,
2016-04-19,10.7,18.1,4.2,0.0,8.0,,,,1.4,,,,,
2016-04-20,13.0,21.4,3.7,0.0,10.6,,,,2.1,,,,,
2016-04-21,13.8,15.6,12.1,31.0,0.0,,,,3.4,,,,,
2016-04-22,17.1,24.1,12.7,0.0,7.7,,,,1.3,,,,,
2016-04-23,16.6,25.0,11.3,3.5,5.2,,,,1.5,,,,,
2016-04-24,13.5,19.1,8.3,0.0,5.6,,,,1.4,,,,,
2016-04-25,14.4,21.8,6.6,0.0,4.9,,,,1.1,,,,,
2016-04-26,17.5,28.0,9.2,0.0,10.8,,,,1.3,,,,,
2016-04-27,14.9,18.7,12.8,12.5,0.0,,,,1.1,,,,,
2016-04-28,12.7,16.5,9.3,24.5,0.0,,,,2.2,,,,,
2016-04-29,9.2,14.6,4.3,0.0,3.9,,,,1.6,,,,,
2016-04-30,12.2,22.7,2.4,0.0,10.6,,,,1.9,,,,,
2016-05-01,16.4,25.9,8.4,0.0,6.9,,,,1.5,,,,,
