calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.9,12.3,4.8,0.0,8.6,,,,2.8,6.2,1025.8,59,1029.6,1.8
2016-01-02,8.8,12.5,4.9,,6.4,,,,2.1,7.7,1021.9,68,1025.6,8.8
2016-01-03,11.0,14.3,7.9,,7.3,,,,2.2,9.7,1015.8,74,1019.6,5.3
2016-01-04,11.8,16.0,7.8,,6.2,,,,2.5,9.7,1014.8,71,1018.5,3.8
2016-01-05,10.3,12.0,8.5,0.0,1.5,,,,2.5,7.4,1017.9,59,1021.6,6.5
2016-01-06,10.2,12.8,7.9,,3.0,,,,2.1,7.6,1015.7,62,1019.4,10.0
2016-01-07,9.1,11.9,7.0,0.0,3.3,,,,3.2,6.5,1013.7,56,1017.5,6.3
2016-01-08,8.0,10.7,5.6,0.0,1.8,,,,3.6,5.6,1013.8,52,1017.6,7.5
2016-01-09,7.3,11.1,4.2,,8.9,,,,4.2,4.7,1017.7,46,1021.5,2.3
2016-01-10,8.0,11.7,4.8,,6.4,,,,3.5,5.2,1018.7,49,1022.5,4.0
2016-01-11,8.5,11.5,6.2,,4.3,,,,3.3,5.8,1016.4,52,1020.2,6.8
2016-01-12,7.3,9.7,4.2,,5.5,,,,3.1,5.8,1012.3,57,1016.1,5.5
2016-01-13,5.6,9.4,3.5,0.5,1.6,,,,3.2,6.0,1012.3,66,1016.1,7.5
2016-01-14,5.5,10.2,2.6,0.0,5.3,,,,4.1,4.8,1014.2,53,1018.0,5.5
2016-01-15,6.1,9.8,3.5,,9.3,,,,3.9,4.7,1016.1,50,1019.8,5.0
2016-01-16,6.4,10.5,3.3,,5.5,,,,2.0,5.3,1018.1,55,1021.9,2.5
2016-01-17,6.9,9.5,3.2,1.5,3.3,,,,6.2,5.7,1014.7,58,1018.5,10.0
2016-01-18,8.7,12.1,2.7,2.5,1.6,,,,8.1,8.1,996.5,72,1000.2,9.8
2016-01-19,2.6,6.1,0.3,0.5,6.9,,,,8.5,3.6,1006.2,49,1010.1,5.5
2016-01-20,4.0,8.6,0.3,0.0,8.2,,,,6.9,4.8,1014.4,59,1018.2,3.3
2016-01-21,5.3,8.6,2.1,0.0,3.2,,,,2.5,5.5,1018.0,62,1021.8,7.3
2016-01-22,5.4,8.8,3.3,0.0,5.7,,,,3.7,5.4,1019.0,61,1022.8,7.5
2016-01-23,4.5,7.1,2.1,0.0,0.4,,,,3.6,5.1,1015.7,60,1019.5,10.0
2016-01-24,-0.8,2.3,-3.3,,6.2,,,,6.0,2.2,1011.4,38,1015.3,5.8
2016-01-25,1.4,5.8,-4.0,,8.3,,,,5.1,3.5,1019.2,53,1023.1,2.5
