calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,10.1,0.2,0.0,7.8,,,,1.4,,,,,
2016-01-02,7.4,11.3,1.3,0.0,8.1,,,,1.9,,,,,
2016-01-03,9.0,14.0,4.2,0.0,8.4,,,,1.6,,,,,
2016-01-04,9.5,14.1,4.3,0.0,7.8,,,,2.1,,,,,
2016-01-05,6.5,9.8,2.4,0.0,1.2,,,,1.1,,,,,
2016-01-06,6.7,9.8,3.3,0.0,2.5,,,,1.1,,,,,
2016-01-07,6.0,11.1,2.6,0.0,4.6,,,,1.6,,,,,
2016-01-08,5.3,9.1,1.9,0.0,2.3,,,,2.0,,,,,
2016-01-09,4.6,9.3,0.3,0.0,8.4,,,,1.9,,,,,
2016-01-10,4.9,9.8,0.6,0.0,7.3,,,,1.8,,,,,
2016-01-11,5.5,9.6,1.7,0.0,6.3,,,,1.7,,,,,
2016-01-12,4.3,7.4,1.5,0.0,4.4,,,,2.6,,,,,
2016-01-13,3.5,7.6,-0.1,0.0,3.0,,,,2.3,,,,,
2016-01-14,3.1,8.1,-0.5,0.0,6.2,,,,2.4,,,,,
2016-01-15,3.0,7.4,-0.9,0.0,8.0,,,,2.1,,,,,
2016-01-16,3.1,9.1,-2.7,0.0,7.4,,,,1.6,,,,,
2016-01-17,4.2,8.5,-0.9,2.5,3.1,,,,2.6,,,,,
2016-01-18,6.6,10.3,1.0,2.0,1.2,,,,4.5,,,,,
2016-01-19,0.3,4.0,-2.0,0.5,6.0,,,,5.4,,,,,
2016-01-20,1.7,7.3,-2.4,0.0,5.7,,,,3.3,,,,,
2016-01-21,1.9,6.5,-2.1,0.0,3.9,,,,1.7,,,,,
2016-01-22,2.5,6.7,-0.6,0.0,7.0,,,,2.9,,,,,
2016-01-23,2.1,5.7,-0.8,0.0,2.1,,,,1.9,,,,,
2016-01-24,-2.8,-0.3,-5.4,0.0,7.1,,,,4.0,,,,,
2016-01-25,-1.2,4.1,-6.2,0.0,7.3,,,,2.3,,,,,
2016-01-26,2.3,5.8,-3.0,0.0,5.8,,,,2.3,,,,,
2016-01-27,4.7,8.2,0.3,0.0,5.1,,,,1.6,,,,,
2016-01-28,5.6,9.6,-0.6,0.0,2.2,,,,1.3,,,,,
2016-01-29,6.8,7.8,5.6,29.5,0.0,,,,3.4,,,,,
2016-01-30,6.1,8.8,3.6,3.5,2.0,,,,3.7,,,,,
2016-01-31,5.7,8.9,1.9,0.0,8.2,,,,2.0,,,,,
2016-02-01,4.6,7.3,2.6,0.0,1.0,,,,1.9,,,,,
2016-02-02,4.0,8.0,1.5,0.0,7.5,,,,3.3,,,,,
2016-02-03,3.0,7.1,-1.4,0.0,5.9,,,,2.0,,,,,
2016-02-04,4.0,7.9,-0.7,0.0,6.6,,,,1.9,,,,,
2016-02-05,4.2,9.0,-0.8,0.0,9.3,,,,1.8,,,,,
2016-02-06,3.5,8.7,-0.3,0.0,5.9,,,,1.9,,,,,
2016-02-07,2.2,6.3,-1.3,0.0,4.2,,,,2.9,,,,,
2016-02-08,2.6,7.6,-4.1,0.0,10.2,,,,2.7,,,,,
2016-02-09,5.5,10.0,1.5,1.0,6.5,,,,3.5,,,,,
2016-02-10,3.4,8.6,-0.6,0.0,7.2,,,,2.4,,,,,
2016-02-11,4.4,11.9,-1.9,0.0,10.2,,,,1.5,,,,,
2016-02-12,9.4,15.3,0.5,0.0,8.0,,,,2.7,,,,,
2016-02-13,14.7,17.1,10.2,50.0,0.1,,,,3.6,,,,,
2016-02-14,13.7,17.5,9.0,9.0,4.4,,,,6.0,,,,,
2016-02-15,4.6,9.1,1.0,1.0,1.0,,,,3.3,,,,,
2016-02-16,2.5,5.6,-0.9,0.0,6.6,,,,4.1,,,,,
2016-02-17,3.8,8.2,-0.1,0.0,5.4,,,,2.2,,,,,
2016-02-18,3.5,8.5,-2.5,0.0,10.2,,,,1.5,,,,,
2016-02-19,7.2,11.6,1.5,0.0,7.9,,,,2.2,,,,,
2016-02-20,7.3,9.0,6.1,15.5,0.0,,,,2.5,,,,,
2016-02-21,5.7,9.2,1.9,1.0,6.5,,,,2.6,,,,,
2016-02-22,4.1,7.3,0.0,0.0,2.3,,,,1.2,,,,,
2016-02-23,6.2,8.3,4.2,0.0,2.2,,,,1.6,,,,,
2016-02-24,3.4,6.1,0.1,0.0,5.7,,,,4.1,,,,,
2016-02-25,2.2,5.9,-1.4,0.0,7.8,,,,1.9,,,,,
2016-02-26,2.8,7.0,-1.5,0.0,7.8,,,,2.4,,,,,
2016-02-27,6.1,11.1,-0.7,0.0,5.5,,,,3.1,,,,,
2016-02-28,8.5,14.0,2.0,0.0,9.4,,,,2.3,,,,,
2016-02-29,7.6,12.4,-0.8,0.0,2.8,,,,4.3,,,,,
2016-03-01,1.2,5.2,-2.0,0.0,5.7,,,,1.9,,,,,
2016-03-02,4.0,8.5,-1.7,0.0,8.8,,,,2.4,,,,,
2016-03-03,7.6,12.4,2.7,0.0,9.9,,,,2.1,,,,,
2016-03-04,9.5,15.3,2.1,0.0,4.8,,,,1.6,,,,,
2016-03-05,13.8,18.2,8.4,0.0,8.9,,,,3.6,,,,,
2016-03-06,15.9,17.9,13.5,0.0,0.7,,,,3.9,,,,,
2016-03-07,15.3,20.4,11.4,0.0,5.2,,,,2.3,,,,,
2016-03-08,13.0,18.1,9.5,0.0,4.7,,,,2.6,,,,,
2016-03-09,6.7,10.8,5.0,27.5,0.0,,,,4.2,,,,,
2016-03-10,5.4,7.9,3.6,0.0,1.0,,,,3.8,,,,,
2016-03-11,4.9,9.7,2.2,0.0,4.8,,,,3.3,,,,,
2016-03-12,4.9,10.2,-0.1,0.0,8.4,,,,2.3,,,,,
2016-03-13,6.6,11.7,0.8,10.5,3.7,,,,1.5,,,,,
2016-03-14,5.3,7.9,3.8,12.5,0.8,,,,3.2,,,,,
2016-03-15,6.7,11.9,3.1,0.0,10.1,,,,3.3,,,,,
2016-03-16,6.6,13.3,0.0,0.0,3.8,,,,1.5,,,,,
2016-03-17,10.6,16.9,2.5,0.0,10.9,,,,1.8,,,,,
2016-03-18,13.5,17.0,8.3,14.5,3.4,,,,3.9,,,,,
2016-03-19,12.9,16.7,7.8,12.5,0.9,,,,2.6,,,,,
2016-03-20,9.3,14.5,7.0,0.0,6.7,,,,2.8,,,,,
2016-03-21,8.1,13.1,4.0,0.0,11.4,,,,3.9,,,,,
