calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.7,10.0,-1.9,0.5,5.2,,,,1.0,,,,,
2016-01-02,4.2,12.2,-2.5,0.0,7.4,,,,1.2,,,,,
2016-01-03,6.4,15.1,0.3,0.0,6.7,,,,0.9,,,,,
2016-01-04,7.3,14.8,0.4,0.0,5.8,,,,1.5,,,,,
2016-01-05,4.5,9.6,-1.3,0.0,1.0,,,,0.8,,,,,
2016-01-06,5.5,11.3,1.0,0.0,2.3,,,,0.8,,,,,
2016-01-07,4.2,10.3,-0.2,0.0,2.4,,,,1.1,,,,,
2016-01-08,3.1,9.2,-3.3,0.0,1.4,,,,1.8,,,,,
2016-01-09,2.2,9.6,-2.9,0.0,8.1,,,,1.5,,,,,
2016-01-10,2.1,10.2,-4.3,0.0,7.1,,,,1.7,,,,,
2016-01-11,3.6,10.4,-2.5,0.0,7.6,,,,1.4,,,,,
2016-01-12,3.2,7.4,-2.3,0.0,4.2,,,,2.3,,,,,
2016-01-13,1.5,7.7,-2.8,0.0,2.7,,,,1.3,,,,,
2016-01-14,1.3,8.4,-5.0,0.0,8.1,,,,2.6,,,,,
2016-01-15,1.3,9.2,-4.9,0.0,9.0,,,,1.3,,,,,
2016-01-16,0.8,9.0,-5.1,0.0,5.9,,,,1.3,,,,,
2016-01-17,2.8,8.2,-4.4,0.5,2.3,,,,1.9,,,,,
2016-01-18,6.6,10.4,1.2,4.5,1.6,,,,4.4,,,,,
2016-01-19,-0.2,3.7,-2.7,0.0,7.9,,,,5.3,,,,,
2016-01-20,0.4,5.8,-2.9,0.0,6.6,,,,4.7,,,,,
2016-01-21,1.1,5.9,-4.2,0.0,4.1,,,,1.2,,,,,
2016-01-22,1.6,5.5,-1.8,0.0,4.9,,,,2.4,,,,,
2016-01-23,1.7,6.6,-2.5,0.0,1.9,,,,1.9,,,,,
2016-01-24,-2.9,0.9,-6.1,0.0,6.6,,,,4.1,,,,,
2016-01-25,-2.4,4.7,-7.9,0.0,8.1,,,,2.1,,,,,
2016-01-26,0.1,7.1,-7.8,0.0,3.8,,,,1.4,,,,,
2016-01-27,2.2,9.2,-3.9,0.0,5.4,,,,1.7,,,,,
2016-01-28,3.8,10.2,-4.3,1.0,2.4,,,,0.8,,,,,
2016-01-29,6.4,7.7,5.0,38.5,0.0,,,,0.9,,,,,
2016-01-30,5.9,8.3,2.4,3.0,0.7,,,,3.1,,,,,
2016-01-31,5.3,9.9,0.4,0.0,6.8,,,,1.8,,,,,
2016-02-01,3.2,7.3,-0.1,0.0,0.7,,,,1.9,,,,,
2016-02-02,2.9,7.4,-0.9,0.0,8.0,,,,2.6,,,,,
2016-02-03,1.5,7.1,-2.8,0.0,4.5,,,,1.9,,,,,
2016-02-04,1.9,9.3,-4.2,0.0,4.9,,,,1.2,,,,,
2016-02-05,2.5,9.8,-2.8,0.0,9.4,,,,1.2,,,,,
2016-02-06,2.3,8.7,-3.2,0.0,4.0,,,,1.9,,,,,
2016-02-07,1.1,5.6,-3.5,2.0,5.8,,,,2.4,,,,,
2016-02-08,0.9,9.4,-6.0,0.0,10.2,,,,1.6,,,,,
2016-02-09,3.2,9.9,-2.0,0.0,6.6,,,,3.3,,,,,
2016-02-10,1.5,7.4,-2.9,0.0,6.0,,,,2.4,,,,,
2016-02-11,2.5,12.2,-5.0,0.0,10.4,,,,1.0,,,,,
2016-02-12,7.5,16.3,-2.8,0.0,6.4,,,,2.7,,,,,
2016-02-13,13.1,18.0,8.6,41.0,0.0,,,,2.8,,,,,
2016-02-14,14.3,19.0,8.8,8.5,3.0,,,,4.7,,,,,
2016-02-15,4.1,9.3,1.0,0.0,0.9,,,,4.0,,,,,
2016-02-16,1.9,6.5,-2.8,1.0,7.3,,,,3.1,,,,,
2016-02-17,2.2,6.7,-2.4,0.0,5.2,,,,2.6,,,,,
2016-02-18,2.4,10.1,-4.7,0.0,10.5,,,,1.0,,,,,
2016-02-19,5.4,13.1,-2.2,0.0,7.4,,,,1.5,,,,,
2016-02-20,6.4,8.6,3.8,18.5,0.0,,,,1.5,,,,,
2016-02-21,4.9,8.6,-0.9,0.0,6.2,,,,3.8,,,,,
2016-02-22,3.3,7.4,-2.0,0.0,2.0,,,,0.7,,,,,
2016-02-23,5.5,9.9,1.2,0.0,1.7,,,,1.3,,,,,
2016-02-24,2.5,6.3,-1.2,0.0,3.7,,,,4.4,,,,,
2016-02-25,1.3,7.3,-3.8,0.0,7.2,,,,1.6,,,,,
2016-02-26,1.5,8.6,-4.7,0.0,8.2,,,,2.1,,,,,
2016-02-27,4.8,13.1,-3.2,0.0,5.6,,,,2.1,,,,,
2016-02-28,6.2,15.1,-1.6,0.0,9.4,,,,1.4,,,,,
2016-02-29,7.5,13.2,-1.2,0.5,2.2,,,,4.6,,,,,
2016-03-01,0.1,4.2,-3.4,0.0,5.1,,,,3.0,,,,,
2016-03-02,1.9,10.2,-5.0,0.0,7.2,,,,1.6,,,,,
2016-03-03,5.3,15.1,-3.5,0.0,10.7,,,,1.3,,,,,
2016-03-04,8.3,18.0,-1.6,0.0,7.5,,,,1.1,,,,,
2016-03-05,13.4,19.7,6.6,0.0,7.8,,,,2.3,,,,,
2016-03-06,14.6,19.3,6.9,0.0,1.2,,,,2.8,,,,,
2016-03-07,13.6,19.5,8.0,0.0,3.0,,,,2.1,,,,,
2016-03-08,11.4,20.5,4.9,0.0,3.4,,,,1.9,,,,,
2016-03-09,6.7,10.7,4.7,25.0,0.0,,,,3.0,,,,,
2016-03-10,5.1,7.5,3.2,0.0,0.4,,,,3.4,,,,,
2016-03-11,4.1,8.3,0.7,0.0,4.0,,,,2.5,,,,,
2016-03-12,3.8,10.1,-1.9,0.0,8.9,,,,1.9,,,,,
2016-03-13,5.9,13.4,-1.9,9.5,3.3,,,,1.2,,,,,
2016-03-14,5.2,7.1,3.5,14.0,0.3,,,,2.7,,,,,
2016-03-15,5.7,10.2,-1.0,0.0,9.1,,,,4.7,,,,,
2016-03-16,5.4,15.0,-2.5,0.0,3.2,,,,1.0,,,,,
2016-03-17,8.6,19.5,-0.4,0.0,11.0,,,,1.0,,,,,
2016-03-18,11.6,18.7,2.0,9.5,3.1,,,,2.6,,,,,
2016-03-19,12.9,17.8,8.2,7.5,1.5,,,,3.4,,,,,
2016-03-20,8.9,12.8,6.5,0.0,7.6,,,,5.2,,,,,
2016-03-21,6.9,11.9,0.6,0.0,11.5,,,,4.5,,,,,
2016-03-22,6.9,16.3,-2.2,0.0,9.7,,,,1.5,,,,,
2016-03-23,8.3,18.7,0.7,0.0,9.4,,,,2.7,,,,,
2016-03-24,6.6,10.4,3.6,0.0,5.3,,,,5.0,,,,,
2016-03-25,4.4,9.4,-1.0,0.0,8.2,,,,3.5,,,,,
2016-03-26,4.5,12.5,-3.0,0.0,10.7,,,,1.8,,,,,
2016-03-27,7.2,16.0,-1.7,0.0,6.4,,,,1.4,,,,,
2016-03-28,7.9,15.2,1.9,0.0,7.9,,,,1.4,,,,,
2016-03-29,8.8,16.3,-0.8,0.0,7.4,,,,1.9,,,,,
2016-03-30,11.4,18.6,2.9,0.0,6.5,,,,1.9,,,,,
2016-03-31,13.1,20.9,4.6,0.0,7.3,,,,1.3,,,,,
2016-04-01,13.5,16.8,10.8,2.0,0.6,,,,2.8,,,,,
2016-04-02,16.1,20.9,8.9,0.0,6.9,,,,3.4,,,,,
2016-04-03,15.6,20.3,10.1,2.0,0.2,,,,2.5,,,,,
2016-04-04,13.6,18.8,9.8,11.0,0.4,,,,2.7,,,,,
2016-04-05,12.0,17.3,6.5,0.0,6.5,,,,1.2,,,,,
2016-04-06,13.6,21.8,4.3,0.0,8.9,,,,1.1,,,,,
2016-04-07,15.8,20.4,10.8,32.5,0.0,,,,4.2,,,,,
2016-04-08,13.6,19.0,8.5,0.0,5.3,,,,1.5,,,,,
2016-04-09,14.6,22.9,6.8,0.0,8.0,,,,1.5,,,,,
2016-04-10,14.3,21.0,8.4,0.0,0.5,,,,1.0,,,,,
