calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.2,10.3,-0.7,0.5,3.4,,,,0.3,,,,,
2016-01-02,4.8,13.5,-1.6,0.0,5.8,,,,0.5,,,,,
2016-01-03,6.6,15.3,1.3,0.0,4.6,,,,0.3,,,,,
2016-01-04,8.4,16.2,3.5,0.0,5.1,,,,0.5,,,,,
2016-01-05,4.7,9.9,1.0,0.5,0.2,,,,0.2,,,,,
2016-01-06,5.7,10.9,2.9,0.0,1.3,,,,0.3,,,,,
2016-01-07,4.5,10.5,0.5,0.0,2.8,,,,0.4,,,,,
2016-01-08,2.9,10.6,-1.8,0.0,1.5,,,,0.4,,,,,
2016-01-09,2.7,11.4,-2.8,0.0,6.9,,,,0.4,,,,,
2016-01-10,3.2,12.1,-2.7,0.0,6.8,,,,0.5,,,,,
2016-01-11,4.3,11.9,-1.6,0.0,6.1,,,,0.5,,,,,
2016-01-12,3.3,6.8,-0.4,0.0,2.0,,,,1.1,,,,,
2016-01-13,2.2,7.3,-2.2,0.0,2.0,,,,0.4,,,,,
2016-01-14,2.0,10.2,-4.0,0.0,6.6,,,,0.5,,,,,
2016-01-15,1.8,10.3,-4.1,0.0,6.8,,,,0.5,,,,,
2016-01-16,1.2,10.0,-4.3,0.0,5.1,,,,0.5,,,,,
2016-01-17,2.5,8.2,-3.4,3.5,1.5,,,,0.5,,,,,
2016-01-18,6.1,11.7,1.3,10.0,1.3,,,,1.0,,,,,
2016-01-19,0.4,5.3,-2.0,0.0,7.1,,,,1.1,,,,,
2016-01-20,0.7,6.7,-2.4,2.0,5.5,,,,1.2,,,,,
2016-01-21,1.4,6.9,-2.2,0.0,3.2,,,,0.5,,,,,
2016-01-22,2.4,7.2,-0.5,0.0,4.6,,,,1.2,,,,,
2016-01-23,2.1,7.3,-1.6,0.0,2.2,,,,0.5,,,,,
2016-01-24,-2.4,0.9,-5.4,0.0,5.2,,,,0.6,,,,,
2016-01-25,-1.8,6.3,-7.7,0.0,7.5,,,,0.6,,,,,
2016-01-26,0.0,7.5,-6.5,0.0,3.4,,,,0.5,,,,,
2016-01-27,2.3,10.4,-3.1,0.0,5.1,,,,0.4,,,,,
2016-01-28,4.0,10.3,-3.3,1.5,2.0,,,,0.4,,,,,
2016-01-29,6.5,7.8,5.1,45.0,0.0,,,,1.2,,,,,
2016-01-30,6.4,8.2,4.7,2.0,0.1,,,,2.1,,,,,
2016-01-31,5.7,11.4,0.8,0.0,5.1,,,,0.8,,,,,
2016-02-01,3.6,7.2,0.5,0.0,0.0,,,,0.7,,,,,
2016-02-02,3.8,6.8,1.3,0.0,4.6,,,,1.5,,,,,
2016-02-03,2.9,7.9,-1.8,0.0,2.4,,,,1.0,,,,,
2016-02-04,2.4,9.1,-3.3,0.0,4.7,,,,0.7,,,,,
2016-02-05,2.9,10.8,-2.2,0.0,6.7,,,,0.5,,,,,
2016-02-06,3.0,10.8,-2.5,0.0,3.9,,,,0.7,,,,,
2016-02-07,1.7,6.7,-3.5,0.5,3.3,,,,1.7,,,,,
2016-02-08,1.7,10.2,-3.9,0.0,8.3,,,,0.7,,,,,
2016-02-09,3.9,11.1,-1.3,1.5,6.4,,,,0.7,,,,,
2016-02-10,2.6,9.2,-1.4,0.0,4.0,,,,1.0,,,,,
2016-02-11,3.2,12.5,-3.7,0.0,9.0,,,,0.6,,,,,
2016-02-12,7.5,17.2,-2.6,0.0,5.0,,,,0.6,,,,,
2016-02-13,12.7,17.0,9.1,49.0,0.0,,,,0.7,,,,,
2016-02-14,14.2,19.1,9.6,17.0,1.0,,,,1.0,,,,,
2016-02-15,4.6,9.7,1.8,0.5,0.9,,,,0.9,,,,,
2016-02-16,2.6,8.1,-2.5,0.0,5.8,,,,0.8,,,,,
2016-02-17,3.0,8.1,-2.1,0.0,3.2,,,,0.8,,,,,
2016-02-18,2.6,10.6,-4.3,0.0,9.1,,,,0.7,,,,,
2016-02-19,6.3,14.6,-1.3,0.0,7.2,,,,0.8,,,,,
2016-02-20,6.1,7.5,4.6,18.5,0.0,,,,0.8,,,,,
2016-02-21,5.1,9.9,-0.3,0.0,6.6,,,,1.1,,,,,
2016-02-22,3.8,8.5,-1.6,0.0,2.4,,,,0.4,,,,,
2016-02-23,6.0,11.6,2.2,0.0,2.0,,,,0.4,,,,,
2016-02-24,3.1,6.8,-1.1,0.0,3.7,,,,2.4,,,,,
2016-02-25,1.7,7.9,-3.2,0.0,4.7,,,,0.7,,,,,
2016-02-26,2.0,10.2,-4.3,0.0,6.7,,,,0.6,,,,,
2016-02-27,4.8,13.1,-2.5,0.0,6.0,,,,0.7,,,,,
2016-02-28,6.5,15.5,-0.6,0.0,8.2,,,,0.5,,,,,
2016-02-29,6.1,10.7,-1.0,0.5,1.3,,,,1.0,,,,,
2016-03-01,0.4,6.7,-3.0,0.5,4.8,,,,0.7,,,,,
2016-03-02,2.9,11.6,-4.1,0.0,7.7,,,,0.6,,,,,
2016-03-03,6.0,16.6,-2.3,0.0,9.1,,,,0.6,,,,,
2016-03-04,8.8,18.0,0.4,0.0,6.0,,,,0.5,,,,,
2016-03-05,14.0,20.6,7.3,0.0,8.1,,,,1.2,,,,,
2016-03-06,16.5,20.0,14.0,4.5,1.1,,,,2.6,,,,,
2016-03-07,14.2,19.8,9.3,1.5,5.3,,,,0.7,,,,,
2016-03-08,12.1,19.5,8.4,0.0,2.1,,,,1.1,,,,,
2016-03-09,6.6,10.6,4.8,23.5,0.0,,,,2.2,,,,,
2016-03-10,5.5,8.1,3.7,0.0,0.1,,,,1.9,,,,,
2016-03-11,4.9,10.0,0.8,0.0,4.3,,,,1.5,,,,,
2016-03-12,4.2,12.6,-1.9,0.0,7.5,,,,0.9,,,,,
2016-03-13,6.4,13.9,-0.2,7.5,2.2,,,,0.7,,,,,
2016-03-14,5.4,8.2,4.0,7.0,0.9,,,,1.3,,,,,
2016-03-15,6.3,12.0,0.4,0.0,9.5,,,,1.7,,,,,
2016-03-16,5.2,14.2,-1.9,0.0,1.6,,,,0.4,,,,,
2016-03-17,8.8,20.5,-0.6,0.0,9.7,,,,0.5,,,,,
2016-03-18,11.3,18.4,2.9,17.0,2.3,,,,1.1,,,,,
2016-03-19,13.7,18.7,7.3,16.5,2.6,,,,1.5,,,,,
2016-03-20,9.8,14.3,7.0,0.0,8.7,,,,2.2,,,,,
2016-03-21,7.9,12.9,2.5,0.0,9.9,,,,2.0,,,,,
2016-03-22,7.2,17.4,-1.8,0.0,7.5,,,,0.7,,,,,
2016-03-23,8.4,18.6,1.2,0.0,9.0,,,,1.7,,,,,
2016-03-24,7.3,10.9,4.9,0.0,4.0,,,,2.6,,,,,
2016-03-25,5.0,10.6,-0.5,0.0,4.3,,,,1.2,,,,,
2016-03-26,5.6,13.5,-1.7,0.0,10.1,,,,0.9,,,,,
2016-03-27,8.3,17.1,-0.8,0.0,7.2,,,,0.7,,,,,
2016-03-28,8.7,16.3,2.9,0.0,6.6,,,,0.6,,,,,
2016-03-29,8.9,17.2,-0.1,0.0,6.1,,,,0.8,,,,,
2016-03-30,11.6,19.6,4.2,0.0,6.7,,,,0.8,,,,,
2016-03-31,13.3,21.2,6.2,0.0,5.9,,,,0.5,,,,,
2016-04-01,13.5,16.8,11.3,1.5,0.1,,,,0.7,,,,,
2016-04-02,16.0,23.0,9.3,0.0,5.2,,,,1.2,,,,,
2016-04-03,15.1,20.4,11.2,5.0,0.4,,,,0.4,,,,,
2016-04-04,13.4,16.8,10.7,9.0,0.0,,,,1.3,,,,,
2016-04-05,12.1,18.4,6.7,0.0,6.7,,,,0.5,,,,,
2016-04-06,13.9,22.0,5.3,0.0,7.7,,,,0.6,,,,,
2016-04-07,15.7,19.9,11.4,47.0,0.0,,,,1.6,,,,,
2016-04-08,14.2,20.0,9.1,0.0,5.9,,,,0.6,,,,,
2016-04-09,14.7,23.2,8.0,0.0,7.5,,,,0.5,,,,,
2016-04-10,14.5,21.1,8.6,0.0,0.4,,,,0.4,,,,,
2016-04-11,9.4,14.0,3.5,0.0,7.0,,,,2.8,,,,,
2016-04-12,10.0,18.4,-0.3,0.0,8.9,,,,0.7,,,,,
2016-04-13,14.2,17.6,11.7,85.5,0.1,,,,0.9,,,,,
2016-04-14,17.3,24.4,12.1,0.5,6.3,,,,1.1,,,,,
2016-04-15,12.9,18.9,5.4,0.0,10.2,,,,1.8,,,,,
2016-04-16,14.1,24.6,2.0,0.0,9.8,,,,1.3,,,,,
2016-04-17,18.3,25.1,11.2,23.0,6.6,,,,2.6,,,,,
2016-04-18,12.8,17.9,8.2,0.0,0.0,,,,0.5,,,,,
2016-04-19,12.2,20.4,3.8,0.0,7.0,,,,1.1,,,,,
2016-04-20,13.7,22.5,4.2,0.0,10.5,,,,0.7,,,,,
2016-04-21,14.0,16.6,11.8,21.5,0.0,,,,1.0,,,,,
2016-04-22,18.0,24.8,12.8,0.0,7.2,,,,0.6,,,,,
2016-04-23,16.7,24.1,10.3,3.5,4.3,,,,0.5,,,,,
2016-04-24,15.4,21.1,11.6,0.5,5.7,,,,0.9,,,,,
2016-04-25,15.9,22.7,8.1,0.0,4.5,,,,0.6,,,,,
2016-04-26,17.9,27.8,9.4,0.0,10.6,,,,0.5,,,,,
2016-04-27,15.3,18.6,12.8,7.0,0.0,,,,0.4,,,,,
2016-04-28,14.0,17.3,10.3,12.0,0.0,,,,1.0,,,,,
2016-04-29,10.9,16.3,5.0,0.0,3.9,,,,1.2,,,,,
2016-04-30,12.2,22.2,3.1,0.0,10.5,,,,0.8,,,,,
2016-05-01,16.1,25.5,7.4,0.0,7.5,,,,0.5,,,,,
2016-05-02,19.0,28.6,9.0,0.0,10.9,,,,1.0,,,,,
