calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.6,9.8,3.3,,7.5,,,,2.2,6.5,1015.9,67,1029.9,
2016-01-02,8.9,12.3,5.8,0.0,4.0,,,,1.9,7.4,1011.9,65,1025.7,
2016-01-03,11.1,13.9,9.4,0.0,4.8,,,,1.2,10.5,1006.0,80,1019.6,
2016-01-04,11.5,14.8,9.2,,6.1,,,,2.1,10.3,1005.1,76,1018.7,
2016-01-05,9.0,11.8,7.2,0.0,0.0,,,,2.1,8.2,1008.2,71,1022.0,
2016-01-06,8.6,11.3,6.8,,2.8,,,,1.9,8.4,1006.0,76,1019.7,
2016-01-07,7.4,10.9,4.8,,3.4,,,,2.4,6.8,1004.2,66,1018.0,
2016-01-08,6.3,10.3,3.7,0.0,1.7,,,,2.5,6.7,1004.2,70,1018.0,
2016-01-09,5.7,9.2,2.5,0.0,6.3,,,,2.4,5.3,1008.0,59,1021.9,
2016-01-10,6.9,10.0,3.9,0.0,4.0,,,,2.2,6.2,1008.9,62,1022.8,
2016-01-11,7.1,10.4,4.3,,5.8,,,,2.2,6.3,1006.8,63,1020.7,
2016-01-12,6.2,8.4,3.6,0.0,2.8,,,,2.0,6.6,1002.5,70,1016.3,
2016-01-13,5.3,9.5,2.9,0.0,6.3,,,,2.5,6.0,1002.3,67,1016.1,
2016-01-14,4.9,9.2,2.1,0.0,3.1,,,,2.2,5.4,1004.3,62,1018.2,
2016-01-15,4.8,8.5,2.8,0.0,8.4,,,,2.4,5.0,1006.4,58,1020.3,
2016-01-16,4.8,8.4,1.4,,7.9,,,,2.1,5.4,1008.2,63,1022.1,
2016-01-17,6.8,8.7,4.0,0.5,2.5,,,,3.1,6.7,1004.3,68,1018.1,
2016-01-18,6.9,9.8,2.7,8.0,1.4,,,,4.3,8.5,987.3,85,1000.9,
2016-01-19,2.0,4.4,0.0,0.0,1.9,,,,4.5,4.1,996.4,58,1010.4,
2016-01-20,3.5,6.8,-0.2,,5.2,,,,4.5,5.0,1004.8,63,1018.8,
2016-01-21,4.2,7.0,1.3,,2.2,,,,2.0,5.9,1008.1,72,1022.1,
2016-01-22,4.7,7.8,2.7,0.0,5.6,,,,2.7,6.2,1008.8,73,1022.8,
2016-01-23,3.8,6.5,0.8,0.5,0.0,,,,2.4,5.5,1005.8,68,1019.8,
2016-01-24,-1.7,1.2,-3.5,0.0,1.1,,,,3.3,2.8,1001.5,51,1015.7,
