calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.1,11.2,1.5,0.5,4.9,,,,0.9,7.3,1028.8,86,1029.5,
2016-01-02,6.4,14.6,0.6,,6.1,,,,1.4,7.6,1023.5,82,1024.2,
2016-01-03,8.1,17.4,1.5,,7.0,,,,1.1,9.4,1018.6,88,1019.3,
2016-01-04,8.2,14.3,5.2,0.0,1.0,,,,1.3,9.4,1018.1,88,1018.8,
2016-01-05,6.5,10.9,3.0,0.0,0.4,,,,0.9,8.4,1021.3,88,1022.0,
2016-01-06,7.3,12.9,3.6,0.0,2.6,,,,1.1,8.0,1019.2,81,1019.9,
2016-01-07,5.2,7.2,2.8,9.0,0.4,,,,1.1,8.3,1017.6,93,1018.3,
2016-01-08,4.7,10.3,0.2,0.0,3.5,,,,1.5,6.3,1016.9,76,1017.6,
2016-01-09,4.8,9.9,1.3,0.5,4.0,,,,1.5,6.5,1020.6,77,1021.3,
2016-01-10,4.8,8.7,-0.1,0.0,1.2,,,,1.3,6.7,1022.0,78,1022.7,
2016-01-11,6.0,11.2,3.0,4.5,2.7,,,,1.5,7.7,1020.0,84,1020.7,
2016-01-12,2.6,5.4,0.6,26.0,0.0,,,,1.3,7.1,1017.3,96,1018.0,
2016-01-13,3.6,10.0,0.0,0.0,5.7,,,,1.7,6.2,1015.2,80,1015.9,
2016-01-14,2.7,8.0,-1.3,0.5,5.4,,,,1.9,6.1,1017.1,83,1017.8,
2016-01-15,3.9,8.3,1.3,0.5,5.0,,,,1.6,6.6,1019.7,83,1020.4,
2016-01-16,3.8,8.8,0.3,1.5,3.5,,,,1.3,6.8,1022.0,87,1022.7,
2016-01-17,3.0,7.7,-1.0,4.5,0.0,,,,0.9,6.8,1018.8,89,1019.5,
2016-01-18,4.7,9.8,1.9,24.0,0.3,,,,2.0,7.4,1001.1,86,1001.8,
2016-01-19,0.8,4.0,-2.5,4.5,7.0,,8,8,4.6,3.6,1008.7,57,1009.4,
2016-01-20,2.3,5.9,-2.1,25.0,1.1,,11,4,3.1,6.3,1017.9,88,1018.6,
2016-01-21,1.1,2.1,0.4,6.5,0.0,,5,2,0.6,6.5,1022.1,98,1022.8,
2016-01-22,0.8,1.7,0.2,21.5,0.0,,6,3,0.7,6.4,1023.9,99,1024.6,
2016-01-23,1.5,5.9,-0.3,10.0,2.2,,6,1,1.4,6.1,1019.1,89,1019.8,
2016-01-24,-3.1,0.3,-5.3,8.5,4.4,,15,17,3.0,3.4,1014.4,69,1015.1,
2016-01-25,-0.6,4.7,-4.5,5.5,4.6,,18,5,1.6,4.8,1021.9,83,1022.7,
2016-01-26,-0.3,7.7,-6.9,,3.0,,11,,1.1,5.0,1024.3,84,1025.0,
2016-01-27,3.4,9.6,-0.1,,2.8,,8,,1.2,6.0,1027.6,80,1028.3,
2016-01-28,2.6,7.9,-2.2,0.5,0.5,,5,,0.7,6.6,1028.2,90,1028.9,
2016-01-29,4.2,6.9,2.6,47.0,0.0,,3,,0.6,8.2,1020.8,100,1021.5,
2016-01-30,6.2,8.1,5.2,10.5,0.2,,,,1.7,8.3,1021.7,88,1022.4,
2016-01-31,6.5,11.9,2.7,0.0,5.1,,,,1.7,7.4,1023.2,78,1023.9,
2016-02-01,4.0,5.4,3.1,6.0,0.0,,,,1.4,7.6,1021.4,94,1022.1,
2016-02-02,1.8,3.3,0.6,22.0,0.0,,1,1,1.1,6.8,1021.7,98,1022.4,
2016-02-03,2.6,7.9,-0.6,0.5,3.7,,,,1.0,6.3,1024.2,88,1024.9,
2016-02-04,4.1,11.2,-1.4,,6.8,,,,1.7,6.1,1021.5,78,1022.2,
2016-02-05,4.2,11.6,-0.4,,4.0,,,,1.2,6.5,1018.5,82,1019.2,
2016-02-06,3.2,8.2,0.0,12.0,2.7,,,,2.0,6.6,1016.2,86,1016.9,
2016-02-07,1.8,5.1,-1.4,12.0,2.8,,2,3,2.0,6.0,1019.8,87,1020.5,
2016-02-08,2.3,10.8,-3.3,,8.4,,,,1.5,5.5,1017.6,80,1018.3,
