calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.2,4.2,-2.8,0.0,3.2,,6,1,1.6,,,,,
2016-01-02,2.9,6.9,-2.0,4.5,1.2,,5,0,0.9,,,,,
2016-01-03,5.8,9.1,2.6,2.0,4.8,,0,0,1.3,,,,,
2016-01-04,4.3,8.6,1.7,2.5,2.0,,0,0,1.6,,,,,
2016-01-05,1.8,4.1,-0.5,0.0,4.6,,0,0,1.0,,,,,
2016-01-06,2.2,4.9,0.0,0.0,1.9,,0,0,1.7,,,,,
2016-01-07,1.2,3.9,-0.6,0.0,2.8,,0,0,1.4,,,,,
2016-01-08,0.7,4.1,-1.1,1.5,2.7,,1,2,0.7,,,,,
2016-01-09,0.1,3.5,-1.2,0.5,1.9,,2,2,,,,,,
2016-01-10,0.5,4.8,-1.6,6.0,4.8,,5,6,0.5,,,,,
2016-01-11,-1.1,1.9,-2.8,0.5,6.6,,2,3,,,,,,
2016-01-12,-1.4,2.2,-3.4,0.0,3.4,,1,1,1.0,,,,,
2016-01-13,-1.1,2.0,-5.7,0.0,3.7,,2,2,0.6,,,,,
2016-01-14,-1.2,1.4,-4.3,3.5,1.8,,3,3,,,,,,
2016-01-15,-3.2,2.2,-7.1,0.0,5.4,,1,1,0.5,,,,,
2016-01-16,-2.5,1.9,-6.5,0.5,3.1,,4,4,0.8,,,,,
2016-01-17,-1.2,3.3,-4.1,0.0,2.7,,2,2,0.7,,,,,
2016-01-18,0.0,2.1,-2.2,29.5,0.0,,22,22,2.7,,,,,
2016-01-19,-0.4,1.1,-2.3,32.5,0.0,,36,24,,,,,,
2016-01-20,-1.1,2.7,-6.7,4.5,6.9,,39,7,1.0,,,,,
2016-01-21,-1.0,1.9,-3.6,0.5,3.9,,33,1,1.1,,,,,
2016-01-22,-1.7,1.6,-4.1,3.0,2.5,,30,6,1.0,,,,,
2016-01-23,-1.7,0.7,-3.2,0.0,1.1,,31,1,1.0,,,,,
2016-01-24,-2.6,1.1,-5.1,4.5,4.8,,32,9,,,,,,
2016-01-25,-2.1,0.6,-6.0,2.5,1.7,,36,4,0.8,,,,,
2016-01-26,0.3,2.8,-2.7,0.0,0.5,,33,0,0.6,,,,,
2016-01-27,1.7,3.5,-2.7,3.0,1.5,,28,0,1.2,,,,,
2016-01-28,2.2,5.7,-1.2,0.0,8.3,,22,0,1.3,,,,,
2016-01-29,-0.2,1.7,-2.4,0.0,0.0,,20,3,0.7,,,,,
2016-01-30,-2.1,1.0,-4.0,6.0,0.1,,31,12,,,,,,
2016-01-31,-1.2,2.3,-4.0,0.0,6.5,,28,1,1.0,,,,,
2016-02-01,-2.1,0.6,-4.1,0.0,1.2,,22,0,1.4,,,,,
2016-02-02,-2.1,0.8,-7.0,0.0,0.6,,25,3,1.2,,,,,
2016-02-03,-0.7,3.4,-4.1,0.0,7.5,,23,0,1.1,,,,,
2016-02-04,-0.4,3.4,-4.6,2.0,2.3,,29,9,0.5,,,,,
2016-02-05,0.6,4.0,-2.6,0.0,5.6,,28,0,1.1,,,,,
2016-02-06,-1.3,3.5,-4.6,0.0,2.8,,20,0,0.8,,,,,
2016-02-07,-2.8,-0.1,-5.7,0.0,2.8,,19,0,1.2,,,,,
2016-02-08,-0.7,4.7,-4.3,0.0,9.1,,19,0,1.0,,,,,
2016-02-09,0.2,4.3,-3.8,2.5,2.1,,23,7,0.8,,,,,
2016-02-10,-0.7,1.5,-2.9,2.0,4.1,,25,3,1.7,,,,,
2016-02-11,-0.1,3.6,-4.7,0.0,4.0,,20,0,1.5,,,,,
2016-02-12,-0.5,6.3,-7.5,0.0,9.2,,19,0,0.6,,,,,
2016-02-13,4.7,14.6,-0.9,0.0,2.2,,17,0,0.4,,,,,
2016-02-14,5.7,11.7,1.7,1.5,0.0,,12,0,1.5,,,,,
2016-02-15,-0.1,5.6,-3.2,0.5,2.6,,7,3,1.6,,,,,
2016-02-16,-1.5,1.8,-4.8,0.5,4.5,,9,4,0.8,,,,,
2016-02-17,-1.4,0.9,-3.5,2.5,0.3,,12,5,,,,,,
2016-02-18,0.2,7.1,-3.6,1.0,7.4,,13,4,0.7,,,,,
2016-02-19,2.7,7.4,-3.8,2.5,6.7,,6,2,0.9,,,,,
2016-02-20,4.0,7.4,1.0,18.5,0.0,,2,0,0.6,,,,,
2016-02-21,4.4,8.1,0.8,1.5,1.2,,0,0,1.8,,,,,
2016-02-22,0.6,4.7,-2.6,0.0,6.8,,0,0,1.6,,,,,
2016-02-23,1.9,9.1,-3.7,1.0,4.0,,0,0,0.6,,,,,
2016-02-24,-1.6,1.1,-3.9,0.0,0.8,,0,0,1.9,,,,,
2016-02-25,-2.3,3.5,-6.1,0.0,7.3,,1,1,1.1,,,,,
2016-02-26,-1.3,3.2,-5.3,6.0,7.2,,9,14,0.8,,,,,
2016-02-27,0.7,4.5,-2.6,10.5,7.2,,12,11,,,,,,
2016-02-28,0.6,4.5,-4.8,1.0,7.6,,10,2,,,,,,
2016-02-29,2.6,7.7,0.0,0.0,0.2,,0,0,1.2,,,,,
2016-03-01,-2.0,0.4,-3.5,7.0,0.8,,11,14,1.5,,,,,
2016-03-02,-1.4,3.0,-6.4,3.0,5.5,,17,8,,,,,,
2016-03-03,1.5,6.7,-2.7,15.0,4.4,,19,16,1.6,,,,,
2016-03-04,0.8,7.2,-4.3,0.0,6.4,,5,0,0.6,,,,,
2016-03-05,2.3,7.6,-3.7,0.0,6.7,,1,0,1.3,,,,,
2016-03-06,5.0,8.9,2.2,0.0,0.0,,0,0,0.4,,,,,
2016-03-07,7.6,12.1,4.2,1.0,0.2,,0,0,0.6,,,,,
2016-03-08,8.5,15.0,4.4,0.0,7.3,,0,0,1.2,,,,,
2016-03-09,3.0,6.2,0.8,0.0,0.5,,0,0,1.4,,,,,
2016-03-10,0.7,6.4,-2.8,0.0,3.3,,0,0,0.9,,,,,
2016-03-11,0.1,6.4,-4.4,0.0,7.3,,0,0,0.9,,,,,
2016-03-12,-0.1,6.8,-5.2,0.0,9.2,,0,0,0.7,,,,,
2016-03-13,1.5,8.0,-5.9,0.0,5.8,,0,0,0.9,,,,,
2016-03-14,4.1,9.2,0.7,0.0,1.4,,0,0,,,,,,
2016-03-15,3.7,7.6,-0.2,0.0,7.5,,0,0,1.8,,,,,
2016-03-16,5.9,12.6,1.6,0.0,6.8,,0,0,0.9,,,,,
2016-03-17,9.0,16.3,0.9,0.0,10.2,,0,0,1.2,,,,,
2016-03-18,9.1,20.8,-0.2,0.0,7.5,,0,0,0.8,,,,,
2016-03-19,9.0,15.4,6.1,3.5,0.1,,0,0,0.7,,,,,
2016-03-20,5.6,9.5,1.4,0.0,1.0,,0,0,1.9,,,,,
2016-03-21,3.5,8.1,-0.1,0.0,7.2,,0,0,1.7,,,,,
2016-03-22,6.0,11.4,1.6,7.5,5.0,,0,0,1.2,,,,,
2016-03-23,4.3,9.2,0.7,0.5,6.5,,0,0,1.5,,,,,
2016-03-24,1.8,8.2,-2.5,0.0,4.3,,0,0,1.4,,,,,
2016-03-25,2.2,7.8,-2.9,0.0,7.2,,1,1,1.5,,,,,
2016-03-26,2.9,9.6,-2.7,0.0,7.3,,0,0,0.9,,,,,
2016-03-27,3.5,13.1,-3.4,0.0,5.2,,0,0,1.1,,,,,
2016-03-28,6.1,15.3,-2.0,0.0,10.8,,0,0,0.9,,,,,
2016-03-29,6.8,15.6,-2.0,0.0,10.5,,0,0,1.5,,,,,
2016-03-30,7.5,16.8,1.7,5.0,5.2,,0,0,1.0,,,,,
2016-03-31,8.0,14.4,0.5,0.0,10.3,,0,0,1.2,,,,,
2016-04-01,5.8,13.2,-0.3,0.0,9.8,,0,0,2.1,,,,,
2016-04-02,5.1,6.5,3.5,1.0,0.0,,0,0,1.1,,,,,
