calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.2,0.5,-3.3,1.0,5.6,,35,6,3.4,,,,,
2016-01-02,2.3,5.4,-4.6,6.0,1.4,,30,1,2.3,,,,,
2016-01-03,4.0,6.2,2.0,1.0,3.5,,18,1,2.2,,,,,
2016-01-04,1.6,4.6,-0.9,4.0,0.0,,12,0,2.4,,,,,
2016-01-05,-1.6,-0.4,-2.9,1.5,0.4,,22,17,2.9,,,,,
2016-01-06,-1.0,1.0,-2.8,0.0,1.6,,20,2,2.3,,,,,
2016-01-07,-1.6,0.4,-2.8,0.0,1.0,,17,4,3.1,,,,,
2016-01-08,-1.8,0.3,-4.2,0.5,1.3,,16,6,1.3,,,,,
2016-01-09,-2.8,-1.4,-4.7,2.0,0.9,,24,10,1.5,,,,,
2016-01-10,-1.9,1.5,-3.9,9.0,3.6,,38,24,1.7,,,,,
2016-01-11,-4.6,-3.4,-6.0,2.0,3.9,,44,12,3.0,,,,,
2016-01-12,-4.5,-3.2,-6.1,0.5,4.9,,45,7,2.8,,,,,
2016-01-13,-2.6,-0.8,-4.6,1.5,3.2,,40,6,1.6,,,,,
2016-01-14,-3.7,-0.6,-9.8,2.0,1.4,,45,7,1.9,,,,,
2016-01-15,-6.6,-1.5,-11.7,0.0,5.7,,39,1,1.1,,,,,
2016-01-16,-5.3,-1.6,-11.8,1.0,3.3,,39,11,1.6,,,,,
2016-01-17,-3.7,-1.4,-6.6,0.5,4.2,,41,3,1.4,,,,,
2016-01-18,-1.7,1.5,-5.0,22.0,0.0,,67,34,2.9,,,,,
2016-01-19,-2.4,-0.4,-4.9,33.5,0.0,,105,41,1.1,,,,,
2016-01-20,-2.7,-0.3,-7.7,5.0,1.4,,101,7,2.0,,,,,
2016-01-21,-3.3,-1.6,-4.7,2.5,5.2,,102,6,2.5,,,,,
2016-01-22,-4.4,-2.2,-5.9,0.5,3.3,,92,5,2.4,,,,,
2016-01-23,-4.2,-2.1,-5.7,0.5,1.5,,92,2,2.4,,,,,
2016-01-24,-4.8,-2.2,-6.5,6.0,5.1,,87,13,1.3,,,,,
2016-01-25,-4.5,-3.2,-5.8,5.5,0.3,,100,13,2.3,,,,,
2016-01-26,-0.9,1.5,-4.0,0.0,1.1,,91,1,1.3,,,,,
2016-01-27,0.2,2.1,-1.5,5.0,0.4,,87,8,2.9,,,,,
2016-01-28,0.0,2.5,-2.9,0.0,4.3,,80,0,3.6,,,,,
2016-01-29,-3.6,-1.8,-6.9,0.0,0.0,,75,0,0.9,,,,,
2016-01-30,-3.7,-0.9,-5.4,5.5,1.5,,83,11,0.9,,,,,
2016-01-31,-3.1,-1.1,-4.6,0.0,5.7,,80,4,2.7,,,,,
2016-02-01,-4.9,-3.2,-6.9,0.0,4.5,,78,1,1.9,,,,,
2016-02-02,-4.7,-3.0,-7.9,1.0,0.2,,81,10,1.3,,,,,
2016-02-03,-3.7,-1.2,-7.0,0.0,5.5,,81,0,2.0,,,,,
2016-02-04,-2.6,0.7,-8.2,2.0,3.5,,77,7,1.0,,,,,
2016-02-05,-1.4,0.9,-4.0,0.0,5.9,,76,1,2.7,,,,,
2016-02-06,-4.1,0.5,-8.5,0.0,6.5,,70,0,1.2,,,,,
2016-02-07,-5.6,-4.0,-7.3,0.0,4.6,,69,3,1.8,,,,,
2016-02-08,-2.6,2.1,-8.7,0.0,6.3,,67,3,1.1,,,,,
2016-02-09,-0.6,3.3,-3.2,4.0,2.3,,77,14,1.6,,,,,
2016-02-10,-3.6,-2.2,-4.9,5.5,5.7,,90,14,4.7,,,,,
2016-02-11,-4.1,-1.0,-9.7,0.0,0.6,,81,1,2.1,,,,,
2016-02-12,-1.8,4.1,-10.4,0.0,9.6,,76,0,1.0,,,,,
2016-02-13,4.9,10.8,1.0,0.0,0.2,,70,1,1.0,,,,,
2016-02-14,5.7,11.3,2.1,5.5,0.0,,61,0,2.1,,,,,
2016-02-15,-3.6,2.9,-7.2,2.5,0.3,,63,13,2.8,,,,,
