calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.8,6.5,-3.6,0.0,6.3,,0,0,3.7,,,,,
2016-01-02,5.7,9.9,0.7,1.0,1.7,,0,0,2.8,,,,,
2016-01-03,8.6,10.7,3.7,0.0,4.4,,0,0,3.6,,,,,
2016-01-04,8.4,13.8,3.8,0.0,3.9,,0,0,3.5,,,,,
2016-01-05,4.4,8.0,-0.7,0.0,6.8,,0,0,2.7,,,,,
2016-01-06,3.8,7.7,-0.7,0.0,3.7,,0,0,3.2,,,,,
2016-01-07,2.8,6.2,-0.7,0.0,3.7,,0,0,2.7,,,,,
2016-01-08,3.1,6.9,0.0,0.0,4.9,,0,0,3.6,,,,,
2016-01-09,2.1,6.3,-2.5,0.0,7.4,,0,0,3.1,,,,,
2016-01-10,2.9,7.4,-2.5,0.0,7.3,,0,0,3.6,,,,,
2016-01-11,0.4,3.5,-2.4,0.0,6.0,,0,0,3.3,,,,,
2016-01-12,-0.1,4.4,-3.5,0.0,4.5,,0,0,2.9,,,,,
2016-01-13,0.7,6.7,-5.4,0.0,6.7,,0,0,1.9,,,,,
2016-01-14,0.9,4.6,-2.7,1.0,6.3,,0,0,2.1,,,,,
2016-01-15,-1.4,3.4,-4.9,0.5,3.1,,2,2,0.9,,,,,
2016-01-16,-1.6,2.8,-5.6,0.5,0.4,,2,2,1.1,,,,,
2016-01-17,0.9,5.5,-3.8,0.0,6.1,,0,0,2.7,,,,,
2016-01-18,0.9,4.5,-1.3,62.0,0.0,,17,19,4.1,,,,,
2016-01-19,1.8,5.1,-0.8,1.0,6.5,,8,1,6.3,,,,,
2016-01-20,0.3,3.8,-3.6,0.0,3.3,,7,0,2.8,,,,,
2016-01-21,1.0,4.2,-2.7,0.0,4.7,,7,1,3.8,,,,,
2016-01-22,0.7,3.3,-2.1,0.0,6.2,,6,1,3.7,,,,,
2016-01-23,0.2,2.6,-1.7,0.0,2.1,,6,1,2.6,,,,,
2016-01-24,-1.5,1.9,-3.5,1.5,3.8,,8,2,2.0,,,,,
2016-01-25,-1.3,1.8,-4.8,0.5,2.7,,9,1,2.8,,,,,
2016-01-26,0.4,6.3,-5.8,0.0,7.4,,7,0,2.7,,,,,
2016-01-27,4.0,7.5,-1.5,0.0,6.8,,3,0,3.7,,,,,
2016-01-28,4.9,9.3,-0.1,0.0,4.2,,0,0,3.1,,,,,
2016-01-29,-0.9,0.6,-2.4,8.5,0.0,,8,9,,,,,,
2016-01-30,-1.1,1.5,-2.6,7.0,0.8,,16,8,,,,,,
2016-01-31,-0.7,4.8,-4.1,0.0,6.9,,10,0,1.9,,,,,
2016-02-01,0.1,3.5,-3.5,0.0,3.9,,5,0,2.9,,,,,
2016-02-02,-0.1,3.1,-3.1,0.0,3.3,,4,2,3.2,,,,,
2016-02-03,0.3,4.6,-3.7,0.0,7.1,,2,0,2.8,,,,,
2016-02-04,1.3,6.8,-4.0,0.0,5.4,,1,1,2.6,,,,,
2016-02-05,2.2,6.4,-1.6,0.0,9.3,,0,0,2.6,,,,,
2016-02-06,-0.4,2.7,-3.9,0.0,0.6,,1,1,1.1,,,,,
2016-02-07,-1.4,2.4,-5.8,0.0,6.3,,0,0,3.2,,,,,
2016-02-08,-1.3,5.9,-7.0,0.0,8.4,,0,0,1.6,,,,,
2016-02-09,1.7,7.7,-3.6,0.0,5.5,,1,1,3.0,,,,,
2016-02-10,1.5,4.0,0.2,0.0,7.2,,1,0,4.9,,,,,
2016-02-11,0.8,5.8,-3.9,0.0,9.2,,0,0,2.6,,,,,
2016-02-12,2.9,11.3,-5.5,0.0,9.4,,0,0,2.2,,,,,
2016-02-13,9.6,15.8,4.1,0.0,1.6,,0,0,2.0,,,,,
2016-02-14,12.6,19.6,7.6,0.5,2.3,,0,0,5.6,,,,,
2016-02-15,2.5,7.7,-2.1,1.0,4.3,,0,0,5.2,,,,,
2016-02-16,1.1,5.2,-3.0,0.0,7.5,,0,0,4.0,,,,,
2016-02-17,1.4,4.0,-1.8,0.0,3.7,,0,0,3.7,,,,,
2016-02-18,3.2,10.0,-2.5,0.0,10.0,,0,0,3.4,,,,,
2016-02-19,5.5,12.0,-3.5,0.0,8.5,,0,0,4.1,,,,,
2016-02-20,5.8,9.6,2.9,12.5,0.0,,0,0,1.4,,,,,
2016-02-21,6.2,10.0,2.6,0.0,6.3,,0,0,5.6,,,,,
2016-02-22,2.5,6.7,-0.7,0.0,5.9,,0,0,4.1,,,,,
2016-02-23,4.4,11.2,-2.5,0.0,9.5,,0,0,2.7,,,,,
2016-02-24,0.4,3.7,-3.6,0.5,2.1,,0,0,2.4,,,,,
2016-02-25,-1.1,4.0,-6.1,0.0,7.6,,0,0,2.4,,,,,
2016-02-26,1.0,5.5,-3.9,0.5,9.3,,1,1,3.0,,,,,
2016-02-27,3.4,7.9,-0.6,0.5,7.1,,0,0,2.9,,,,,
2016-02-28,3.4,7.4,-1.5,0.5,5.5,,0,0,2.1,,,,,
2016-02-29,5.5,12.9,0.7,0.0,2.5,,0,0,4.1,,,,,
2016-03-01,-0.2,3.0,-2.2,1.0,3.0,,3,3,4.5,,,,,
2016-03-02,1.3,6.4,-4.0,0.0,7.3,,1,1,2.3,,,,,
2016-03-03,4.5,9.8,-1.6,0.5,7.7,,0,0,4.2,,,,,
2016-03-04,2.4,9.5,-3.2,0.0,8.9,,0,0,1.2,,,,,
2016-03-05,3.3,10.0,-3.7,0.0,6.7,,0,0,1.4,,,,,
2016-03-06,7.9,15.8,4.0,0.0,2.9,,0,0,1.3,,,,,
2016-03-07,12.1,17.3,7.4,2.5,0.0,,0,0,1.5,,,,,
2016-03-08,11.2,17.0,8.1,0.5,5.6,,0,0,3.0,,,,,
2016-03-09,4.8,9.3,2.4,0.0,0.0,,0,0,2.8,,,,,
