calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.2,6.4,-5.6,0.0,4.3,,,,1.1,,,,,
2016-01-02,4.9,11.2,-2.1,0.0,3.2,,,,2.1,,,,,
2016-01-03,7.4,11.4,2.8,0.0,1.0,,,,1.9,,,,,
2016-01-04,4.6,10.7,0.3,0.0,2.8,,,,1.5,,,,,
2016-01-05,2.4,6.1,-2.1,0.0,3.1,,,,1.5,,,,,
2016-01-06,1.8,6.3,-2.7,0.0,2.9,,,,2.1,,,,,
2016-01-07,1.0,6.3,-2.5,0.0,3.5,,,,1.8,,,,,
2016-01-08,2.5,7.0,-1.0,0.0,4.9,,,,2.5,,,,,
2016-01-09,0.1,5.8,-2.5,0.0,4.3,,,,1.5,,,,,
2016-01-10,1.8,7.6,-1.8,0.0,6.9,,,,3.1,,,,,
2016-01-11,-0.1,4.7,-4.3,0.0,5.7,,,,2.3,,,,,
2016-01-12,-1.1,3.5,-4.6,0.0,2.4,,,,1.1,,,,,
2016-01-13,0.6,5.9,-5.7,0.0,6.6,,,,1.2,,,,,
2016-01-14,0.3,5.9,-5.3,0.0,7.1,,,,1.6,,,,,
2016-01-15,-1.9,5.1,-6.6,0.0,6.0,,,,1.0,,,,,
2016-01-16,-2.4,3.8,-6.5,0.0,2.6,,,,1.1,,,,,
2016-01-17,-1.2,4.9,-7.6,0.0,2.9,,,,1.9,,,,,
2016-01-18,0.8,3.3,-1.7,59.5,0.0,,,,3.0,,,,,
2016-01-19,0.0,2.3,-5.1,4.5,0.1,,,,1.7,,,,,
2016-01-20,-1.2,3.9,-7.7,0.0,7.6,,,,2.1,,,,,
2016-01-21,-0.2,3.4,-4.5,0.0,2.4,,,,2.4,,,,,
2016-01-22,-1.3,3.9,-5.0,0.0,8.4,,,,1.7,,,,,
2016-01-23,-0.9,1.7,-5.7,0.0,2.0,,,,2.6,,,,,
2016-01-24,-2.6,1.1,-8.1,3.0,4.5,,,,2.0,,,,,
2016-01-25,-1.9,1.2,-8.3,0.0,4.3,,,,2.0,,,,,
2016-01-26,1.2,5.7,-2.3,0.0,3.5,,,,1.5,,,,,
2016-01-27,1.4,6.1,-5.0,0.0,7.9,,,,2.7,,,,,
2016-01-28,2.9,6.2,0.3,0.0,7.8,,,,2.8,,,,,
2016-01-29,0.6,2.7,-1.2,0.0,0.0,,,,1.0,,,,,
2016-01-30,-2.0,0.8,-5.1,4.0,1.5,,,,0.9,,,,,
2016-01-31,-0.8,3.1,-6.6,0.0,7.6,,,,3.5,,,,,
2016-02-01,-0.9,2.2,-3.6,0.0,2.2,,,,1.2,,,,,
2016-02-02,-2.0,3.2,-8.1,0.0,2.4,,,,1.0,,,,,
2016-02-03,-1.1,4.4,-6.0,0.0,5.7,,,,0.7,,,,,
2016-02-04,0.3,5.4,-4.9,0.0,4.5,,,,0.9,,,,,
2016-02-05,2.1,6.2,-1.8,0.0,7.8,,,,3.8,,,,,
