calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,7.8,-4.0,0.0,5.1,,,,1.1,,,,,
2016-01-02,4.4,10.7,-2.0,0.0,2.5,,,,1.5,,,,,
2016-01-03,8.0,11.3,4.1,0.0,1.5,,,,1.3,,,,,
2016-01-04,8.4,13.2,5.2,0.0,2.1,,,,1.8,,,,,
2016-01-05,3.9,5.7,-1.2,0.0,1.7,,,,1.7,,,,,
2016-01-06,3.2,8.5,-2.8,0.0,2.5,,,,1.2,,,,,
2016-01-07,2.2,4.9,-0.6,0.0,0.2,,,,1.2,,,,,
2016-01-08,1.9,7.0,-2.7,0.0,3.9,,,,1.0,,,,,
2016-01-09,1.0,5.1,-2.5,0.0,2.4,,,,1.0,,,,,
2016-01-10,3.0,8.7,-2.1,0.0,3.7,,,,1.1,,,,,
2016-01-11,0.6,2.7,-3.4,0.0,0.7,,,,1.2,,,,,
2016-01-12,-0.5,4.0,-4.7,0.0,1.2,,,,0.9,,,,,
2016-01-13,0.4,6.7,-5.4,0.0,5.7,,,,1.3,,,,,
2016-01-14,0.8,4.8,-4.1,0.0,6.7,,,,1.1,,,,,
2016-01-15,-1.6,3.9,-6.3,0.0,4.0,,,,0.7,,,,,
2016-01-16,-2.1,3.9,-7.4,0.0,2.6,,,,0.7,,,,,
2016-01-17,-0.4,5.9,-6.8,0.0,3.5,,,,0.9,,,,,
2016-01-18,0.7,3.3,-1.1,56.0,0.0,,,,1.1,,,,,
2016-01-19,2.2,6.4,-2.8,0.5,2.0,,,,1.8,,,,,
2016-01-20,-0.5,4.4,-5.4,1.5,3.3,,,,1.0,,,,,
2016-01-21,0.3,5.5,-3.9,0.0,7.2,,,,1.2,,,,,
2016-01-22,-0.4,4.8,-4.7,0.0,5.8,,,,1.4,,,,,
2016-01-23,-0.1,2.7,-3.7,0.5,1.5,,,,0.8,,,,,
2016-01-24,-1.3,2.2,-3.9,2.5,4.8,,,,1.0,,,,,
2016-01-25,-2.0,1.3,-6.2,0.0,2.2,,,,1.0,,,,,
2016-01-26,-0.5,7.3,-6.9,0.0,7.3,,,,1.0,,,,,
2016-01-27,4.1,8.9,-2.2,0.0,5.2,,,,1.4,,,,,
2016-01-28,3.6,9.7,0.0,0.0,4.0,,,,1.0,,,,,
2016-01-29,-0.8,0.4,-2.3,7.5,0.0,,,,,,,,,
2016-01-30,-0.7,2.2,-2.9,5.5,0.7,,,,,,,,,
2016-01-31,-0.4,5.3,-4.6,0.0,4.5,,,,0.9,,,,,
2016-02-01,-0.6,3.1,-4.5,0.0,2.0,,,,1.0,,,,,
2016-02-02,-0.2,4.3,-4.6,0.0,2.4,,,,1.0,,,,,
2016-02-03,-0.7,4.3,-4.6,0.0,5.4,,,,1.0,,,,,
2016-02-04,0.6,6.8,-4.8,0.0,5.7,,,,1.0,,,,,
2016-02-05,1.9,6.5,-2.0,0.0,4.1,,,,1.0,,,,,
2016-02-06,-0.3,2.8,-4.5,0.0,0.6,,,,0.6,,,,,
2016-02-07,-1.4,3.3,-6.2,0.0,7.4,,,,1.3,,,,,
2016-02-08,-2.1,5.8,-9.0,0.0,9.5,,,,0.9,,,,,
2016-02-09,1.6,7.9,-4.9,0.0,5.5,,,,1.2,,,,,
2016-02-10,1.4,4.3,-1.2,0.0,6.6,,,,1.7,,,,,
2016-02-11,1.2,5.9,-4.8,0.0,7.7,,,,1.3,,,,,
2016-02-12,1.1,9.6,-7.0,0.0,9.4,,,,1.1,,,,,
2016-02-13,5.8,14.4,1.9,0.0,1.5,,,,1.0,,,,,
2016-02-14,10.8,18.6,4.2,0.5,0.3,,,,1.9,,,,,
2016-02-15,2.7,10.1,-3.3,0.0,4.1,,,,2.2,,,,,
