calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.3,9.2,3.5,0.0,3.2,,,,7.2,5.4,1026.5,57,1027.4,
2016-01-02,10.9,11.9,8.8,6.5,0.7,,,,9.7,9.3,1019.5,71,1020.4,
2016-01-03,11.1,14.1,7.7,0.5,5.0,,,,5.0,9.4,1015.9,71,1016.8,
2016-01-04,8.4,14.2,5.4,0.0,1.9,,,,6.8,8.1,1014.6,73,1015.5,
2016-01-05,5.3,7.0,4.1,2.5,0.0,,,,6.5,6.2,1019.1,69,1020.0,
2016-01-06,6.0,9.1,3.3,4.0,0.4,,,,5.5,6.2,1017.9,66,1018.8,
2016-01-07,5.2,8.0,3.8,2.0,1.8,,,,11.0,5.5,1014.8,61,1015.7,
2016-01-08,4.3,6.5,2.7,3.0,0.1,,,,5.0,5.9,1014.1,71,1015.0,
2016-01-09,4.4,8.0,3.1,2.0,0.8,,,,7.3,5.1,1018.2,61,1019.1,
2016-01-10,5.9,8.4,3.4,2.0,0.0,,,,11.2,6.7,1017.4,72,1018.3,
2016-01-11,2.4,4.3,0.8,1.0,0.0,,,,8.2,4.6,1020.5,64,1021.4,
2016-01-12,2.4,3.6,1.2,0.0,1.1,,,,7.3,4.2,1017.1,58,1018.0,
2016-01-13,4.0,7.2,1.2,7.5,1.9,,,,6.3,6.0,1011.9,73,1012.8,
2016-01-14,1.9,6.5,-0.1,3.0,0.0,,4,4,5.9,5.4,1013.8,77,1014.7,
2016-01-15,1.3,3.3,-0.1,13.0,0.7,,7,3,3.0,5.5,1017.6,83,1018.5,
2016-01-16,2.5,5.9,1.3,8.5,0.7,,3,,5.1,5.2,1020.3,71,1021.2,
2016-01-17,3.7,5.4,0.2,0.0,1.3,,1,,4.3,5.0,1021.5,63,1022.4,
2016-01-18,5.1,10.1,1.8,34.5,0.0,,,,9.2,7.0,998.3,79,999.2,
2016-01-19,3.4,8.2,0.7,21.0,0.0,,1,1,13.8,6.2,999.6,80,1000.5,
2016-01-20,3.6,6.1,0.9,16.5,1.7,,1,1,11.3,5.7,1009.4,72,1010.3,
2016-01-21,3.3,4.8,2.0,0.0,1.3,,,,10.1,4.8,1019.3,62,1020.2,
