calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.6,7.0,0.3,0.5,,,,,2.2,,,,,
2016-01-02,8.8,10.7,2.2,14.0,,,,,6.1,,,,,
2016-01-03,9.6,14.0,4.3,0.0,,,,,2.7,,,,,
2016-01-04,6.9,13.6,2.8,0.0,,,,,3.3,,,,,
2016-01-05,4.4,5.5,2.9,1.5,,,,,2.2,,,,,
2016-01-06,4.1,7.1,0.5,2.5,,,,,2.1,,,,,
2016-01-07,3.6,4.7,2.3,1.0,,,,,2.9,,,,,
2016-01-08,2.6,4.0,1.4,2.5,,,,,1.4,,,,,
2016-01-09,3.0,5.3,1.6,2.0,,,,,1.5,,,,,
2016-01-10,4.6,6.6,2.2,4.5,,,,,4.6,,,,,
2016-01-11,1.0,3.3,-0.7,4.0,,,,,1.9,,,,,
2016-01-12,-0.1,2.5,-1.8,0.0,,,,,1.3,,,,,
2016-01-13,1.9,4.8,-1.6,8.5,,,,,2.5,,,,,
2016-01-14,1.0,3.5,-0.7,5.0,,,,,2.3,,,,,
2016-01-15,0.8,3.5,-0.7,3.5,,,,,1.3,,,,,
2016-01-16,1.0,3.4,-0.7,4.0,,,,,1.7,,,,,
2016-01-17,2.2,5.0,-1.9,0.0,,,,,2.0,,,,,
2016-01-18,3.7,7.5,1.6,30.0,,,,,4.1,,,,,
2016-01-19,1.4,6.3,-0.6,26.0,,,,,8.0,,,,,
2016-01-20,1.7,4.5,-1.6,18.5,,,,,4.6,,,,,
2016-01-21,1.8,3.3,-0.4,0.5,,,,,3.3,,,,,
2016-01-22,1.0,2.8,-0.9,0.5,,,,,4.1,,,,,
2016-01-23,0.2,1.9,-1.8,0.5,,,,,2.9,,,,,
2016-01-24,-1.6,0.4,-2.8,18.0,,,,,2.4,,,,,
2016-01-25,0.2,2.3,-3.1,6.5,,,,,4.0,,,,,
2016-01-26,3.5,6.0,0.8,3.0,,,,,4.1,,,,,
2016-01-27,4.0,6.6,1.4,23.5,,,,,4.3,,,,,
2016-01-28,3.9,7.2,1.1,0.0,,,,,1.4,,,,,
2016-01-29,1.3,3.5,0.2,7.0,,,,,4.0,,,,,
2016-01-30,1.3,3.2,0.3,6.5,,,,,2.0,,,,,
2016-01-31,1.3,3.4,-0.7,1.0,,,,,1.5,,,,,
2016-02-01,0.6,3.1,-1.0,0.0,,,,,2.1,,,,,
2016-02-02,1.1,3.1,-0.8,0.0,,,,,3.2,,,,,
2016-02-03,1.1,4.1,-1.5,0.0,,,,,1.5,,,,,
2016-02-04,2.2,6.2,-3.9,7.5,,,,,2.8,,,,,
2016-02-05,3.6,6.6,0.9,0.0,,,,,2.0,,,,,
2016-02-06,0.4,1.9,-0.9,3.0,,,,,1.6,,,,,
2016-02-07,-1.0,2.6,-4.5,0.0,,,,,1.5,,,,,
2016-02-08,1.1,6.5,-4.5,2.0,,,,,1.6,,,,,
2016-02-09,2.0,3.8,0.2,27.5,,,,,4.3,,,,,
2016-02-10,1.9,3.7,0.1,1.0,,,,,4.7,,,,,
2016-02-11,2.4,7.2,-1.9,0.0,,,,,1.5,,,,,
2016-02-12,6.0,14.3,-1.8,0.0,,,,,1.9,,,,,
