calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.2,7.9,1.5,4.0,1.5,,,,,,,,,
2016-01-02,9.3,12.1,6.5,4.0,1.2,,,,,,,,,
2016-01-03,9.0,11.5,5.9,7.5,0.6,,,,,,,,,
2016-01-04,7.0,12.8,4.3,4.0,0.3,,,,,,,,,
2016-01-05,4.2,5.6,3.3,5.5,0.0,,,,,,,,,
2016-01-06,4.6,6.5,2.7,4.0,0.2,,,,,,,,,
2016-01-07,4.5,6.6,3.3,0.5,0.9,,,,,,,,,
2016-01-08,3.6,4.7,2.4,12.5,0.0,,,,,,,,,
2016-01-09,3.9,5.7,2.4,0.5,1.5,,,,,,,,,
2016-01-10,4.6,6.8,2.7,7.0,0.0,,,,,,,,,
2016-01-11,1.8,3.2,0.3,1.5,0.3,,,,,,,,,
2016-01-12,1.9,3.5,-0.1,1.0,0.4,,,,,,,,,
2016-01-13,3.1,4.8,0.6,19.5,0.0,,,,,,,,,
2016-01-14,1.6,4.5,-0.4,1.5,0.0,,,,,,,,,
2016-01-15,0.5,1.5,-0.5,1.5,0.0,,,,,,,,,
2016-01-16,1.3,2.7,-0.1,13.5,0.3,,,,,,,,,
2016-01-17,2.4,4.4,-0.7,19.5,0.7,,,,,,,,,
2016-01-18,3.6,6.5,1.1,18.0,0.0,,,,,,,,,
2016-01-19,2.5,7.0,0.4,27.0,0.2,,,,,,,,,
2016-01-20,2.6,5.5,0.3,25.5,1.6,,,,,,,,,
2016-01-21,2.6,4.3,1.2,4.5,2.5,,,,,,,,,
2016-01-22,1.6,3.2,-0.3,2.0,1.5,,,,,,,,,
2016-01-23,1.3,2.5,0.3,3.0,0.0,,,,,,,,,
2016-01-24,0.4,2.0,-1.3,1.0,0.0,,,,,,,,,
2016-01-25,1.3,3.0,-0.6,2.5,0.8,,,,,,,,,
2016-01-26,4.3,7.1,1.9,13.5,0.1,,,,,,,,,
