calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.5,7.3,1.4,0.5,2.2,,,,2.6,,,,,
2016-01-02,9.9,11.6,1.8,4.0,0.6,,,,4.4,,,,,
2016-01-03,10.2,12.9,6.0,39.0,1.1,,,,1.8,,,,,
2016-01-04,7.5,14.0,4.2,2.5,1.3,,,,3.6,,,,,
2016-01-05,5.0,6.2,3.8,0.5,0.0,,,,3.3,,,,,
2016-01-06,5.3,8.3,1.7,2.5,0.1,,,,2.2,,,,,
2016-01-07,4.6,6.6,3.7,1.0,2.3,,,,4.2,,,,,
2016-01-08,3.1,4.9,0.9,3.5,0.1,,,,2.0,,,,,
2016-01-09,3.8,6.3,2.4,4.0,0.2,,,,2.9,,,,,
2016-01-10,5.0,7.2,3.1,20.0,0.0,,,,3.3,,,,,
2016-01-11,1.4,3.2,-0.1,1.5,0.0,,,,3.4,,,,,
2016-01-12,1.5,2.9,-0.3,0.5,0.4,,,,3.3,,,,,
2016-01-13,2.5,6.0,0.0,12.5,0.8,,,,2.0,,,,,
2016-01-14,1.8,5.3,0.0,1.5,0.0,,,,2.4,,,,,
2016-01-15,1.2,3.4,-0.2,4.0,0.1,,,,1.4,,,,,
2016-01-16,2.4,4.7,-0.5,2.0,0.5,,,,2.6,,,,,
2016-01-17,2.5,5.6,-1.4,1.0,1.2,,,,1.9,,,,,
2016-01-18,4.6,8.3,2.2,56.0,0.0,,,,2.6,,,,,
2016-01-19,2.5,6.5,0.0,13.5,2.8,,,,5.3,,,,,
2016-01-20,2.8,5.0,1.0,8.0,1.2,,,,5.5,,,,,
2016-01-21,2.0,3.5,0.6,3.5,0.9,,,,2.9,,,,,
2016-01-22,1.8,4.2,-0.5,1.0,1.5,,,,2.7,,,,,
2016-01-23,0.8,2.9,-0.3,1.5,0.0,,,,2.7,,,,,
2016-01-24,-0.9,0.7,-2.2,21.0,0.0,,,,3.2,,,,,
2016-01-25,0.8,3.6,-1.4,5.5,0.9,,,,3.0,,,,,
2016-01-26,4.2,6.9,0.9,5.5,1.3,,,,3.2,,,,,
2016-01-27,5.3,8.6,2.9,20.5,0.7,,,,3.1,,,,,
2016-01-28,4.8,7.5,2.5,11.5,1.2,,,,1.8,,,,,
2016-01-29,1.9,3.1,0.7,8.5,0.0,,,,1.5,,,,,
2016-01-30,2.2,5.3,0.2,3.0,1.2,,,,1.1,,,,,
2016-01-31,2.3,4.6,-0.1,2.0,0.0,,,,2.5,,,,,
2016-02-01,1.5,3.0,-0.3,0.0,0.3,,,,2.6,,,,,
2016-02-02,1.8,3.6,0.3,0.5,1.5,,,,2.2,,,,,
2016-02-03,2.6,4.5,1.2,0.0,0.1,,,,2.1,,,,,
2016-02-04,4.3,7.9,-0.7,2.0,1.9,,,,2.7,,,,,
