calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.4,7.8,1.7,1.5,,,,,5.2,,,,,
2016-01-02,7.2,11.9,2.5,5.5,,,,,5.6,,,,,
2016-01-03,10.0,11.9,7.9,15.5,,,,,4.5,,,,,
2016-01-04,8.6,13.7,6.0,0.5,,,,,5.8,,,,,
2016-01-05,4.8,6.5,2.7,7.5,,,,,5.7,,,,,
2016-01-06,5.5,8.4,2.5,2.0,,,,,4.4,,,,,
2016-01-07,5.1,7.1,2.6,1.0,,,,,7.5,,,,,
2016-01-08,2.9,5.5,1.7,4.0,,,,,3.3,,,,,
2016-01-09,3.4,5.5,1.4,1.5,,,,,5.5,,,,,
2016-01-10,5.1,7.8,2.0,12.5,,,,,7.0,,,,,
2016-01-11,2.0,4.2,0.5,5.0,,,,,7.2,,,,,
2016-01-12,1.5,3.4,0.0,1.0,,,,,4.6,,,,,
2016-01-13,1.9,4.5,-0.5,14.0,,,,,4.1,,,,,
2016-01-14,1.8,5.4,-0.6,5.0,,,,,6.8,,,,,
2016-01-15,-0.7,1.7,-3.3,1.0,,,,,1.8,,,,,
2016-01-16,1.5,3.9,-1.3,4.0,,,,,5.3,,,,,
2016-01-17,1.2,4.2,-2.4,3.5,,,,,3.3,,,,,
2016-01-18,3.0,7.4,1.2,13.0,,,,,4.4,,,,,
2016-01-19,2.7,7.0,-0.5,13.5,,,,,10.9,,,,,
2016-01-20,2.0,5.7,-1.2,9.0,,,,,9.1,,,,,
2016-01-21,3.4,5.1,1.4,0.0,,,,,7.3,,,,,
2016-01-22,3.1,5.9,1.6,0.0,,,,,8.2,,,,,
2016-01-23,1.2,2.7,-0.8,1.0,,,,,5.6,,,,,
2016-01-24,-0.5,2.1,-2.8,20.5,,,,,7.5,,,,,
2016-01-25,1.1,3.0,-2.2,1.5,,,,,7.7,,,,,
2016-01-26,1.9,5.7,0.4,0.5,,,,,4.2,,,,,
2016-01-27,4.7,6.7,2.4,6.5,,,,,5.1,,,,,
2016-01-28,4.4,6.8,2.2,6.0,,,,,2.8,,,,,
2016-01-29,1.8,3.1,0.7,9.0,,,,,6.8,,,,,
2016-01-30,1.3,2.5,-0.2,5.0,,,,,3.3,,,,,
2016-01-31,2.4,5.1,0.6,4.5,,,,,4.6,,,,,
2016-02-01,1.8,2.5,0.4,0.0,,,,,5.2,,,,,
2016-02-02,2.1,5.1,-0.7,0.0,,,,,6.4,,,,,
2016-02-03,2.2,4.2,0.5,1.0,,,,,4.2,,,,,
2016-02-04,3.2,7.3,0.1,2.5,,,,,4.9,,,,,
2016-02-05,3.4,5.9,1.6,6.0,,,,,3.7,,,,,
2016-02-06,1.5,3.3,0.3,6.0,,,,,5.4,,,,,
2016-02-07,0.4,3.6,-2.3,1.0,,,,,5.3,,,,,
2016-02-08,1.2,6.1,-3.3,0.0,,,,,3.4,,,,,
2016-02-09,1.8,5.0,0.3,31.0,,,,,6.3,,,,,
2016-02-10,2.7,5.3,0.4,0.0,,,,,9.4,,,,,
2016-02-11,3.4,6.8,-0.8,0.0,,,,,3.4,,,,,
2016-02-12,5.3,12.6,-3.9,0.0,,,,,2.3,,,,,
2016-02-13,8.3,13.1,4.9,1.0,,,,,2.8,,,,,
2016-02-14,10.2,14.3,6.5,9.0,,,,,6.7,,,,,
2016-02-15,1.8,6.6,-0.8,2.0,,,,,8.9,,,,,
2016-02-16,0.8,3.3,-0.9,13.5,,,,,5.5,,,,,
2016-02-17,2.6,4.3,0.8,2.5,,,,,8.1,,,,,
2016-02-18,3.7,9.2,-0.9,0.0,,,,,4.4,,,,,
2016-02-19,6.6,11.9,0.7,0.5,,,,,6.0,,,,,
2016-02-20,7.3,11.5,4.1,7.5,,,,,3.0,,,,,
2016-02-21,6.0,10.0,2.9,2.0,,,,,8.6,,,,,
2016-02-22,3.0,4.9,1.1,0.0,,,,,4.2,,,,,
2016-02-23,5.4,9.0,1.3,2.0,,,,,5.9,,,,,
2016-02-24,1.7,4.8,-1.3,2.0,,,,,7.6,,,,,
2016-02-25,1.3,3.8,-1.1,2.5,,,,,4.9,,,,,
2016-02-26,2.3,5.2,-0.1,2.0,,,,,6.1,,,,,
2016-02-27,4.7,8.9,0.0,3.5,,,,,5.0,,,,,
2016-02-28,6.2,9.6,2.5,0.0,,,,,4.0,,,,,
2016-02-29,5.7,10.0,1.5,8.0,,,,,8.0,,,,,
2016-03-01,1.4,3.6,-0.8,0.5,,,,,9.6,,,,,
2016-03-02,2.9,7.3,0.3,1.5,,,,,5.0,,,,,
2016-03-03,5.7,9.4,1.8,1.5,,,,,5.5,,,,,
2016-03-04,4.6,8.3,-0.7,0.0,,,,,2.6,,,,,
2016-03-05,6.9,11.6,-0.7,0.0,,,,,2.8,,,,,
2016-03-06,13.4,21.1,5.0,0.0,,,,,2.6,,,,,
2016-03-07,9.0,14.1,6.7,9.0,,,,,3.2,,,,,
2016-03-08,9.0,13.1,5.9,0.5,,,,,4.4,,,,,
2016-03-09,4.8,6.4,2.9,0.0,,,,,3.6,,,,,
2016-03-10,3.9,6.1,2.3,0.0,,,,,3.6,,,,,
2016-03-11,2.4,5.3,0.5,1.0,,,,,3.4,,,,,
2016-03-12,2.6,5.7,0.0,1.0,,,,,2.9,,,,,
2016-03-13,5.5,9.7,0.7,0.0,,,,,2.7,,,,,
2016-03-14,5.4,7.1,3.8,3.5,,,,,2.2,,,,,
2016-03-15,5.7,8.4,2.8,0.5,,,,,6.2,,,,,
2016-03-16,7.2,13.3,0.7,0.0,,,,,4.0,,,,,
2016-03-17,9.2,15.7,2.9,0.0,,,,,3.2,,,,,
2016-03-18,12.4,21.8,5.0,0.0,,,,,3.0,,,,,
2016-03-19,10.2,12.8,7.7,5.0,,,,,4.0,,,,,
2016-03-20,7.6,9.6,5.9,1.0,,,,,5.3,,,,,
2016-03-21,6.7,9.5,4.0,0.0,,,,,4.0,,,,,
2016-03-22,8.3,12.6,2.9,0.0,,,,,5.8,,,,,
2016-03-23,8.0,11.4,5.6,0.0,,,,,5.5,,,,,
2016-03-24,4.8,8.7,1.2,2.5,,,,,4.8,,,,,
2016-03-25,4.1,7.8,1.5,4.0,,,,,5.4,,,,,
2016-03-26,4.2,8.1,0.8,3.0,,,,,3.7,,,,,
2016-03-27,5.6,10.4,-0.8,0.0,,,,,2.4,,,,,
2016-03-28,7.7,11.6,2.2,0.0,,,,,3.0,,,,,
2016-03-29,9.1,13.5,2.4,0.0,,,,,2.6,,,,,
2016-03-30,11.3,18.4,6.0,3.0,,,,,4.7,,,,,
2016-03-31,10.2,14.0,6.6,0.0,,,,,3.1,,,,,
2016-04-01,10.7,15.4,4.4,0.0,,,,,3.6,,,,,
2016-04-02,14.3,21.5,8.5,0.0,,,,,4.7,,,,,
2016-04-03,14.8,23.7,11.2,0.0,,,,,4.6,,,,,
2016-04-04,8.8,11.3,8.0,15.0,,,,,7.6,,,,,
2016-04-05,9.0,14.3,2.9,0.0,,,,,3.1,,,,,
2016-04-06,10.7,13.5,8.1,1.0,,,,,3.7,,,,,
2016-04-07,11.8,14.5,8.0,31.0,,,,,3.4,,,,,
2016-04-08,12.7,15.6,10.7,0.0,,,,,4.6,,,,,
2016-04-09,14.5,19.4,8.5,0.0,,,,,5.0,,,,,
2016-04-10,11.8,18.6,8.4,0.0,,,,,5.7,,,,,
2016-04-11,6.3,9.5,2.7,7.5,,,,,7.9,,,,,
2016-04-12,7.3,10.8,1.7,0.0,,,,,3.6,,,,,
2016-04-13,12.5,22.3,5.4,6.0,,,,,2.7,,,,,
2016-04-14,13.6,16.4,11.1,3.5,,,,,3.2,,,,,
2016-04-15,9.7,12.5,6.6,2.0,,,,,6.7,,,,,
2016-04-16,11.1,16.3,4.1,0.0,,,,,2.5,,,,,
2016-04-17,16.7,27.2,13.6,1.5,,,,,8.3,,,,,
2016-04-18,13.8,16.3,11.5,0.0,,,,,5.4,,,,,
2016-04-19,10.3,15.1,7.0,0.5,,,,,3.6,,,,,
2016-04-20,11.2,15.3,4.4,0.0,,,,,2.7,,,,,
2016-04-21,14.4,19.3,12.3,3.0,,,,,2.8,,,,,
2016-04-22,13.4,15.8,12.0,6.5,,,,,3.0,,,,,
2016-04-23,16.1,23.7,10.2,0.0,,,,,4.2,,,,,
2016-04-24,13.3,15.9,9.2,0.0,,,,,3.9,,,,,
2016-04-25,12.5,16.9,6.2,0.0,,,,,3.2,,,,,
2016-04-26,14.1,17.3,9.5,0.0,,,,,3.4,,,,,
2016-04-27,12.8,15.4,8.1,0.0,,,,,4.3,,,,,
2016-04-28,13.0,14.6,12.1,21.0,,,,,3.5,,,,,
2016-04-29,11.2,13.3,9.0,0.5,,,,,9.9,,,,,
2016-04-30,11.5,15.7,7.5,0.5,,,,,4.0,,,,,
