calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.8,7.1,-0.1,3.0,0.4,,,,2.9,,,,,
2016-01-02,5.4,10.9,1.1,20.0,0.3,,,,2.3,,,,,
2016-01-03,7.6,10.0,5.6,3.0,0.3,,,,1.5,,,,,
2016-01-04,6.9,13.6,3.3,2.0,1.6,,,,2.6,,,,,
2016-01-05,2.3,5.9,0.3,21.0,0.0,,,,1.6,,,,,
2016-01-06,2.9,5.1,1.0,1.5,1.3,,,,1.8,,,,,
2016-01-07,4.2,5.0,2.9,5.5,0.0,,,,3.7,,,,,
2016-01-08,1.8,4.6,0.4,15.0,0.0,,,,1.7,,,,,
2016-01-09,2.7,4.8,0.7,1.0,0.0,,,,2.6,,,,,
2016-01-10,3.8,7.0,0.9,19.0,0.0,,,,3.3,,,,,
2016-01-11,1.4,3.0,-0.1,4.0,0.0,,,,3.1,,,,,
2016-01-12,1.7,2.9,0.2,0.5,0.0,,,,2.7,,,,,
2016-01-13,1.4,3.1,0.0,12.0,1.4,,,,1.9,,,,,
2016-01-14,0.5,3.9,-3.0,9.5,0.0,,,,,,,,,
2016-01-15,-1.7,1.0,-4.0,0.0,0.4,,,,,,,,,
2016-01-16,-0.1,1.7,-2.5,3.5,0.5,,,,1.8,,,,,
2016-01-17,0.5,1.8,-1.1,13.5,0.0,,,,,,,,,
2016-01-18,2.1,5.4,0.5,10.5,0.0,,,,2.7,,,,,
2016-01-19,2.2,6.1,-1.3,19.5,0.0,,,,5.3,,,,,
2016-01-20,1.5,5.2,-1.2,16.0,0.6,,,,3.5,,,,,
2016-01-21,2.8,3.9,0.6,4.0,0.0,,,,4.2,,,,,
2016-01-22,1.9,3.5,-0.2,3.0,1.6,,,,4.4,,,,,
2016-01-23,0.6,2.2,-1.4,0.0,0.0,,,,2.4,,,,,
2016-01-24,-1.3,1.3,-2.6,23.5,0.0,,,,2.2,,,,,
2016-01-25,1.1,2.5,-2.6,8.0,0.7,,,,4.2,,,,,
2016-01-26,1.7,4.3,0.6,3.0,0.3,,,,1.8,,,,,
2016-01-27,3.4,5.2,1.0,30.0,0.0,,,,2.7,,,,,
2016-01-28,2.1,4.3,0.6,10.0,0.2,,,,1.6,,,,,
2016-01-29,0.6,1.9,-0.1,5.0,0.0,,,,1.2,,,,,
2016-01-30,0.6,2.5,-0.6,6.5,0.5,,,,,,,,,
2016-01-31,1.5,3.7,-0.3,12.0,0.0,,,,1.8,,,,,
2016-02-01,1.3,2.4,-0.7,3.0,0.0,,,,,,,,,
2016-02-02,1.7,4.0,-0.2,2.5,2.1,,,,4.1,,,,,
2016-02-03,0.8,2.1,-0.5,10.0,0.1,,,,1.3,,,,,
2016-02-04,2.2,5.2,0.0,12.0,2.2,,,,,,,,,
2016-02-05,2.5,4.9,0.2,7.0,0.0,,,,1.7,,,,,
2016-02-06,0.8,3.4,-0.7,2.5,2.0,,,,,,,,,
2016-02-07,-0.2,2.3,-2.1,1.5,3.0,,,,2.4,,,,,
2016-02-08,-1.0,6.3,-6.8,0.0,8.8,,,,2.3,,,,,
2016-02-09,1.2,3.9,-3.2,33.5,0.0,,,,2.6,,,,,
2016-02-10,2.1,3.3,0.5,2.5,1.4,,,,4.9,,,,,
2016-02-11,2.4,5.5,-3.1,0.0,6.1,,,,2.5,,,,,
2016-02-12,2.3,11.8,-5.0,0.0,9.4,,,,2.8,,,,,
2016-02-13,4.1,7.2,2.2,0.0,0.0,,,,3.5,,,,,
2016-02-14,7.1,12.3,3.6,10.5,0.0,,,,3.6,,,,,
2016-02-15,1.0,6.0,-1.4,8.0,0.0,,,,3.8,,,,,
2016-02-16,0.0,2.3,-2.6,17.5,1.1,,,,2.4,,,,,
2016-02-17,1.9,3.1,0.4,5.0,0.0,,,,3.6,,,,,
2016-02-18,2.1,8.5,-2.5,0.0,8.4,,,,2.4,,,,,
2016-02-19,4.2,10.9,-2.8,2.5,1.7,,,,3.1,,,,,
2016-02-20,4.9,9.6,2.3,12.5,0.0,,,,2.2,,,,,
2016-02-21,5.2,9.3,2.0,3.0,0.7,,,,4.4,,,,,
2016-02-22,2.2,5.0,-0.9,0.0,1.3,,,,2.3,,,,,
2016-02-23,3.9,8.3,-0.9,8.5,1.2,,,,3.1,,,,,
2016-02-24,0.5,4.4,-1.8,4.0,0.4,,,,2.8,,,,,
2016-02-25,0.0,2.9,-2.0,4.5,0.8,,,,2.0,,,,,
2016-02-26,1.5,3.8,-0.1,5.0,0.3,,,,2.8,,,,,
2016-02-27,4.2,7.1,0.5,2.0,4.7,,,,2.6,,,,,
2016-02-28,4.8,9.6,-0.6,0.0,7.4,,,,2.4,,,,,
2016-02-29,5.4,10.2,1.4,16.5,0.0,,,,3.8,,,,,
2016-03-01,1.2,2.8,-0.4,2.0,1.8,,,,5.5,,,,,
2016-03-02,1.3,4.9,-0.5,7.5,0.8,,,,2.0,,,,,
2016-03-03,4.7,8.9,-0.1,8.5,2.3,,,,2.8,,,,,
2016-03-04,3.3,9.5,-1.1,0.0,7.8,,,,2.2,,,,,
2016-03-05,6.9,15.1,-1.5,0.0,10.0,,,,2.8,,,,,
2016-03-06,9.9,19.0,3.4,0.0,6.2,,,,3.6,,,,,
2016-03-07,8.2,10.0,5.2,14.0,0.0,,,,1.8,,,,,
2016-03-08,7.2,12.3,3.7,0.0,0.0,,,,2.4,,,,,
2016-03-09,4.2,5.9,2.2,0.0,0.0,,,,1.6,,,,,
2016-03-10,2.2,5.0,0.9,1.0,0.6,,,,1.6,,,,,
2016-03-11,1.9,5.7,0.4,0.5,4.1,,,,2.1,,,,,
2016-03-12,2.0,6.9,-1.5,1.0,9.5,,,,1.9,,,,,
2016-03-13,3.7,9.7,-2.3,0.0,5.5,,,,2.2,,,,,
2016-03-14,4.7,7.6,2.7,1.0,0.0,,,,1.7,,,,,
2016-03-15,5.2,7.8,2.5,1.0,3.6,,,,3.1,,,,,
2016-03-16,6.8,13.7,1.8,0.0,6.0,,,,1.7,,,,,
2016-03-17,7.5,16.2,0.0,0.0,11.1,,,,2.6,,,,,
2016-03-18,11.0,22.2,1.8,0.0,6.9,,,,2.7,,,,,
2016-03-19,9.2,11.8,7.5,7.5,0.0,,,,2.8,,,,,
2016-03-20,7.1,9.5,4.2,0.0,0.1,,,,2.3,,,,,
2016-03-21,4.3,9.0,0.4,0.0,5.8,,,,2.5,,,,,
2016-03-22,7.5,11.9,0.5,2.5,6.3,,,,2.6,,,,,
2016-03-23,7.3,10.4,4.6,0.0,4.1,,,,3.0,,,,,
2016-03-24,4.4,8.4,0.5,5.5,4.8,,,,2.1,,,,,
2016-03-25,2.9,7.0,-0.2,2.0,5.9,,,,2.2,,,,,
2016-03-26,3.0,8.2,-0.3,4.0,2.5,,,,1.9,,,,,
2016-03-27,4.8,12.0,-1.4,0.0,11.7,,,,2.4,,,,,
2016-03-28,6.4,13.5,-0.4,0.0,11.9,,,,2.5,,,,,
2016-03-29,7.5,15.1,-1.1,0.0,10.8,,,,2.4,,,,,
2016-03-30,8.6,16.6,2.5,13.0,1.7,,,,2.5,,,,,
2016-03-31,8.6,15.3,3.3,0.5,9.9,,,,2.2,,,,,
2016-04-01,10.6,19.9,1.3,0.0,10.9,,,,3.5,,,,,
2016-04-02,13.0,19.1,8.3,0.0,11.1,,,,3.9,,,,,
2016-04-03,14.4,23.1,9.5,0.0,2.5,,,,2.6,,,,,
2016-04-04,8.4,11.7,3.6,15.5,0.0,,,,1.9,,,,,
2016-04-05,7.3,14.7,0.8,0.0,10.8,,,,2.3,,,,,
2016-04-06,9.8,15.4,3.9,0.5,11.0,,,,2.2,,,,,
2016-04-07,10.4,13.6,5.2,35.0,0.0,,,,3.0,,,,,
2016-04-08,11.6,14.0,9.9,0.0,0.9,,,,2.0,,,,,
2016-04-09,12.9,18.5,7.2,0.0,10.9,,,,2.6,,,,,
2016-04-10,10.7,17.5,5.8,0.0,5.9,,,,2.5,,,,,
