calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.7,7.2,1.5,4.0,0.4,,,,2.4,,,,,
2016-01-02,8.2,9.7,5.4,17.5,0.0,,,,2.8,,,,,
2016-01-03,9.3,11.0,7.9,4.0,0.2,,,,1.7,,,,,
2016-01-04,8.2,13.6,4.4,3.0,2.5,,,,2.3,,,,,
2016-01-05,3.6,5.7,1.7,17.5,0.0,,,,1.3,,,,,
2016-01-06,4.9,7.8,2.4,2.5,1.2,,,,1.3,,,,,
2016-01-07,4.3,5.8,2.4,4.0,0.0,,,,3.0,,,,,
2016-01-08,2.7,4.1,1.2,9.5,0.0,,,,1.4,,,,,
2016-01-09,2.6,4.2,1.4,2.0,0.0,,,,1.8,,,,,
2016-01-10,3.4,6.3,0.9,27.0,0.0,,,,2.8,,,,,
2016-01-11,1.0,2.8,-0.2,8.0,0.0,,,,2.4,,,,,
2016-01-12,0.8,1.7,0.3,2.5,0.0,,,,1.9,,,,,
2016-01-13,1.9,4.6,0.3,12.0,1.1,,,,1.9,,,,,
2016-01-14,0.6,3.2,-2.7,15.0,0.0,,,,1.7,,,,,
2016-01-15,-1.1,2.3,-4.6,0.0,2.4,,,,0.4,,,,,
2016-01-16,1.0,2.7,-2.5,3.5,0.1,,,,1.5,,,,,
2016-01-17,1.7,3.8,-2.0,6.0,0.8,,,,,,,,,
2016-01-18,3.0,6.1,1.7,9.0,0.0,,,,3.0,,,,,
2016-01-19,1.2,5.8,-1.3,32.5,0.3,,,,6.0,,,,,
2016-01-20,1.5,4.8,-1.3,15.5,0.6,,,,3.6,,,,,
2016-01-21,2.3,3.3,0.8,3.0,0.0,,,,2.8,,,,,
2016-01-22,1.9,4.1,1.0,5.0,1.7,,,,3.6,,,,,
2016-01-23,0.8,2.8,-1.1,0.0,0.0,,,,2.0,,,,,
2016-01-24,-1.2,0.2,-2.6,40.0,0.0,,,,2.0,,,,,
2016-01-25,0.5,2.3,-2.9,8.0,0.9,,,,3.6,,,,,
2016-01-26,3.3,6.1,1.2,0.0,0.3,,,,2.5,,,,,
2016-01-27,3.6,5.4,2.1,22.5,0.0,,,,2.4,,,,,
2016-01-28,3.7,5.4,2.1,10.5,0.3,,,,1.0,,,,,
2016-01-29,0.9,2.4,0.0,11.0,0.0,,,,1.3,,,,,
2016-01-30,0.9,2.7,-0.6,7.5,0.1,,,,,,,,,
2016-01-31,1.3,3.4,-0.1,17.5,0.0,,,,,,,,,
2016-02-01,0.6,1.5,-0.3,4.5,0.0,,,,,,,,,
2016-02-02,1.3,3.9,-0.1,1.0,1.9,,,,3.2,,,,,
2016-02-03,1.0,2.0,0.2,6.0,0.0,,,,1.5,,,,,
2016-02-04,2.6,6.1,-1.4,8.5,3.0,,,,2.5,,,,,
2016-02-05,2.4,5.6,0.6,10.5,0.7,,,,1.0,,,,,
2016-02-06,1.2,3.7,0.0,2.5,0.6,,,,1.3,,,,,
2016-02-07,-0.1,2.5,-3.0,5.0,1.7,,,,1.8,,,,,
2016-02-08,1.3,6.5,-4.6,0.0,8.4,,,,0.7,,,,,
2016-02-09,2.1,5.4,0.3,30.0,0.4,,,,2.9,,,,,
2016-02-10,1.8,3.2,0.3,4.5,0.7,,,,4.4,,,,,
2016-02-11,2.5,6.2,-1.4,0.0,3.4,,,,1.4,,,,,
2016-02-12,5.0,13.7,-2.8,0.0,8.0,,,,0.6,,,,,
2016-02-13,7.0,11.3,4.2,1.5,0.0,,,,0.5,,,,,
2016-02-14,9.6,15.5,5.7,13.0,0.0,,,,2.8,,,,,
2016-02-15,1.1,5.8,-1.9,6.0,0.0,,,,3.4,,,,,
2016-02-16,0.5,2.2,-1.3,19.5,1.0,,,,2.9,,,,,
2016-02-17,1.5,2.7,0.0,11.0,0.0,,,,3.0,,,,,
2016-02-18,3.9,8.4,-0.3,0.0,7.6,,,,2.0,,,,,
2016-02-19,7.5,10.6,2.1,0.5,2.7,,,,2.7,,,,,
2016-02-20,7.2,11.6,4.2,8.5,0.0,,,,0.8,,,,,
2016-02-21,5.1,8.6,1.7,4.5,0.0,,,,4.1,,,,,
2016-02-22,3.1,6.5,0.9,0.0,2.8,,,,1.6,,,,,
2016-02-23,5.1,8.9,1.5,6.0,1.1,,,,2.5,,,,,
2016-02-24,0.7,4.2,-1.6,5.5,0.1,,,,2.6,,,,,
2016-02-25,0.3,2.5,-1.5,3.5,1.4,,,,2.0,,,,,
2016-02-26,1.6,3.4,0.2,4.5,2.3,,,,2.7,,,,,
2016-02-27,4.6,8.3,0.7,6.0,6.0,,,,1.8,,,,,
2016-02-28,6.0,10.2,1.2,0.0,5.6,,,,1.3,,,,,
2016-02-29,5.8,13.4,0.9,17.0,0.0,,,,3.2,,,,,
2016-03-01,0.9,2.4,-1.0,6.0,0.9,,,,4.8,,,,,
2016-03-02,2.0,5.0,0.3,6.0,1.8,,,,2.3,,,,,
2016-03-03,5.6,8.6,1.4,8.0,2.0,,,,2.7,,,,,
2016-03-04,4.5,10.7,-0.3,0.0,7.6,,,,0.8,,,,,
2016-03-05,8.1,16.2,-0.5,0.0,9.6,,,,1.0,,,,,
2016-03-06,13.6,19.8,8.3,0.0,5.8,,,,1.2,,,,,
2016-03-07,9.7,18.0,6.6,13.5,0.0,,,,1.0,,,,,
2016-03-08,8.8,12.7,5.7,3.5,0.1,,,,2.1,,,,,
2016-03-09,4.6,6.2,2.7,0.0,0.0,,,,1.1,,,,,
2016-03-10,3.1,5.3,1.4,0.0,0.5,,,,1.0,,,,,
2016-03-11,2.4,6.3,0.7,4.0,3.7,,,,1.2,,,,,
2016-03-12,2.9,8.0,0.1,0.0,7.9,,,,1.0,,,,,
2016-03-13,5.3,9.9,-0.4,0.0,4.5,,,,0.8,,,,,
2016-03-14,5.3,7.7,3.4,2.5,0.0,,,,0.8,,,,,
2016-03-15,5.3,8.5,3.2,0.5,3.6,,,,2.6,,,,,
2016-03-16,8.4,14.2,1.4,0.0,6.5,,,,1.9,,,,,
2016-03-17,10.9,17.2,5.2,0.0,10.8,,,,1.6,,,,,
