calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.5,9.0,1.3,0.0,3.9,7.36,,,3.5,6.1,1026.9,74,1027.6,9.3
2016-01-02,7.2,12.0,1.6,7.5,0.6,2.25,,,4.0,8.0,1019.9,77,1020.6,10.0
2016-01-03,10.1,12.1,8.0,25.0,0.7,1.87,,,2.8,10.1,1016.3,82,1017.0,10.0
2016-01-04,8.5,13.7,6.2,1.0,2.6,5.23,,,3.7,8.9,1014.7,80,1015.4,9.8
2016-01-05,4.8,6.3,3.1,7.5,0.0,0.81,,,3.2,6.9,1019.3,81,1020.0,10.0
2016-01-06,5.6,8.5,2.6,3.5,1.9,5.38,,,2.5,6.9,1018.2,76,1018.9,10.0
2016-01-07,4.2,7.0,1.8,1.5,0.0,1.38,,,3.9,6.2,1015.0,75,1015.7,9.8
2016-01-08,2.7,4.8,1.4,4.5,0.0,2.54,,,2.3,6.7,1014.5,91,1015.2,10.0
2016-01-09,3.0,5.0,1.1,2.5,0.0,1.35,,,3.4,6.0,1018.8,80,1019.5,9.8
2016-01-10,5.0,7.4,1.2,13.0,0.0,1.10,,,4.2,6.9,1017.4,79,1018.1,10.0
2016-01-11,1.6,4.4,-0.1,10.0,0.0,1.69,7,7,3.4,5.4,1020.8,80,1021.5,10.0
2016-01-12,0.9,2.2,0.0,3.0,0.0,3.19,8,5,2.5,5.6,1017.3,87,1018.0,10.0
2016-01-13,1.8,4.5,-0.5,19.0,2.0,6.80,7,3,2.8,6.3,1012.6,90,1013.3,10.0
2016-01-14,1.8,4.8,-1.1,11.0,0.0,1.49,5,5,3.0,5.9,1014.0,86,1014.7,10.0
2016-01-15,-0.6,1.3,-2.4,0.5,0.6,5.38,4,1,1.1,5.3,1018.0,90,1018.7,8.8
2016-01-16,1.4,4.7,-2.2,6.0,0.0,1.86,5,4,2.6,6.0,1020.5,89,1021.2,10.0
