calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.1,7.7,0.4,0.0,4.6,,0,0,3.7,,,,,
2016-01-02,5.9,10.9,0.9,7.0,0.0,,0,0,3.6,,,,,
2016-01-03,9.1,11.7,6.7,14.5,0.3,,0,0,2.6,,,,,
2016-01-04,8.0,13.1,5.3,2.5,1.5,,0,0,3.6,,,,,
2016-01-05,3.9,5.6,2.5,8.5,0.0,,0,0,2.4,,,,,
2016-01-06,4.4,7.7,1.9,3.5,1.5,,0,0,2.0,,,,,
2016-01-07,3.2,5.2,0.8,2.5,0.0,,0,0,3.2,,,,,
2016-01-08,2.3,3.6,1.2,4.5,0.0,,0,0,2.6,,,,,
2016-01-09,1.6,3.1,0.3,4.5,0.0,,0,0,2.7,,,,,
2016-01-10,3.5,5.6,0.8,21.0,0.0,,0,0,4.0,,,,,
2016-01-11,0.6,3.6,-0.7,6.0,0.0,,1,1,2.9,,,,,
2016-01-12,-0.3,0.7,-1.0,9.0,0.0,,12,13,,,,,,
2016-01-13,0.8,3.8,-3.1,24.0,1.4,,8,3,3.4,,,,,
2016-01-14,-0.2,2.2,-2.7,18.5,0.0,,12,11,2.4,,,,,
2016-01-15,-1.9,1.4,-5.9,0.0,0.8,,11,1,1.0,,,,,
2016-01-16,0.1,1.8,-4.0,11.5,0.0,,21,19,2.5,,,,,
2016-01-17,0.2,2.8,-5.1,2.0,1.5,,19,3,,,,,,
2016-01-18,1.9,5.3,0.5,17.0,0.0,,7,3,6.0,,,,,
2016-01-19,0.9,5.7,-1.9,37.0,0.0,,26,27,10.4,,,,,
2016-01-20,0.6,3.2,-3.3,17.5,0.4,,32,11,5.1,,,,,
2016-01-21,0.8,2.8,-3.1,0.0,0.4,,24,4,2.9,,,,,
2016-01-22,1.0,3.6,-1.0,0.0,2.5,,22,3,4.0,,,,,
2016-01-23,-0.4,1.9,-1.8,1.0,0.2,,23,7,2.8,,,,,
2016-01-24,-1.9,0.1,-3.6,40.0,0.0,,73,52,4.6,,,,,
2016-01-25,-1.0,2.0,-4.4,1.5,1.6,,72,2,4.0,,,,,
2016-01-26,0.6,3.7,-1.8,4.5,1.1,,65,6,3.0,,,,,
2016-01-27,2.4,3.9,0.6,28.0,0.1,,53,0,4.1,,,,,
2016-01-28,2.3,4.6,0.8,10.0,0.8,,35,0,1.6,,,,,
2016-01-29,0.4,1.9,-0.2,13.0,0.0,,33,6,3.4,,,,,
