calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.7,7.7,0.2,8.0,1.7,,0,0,2.2,,,,,
2016-01-02,9.3,13.5,0.8,0.0,1.6,,0,0,2.7,,,,,
2016-01-03,11.0,15.0,5.2,0.0,7.3,,0,0,3.4,,,,,
2016-01-04,9.3,15.9,4.2,1.0,2.8,,0,0,3.7,,,,,
2016-01-05,6.6,10.3,2.7,35.5,0.0,,0,0,2.2,,,,,
2016-01-06,5.6,9.0,2.0,5.5,0.2,,0,0,2.5,,,,,
2016-01-07,2.5,6.6,0.0,52.0,0.0,,4,6,1.7,,,,,
2016-01-08,3.0,6.6,0.0,17.5,0.0,,4,4,,,,,,
2016-01-09,1.0,6.0,-0.1,41.0,0.3,,7,7,1.1,,,,,
2016-01-10,4.7,7.6,2.5,16.5,2.1,,3,0,3.1,,,,,
2016-01-11,0.7,3.9,-0.1,35.0,0.0,,7,8,,,,,,
2016-01-12,0.1,0.7,-0.2,17.5,0.0,,14,15,0.6,,,,,
2016-01-13,1.1,4.6,-3.2,5.5,3.2,,13,0,1.8,,,,,
2016-01-14,0.8,4.3,-0.1,33.0,0.0,,17,11,,,,,,
2016-01-15,1.0,3.0,-0.4,14.5,1.0,,16,3,1.6,,,,,
2016-01-16,1.1,4.5,-0.7,14.5,0.2,,14,4,1.6,,,,,
2016-01-17,1.2,3.8,-0.9,2.0,0.3,,14,1,1.8,,,,,
2016-01-18,3.7,8.9,1.3,18.5,0.0,,12,0,2.2,,,,,
2016-01-19,1.0,4.5,-1.7,3.0,0.6,,10,6,2.9,,,,,
2016-01-20,2.6,5.2,-1.2,9.0,0.0,,11,2,4.8,,,,,
2016-01-21,1.2,2.9,0.3,18.5,1.2,,16,10,2.5,,,,,
2016-01-22,0.6,2.2,-1.0,16.5,0.0,,25,14,2.2,,,,,
2016-01-23,0.1,3.1,-1.6,12.0,1.4,,34,15,1.3,,,,,
2016-01-24,-1.3,1.3,-3.5,25.0,0.8,,67,37,,,,,,
2016-01-25,-0.4,1.5,-3.2,11.0,0.5,,71,8,3.2,,,,,
2016-01-26,0.5,6.2,-3.9,0.0,7.3,,67,0,1.9,,,,,
2016-01-27,5.5,7.8,0.6,0.0,3.6,,58,0,3.8,,,,,
2016-01-28,5.7,9.3,1.4,0.5,2.4,,45,0,2.5,,,,,
2016-01-29,1.3,3.6,0.0,24.0,0.0,,36,6,1.0,,,,,
2016-01-30,1.6,4.4,-0.1,13.0,0.9,,40,7,,,,,,
2016-01-31,1.9,5.0,0.0,25.5,1.0,,36,4,1.1,,,,,
2016-02-01,0.1,0.7,-0.6,26.5,0.0,,48,16,,,,,,
2016-02-02,0.7,2.2,-0.7,11.5,0.0,,53,7,2.2,,,,,
2016-02-03,0.7,3.8,-0.8,9.5,1.9,,59,9,1.3,,,,,
2016-02-04,1.8,6.0,-3.6,3.0,3.4,,49,1,2.2,,,,,
2016-02-05,3.2,6.3,0.5,9.5,1.5,,44,1,2.1,,,,,
2016-02-06,0.7,4.7,-0.3,38.5,0.7,,53,15,1.1,,,,,
2016-02-07,-1.2,0.8,-3.9,18.0,0.2,,73,26,,,,,,
2016-02-08,-1.6,4.4,-6.2,0.0,9.2,,68,2,1.9,,,,,
2016-02-09,1.7,3.8,-1.1,23.0,0.0,,59,4,3.2,,,,,
2016-02-10,2.1,3.2,0.0,4.5,0.4,,57,5,4.4,,,,,
2016-02-11,2.2,7.0,-1.5,0.0,7.1,,57,2,1.7,,,,,
2016-02-12,3.7,10.9,-1.8,0.0,8.9,,51,0,1.8,,,,,
2016-02-13,5.8,9.1,3.6,0.5,0.0,,45,0,2.5,,,,,
2016-02-14,8.2,14.6,4.8,18.0,0.9,,36,0,5.1,,,,,
2016-02-15,0.8,5.7,-0.8,46.5,0.0,,34,17,3.1,,,,,
2016-02-16,0.9,3.9,-3.7,2.0,4.7,,37,5,2.0,,,,,
2016-02-17,1.1,3.5,-1.3,14.0,0.0,,34,9,2.2,,,,,
2016-02-18,1.5,8.2,-2.3,0.0,9.7,,31,1,2.3,,,,,
2016-02-19,5.6,12.0,-1.0,0.0,6.4,,24,0,3.0,,,,,
2016-02-20,4.2,7.4,2.6,5.0,0.0,,19,0,1.8,,,,,
2016-02-21,5.0,8.6,1.6,15.0,0.4,,13,0,5.0,,,,,
2016-02-22,1.5,3.8,-0.1,11.5,0.4,,8,5,1.2,,,,,
2016-02-23,5.3,9.9,0.7,8.5,2.2,,4,0,3.2,,,,,
2016-02-24,1.0,4.3,-1.0,18.0,0.2,,17,17,2.5,,,,,
2016-02-25,0.6,3.7,-1.4,19.0,4.4,,33,17,,,,,,
2016-02-26,1.6,4.0,-2.7,11.0,2.8,,29,9,2.8,,,,,
2016-02-27,4.5,10.8,-2.0,1.5,7.2,,18,0,2.8,,,,,
2016-02-28,5.4,9.1,2.0,0.5,8.3,,9,0,2.1,,,,,
2016-02-29,4.0,11.8,-1.0,49.5,0.0,,12,13,3.1,,,,,
2016-03-01,-0.5,0.9,-2.8,1.5,0.9,,16,9,5.0,,,,,
2016-03-02,1.3,5.6,-3.9,0.5,3.2,,15,0,2.9,,,,,
2016-03-03,6.7,10.9,-0.6,0.0,4.0,,7,0,3.6,,,,,
2016-03-04,4.9,10.5,0.7,0.0,10.2,,0,0,2.0,,,,,
2016-03-05,7.1,14.9,1.2,0.0,7.5,,0,0,1.9,,,,,
2016-03-06,10.3,19.5,4.8,0.0,7.7,,0,0,2.4,,,,,
2016-03-07,7.3,11.9,4.6,4.5,0.0,,0,0,1.9,,,,,
2016-03-08,7.6,11.9,4.4,4.0,0.0,,0,0,2.3,,,,,
2016-03-09,2.6,6.5,1.4,11.5,0.0,,0,0,1.4,,,,,
2016-03-10,2.5,5.7,0.9,0.5,2.0,,0,0,1.6,,,,,
2016-03-11,2.3,5.8,-0.1,14.0,3.6,,1,1,1.5,,,,,
2016-03-12,1.9,4.5,-0.1,2.0,4.0,,2,2,,,,,,
2016-03-13,3.6,7.8,-0.6,0.0,5.2,,0,0,1.8,,,,,
2016-03-14,3.5,5.6,1.7,6.5,0.0,,0,0,1.3,,,,,
2016-03-15,2.5,5.9,-0.5,7.5,1.3,,0,0,2.1,,,,,
