calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.9,8.3,2.0,0.5,4.6,,,,3.2,,,,,
2016-01-02,9.4,11.1,3.3,13.0,1.0,,,,7.8,,,,,
2016-01-03,10.3,14.2,6.5,0.0,5.0,,,,3.5,,,,,
2016-01-04,7.6,13.7,4.8,0.0,1.5,,,,4.8,,,,,
2016-01-05,5.3,6.2,4.1,0.5,0.0,,,,2.6,,,,,
2016-01-06,5.1,8.1,2.4,2.0,0.5,,,,3.0,,,,,
2016-01-07,4.4,5.8,3.6,1.0,0.6,,,,4.0,,,,,
2016-01-08,3.7,4.6,2.6,1.5,0.3,,,,1.6,,,,,
2016-01-09,4.0,5.8,2.7,2.0,1.2,,,,2.5,,,,,
2016-01-10,5.3,7.4,2.8,3.5,0.2,,,,6.3,,,,,
2016-01-11,1.6,3.8,0.0,3.0,1.0,,,,2.5,,,,,
2016-01-12,1.3,3.0,-0.4,0.0,0.4,,,,2.0,,,,,
2016-01-13,2.9,5.9,0.0,7.0,1.9,,,,3.5,,,,,
2016-01-14,2.1,4.5,0.3,4.5,0.0,,,,3.0,,,,,
2016-01-15,2.1,4.2,0.8,4.0,0.7,,,,2.8,,,,,
2016-01-16,2.2,3.8,0.5,3.5,0.2,,,,2.3,,,,,
2016-01-17,3.4,6.3,-0.5,0.0,0.5,,,,2.8,,,,,
2016-01-18,4.9,7.8,2.7,29.5,0.0,,,,5.7,,,,,
2016-01-19,2.4,7.1,0.2,25.0,0.0,,,,11.3,,,,,
2016-01-20,2.7,5.2,0.6,15.0,2.3,,,,5.7,,,,,
2016-01-21,2.7,4.1,0.9,1.0,2.3,,,,4.5,,,,,
2016-01-22,2.1,3.7,0.6,0.0,2.4,,,,5.5,,,,,
2016-01-23,1.3,2.5,0.1,0.0,0.0,,,,5.2,,,,,
2016-01-24,-0.6,1.3,-1.9,13.5,0.4,,,,3.7,,,,,
2016-01-25,1.0,3.1,-1.2,4.0,2.4,,,,5.1,,,,,
2016-01-26,4.2,6.8,1.8,3.0,1.1,,,,5.2,,,,,
2016-01-27,5.1,7.4,3.0,16.5,1.3,,,,5.9,,,,,
2016-01-28,5.3,8.2,2.4,0.0,1.2,,,,2.5,,,,,
2016-01-29,2.9,5.1,1.9,3.0,0.0,,,,7.9,,,,,
2016-01-30,2.5,3.5,1.4,4.5,0.0,,,,4.1,,,,,
2016-01-31,2.2,4.5,0.0,0.5,0.8,,,,2.0,,,,,
2016-02-01,1.7,4.0,-0.2,0.0,2.4,,,,2.6,,,,,
2016-02-02,2.0,3.5,1.1,0.0,2.0,,,,4.7,,,,,
2016-02-03,2.1,4.8,0.2,0.0,1.1,,,,1.7,,,,,
2016-02-04,2.9,6.6,-1.7,9.0,2.8,,,,4.1,,,,,
2016-02-05,4.4,7.4,2.0,0.0,4.7,,,,2.5,,,,,
2016-02-06,1.9,3.6,0.5,1.0,0.0,,,,3.4,,,,,
2016-02-07,0.3,3.7,-2.9,0.0,5.3,,,,2.3,,,,,
2016-02-08,1.8,6.8,-3.1,1.5,5.1,,,,2.0,,,,,
2016-02-09,2.8,4.5,1.1,28.0,0.2,,,,5.8,,,,,
2016-02-10,2.5,4.0,0.9,0.5,1.7,,,,3.9,,,,,
2016-02-11,3.6,7.5,0.4,0.0,9.5,,,,1.7,,,,,
2016-02-12,6.4,14.0,-0.1,0.0,8.6,,,,1.9,,,,,
2016-02-13,9.9,13.1,5.9,3.0,0.0,,,,3.0,,,,,
2016-02-14,10.3,14.3,6.3,13.5,0.0,,,,9.8,,,,,
2016-02-15,0.7,6.4,-1.7,5.5,0.0,,,,2.5,,,,,
2016-02-16,0.2,3.3,-2.6,9.5,0.4,,,,3.2,,,,,
2016-02-17,1.7,3.9,-0.4,6.0,3.6,,,,3.9,,,,,
2016-02-18,5.2,8.9,-0.3,0.0,3.5,,,,4.6,,,,,
2016-02-19,8.4,11.3,5.1,4.5,2.6,,,,8.7,,,,,
2016-02-20,7.7,10.9,5.2,12.5,0.0,,,,2.3,,,,,
2016-02-21,5.7,9.6,1.9,6.5,1.7,,,,7.7,,,,,
2016-02-22,2.9,5.4,1.0,0.0,3.4,,,,2.0,,,,,
2016-02-23,5.5,9.8,1.1,4.5,3.4,,,,5.3,,,,,
2016-02-24,1.2,4.1,0.3,1.0,0.6,,,,3.5,,,,,
2016-02-25,1.9,4.8,-0.3,1.5,6.0,,,,4.7,,,,,
2016-02-26,2.5,4.9,0.3,3.0,3.3,,,,5.3,,,,,
2016-02-27,4.2,8.6,0.1,6.0,1.9,,,,3.8,,,,,
2016-02-28,5.8,8.7,0.2,0.0,6.8,,,,2.6,,,,,
2016-02-29,5.4,11.6,1.1,11.0,0.0,,,,6.3,,,,,
2016-03-01,0.5,2.1,-1.1,8.0,1.5,,,,6.3,,,,,
2016-03-02,3.4,6.9,-0.4,4.0,4.7,,,,4.0,,,,,
2016-03-03,6.8,10.2,1.9,11.5,6.7,,,,7.5,,,,,
2016-03-04,5.0,9.4,0.1,0.0,9.6,,,,2.1,,,,,
2016-03-05,8.2,11.7,1.3,0.0,9.4,,,,2.9,,,,,
2016-03-06,12.2,19.2,4.7,0.0,5.4,,,,3.1,,,,,
2016-03-07,10.0,15.4,7.7,6.0,0.1,,,,4.1,,,,,
2016-03-08,9.4,13.0,6.1,0.0,0.7,,,,5.0,,,,,
2016-03-09,5.0,6.3,3.9,0.0,0.0,,,,2.9,,,,,
2016-03-10,3.6,5.6,0.9,0.0,2.9,,,,2.2,,,,,
2016-03-11,2.5,5.6,0.2,1.0,3.2,,,,3.0,,,,,
2016-03-12,3.0,6.5,-0.2,0.0,5.5,,,,1.9,,,,,
2016-03-13,4.6,8.8,-1.0,0.5,3.8,,,,2.0,,,,,
2016-03-14,5.6,8.4,3.2,1.5,3.3,,,,1.8,,,,,
2016-03-15,6.1,9.0,3.2,0.5,7.1,,,,4.0,,,,,
2016-03-16,8.1,11.6,2.8,0.0,6.8,,,,5.6,,,,,
2016-03-17,10.5,15.4,5.5,0.0,10.9,,,,4.5,,,,,
2016-03-18,11.7,19.2,4.6,1.0,4.8,,,,3.6,,,,,
2016-03-19,10.7,14.3,7.7,18.0,1.0,,,,3.5,,,,,
2016-03-20,7.0,9.2,4.2,0.5,0.0,,,,2.1,,,,,
2016-03-21,6.0,10.3,2.3,0.0,9.4,,,,3.3,,,,,
2016-03-22,9.3,11.7,4.6,0.5,9.6,,,,7.6,,,,,
2016-03-23,7.8,11.7,4.2,0.0,9.2,,,,3.6,,,,,
2016-03-24,5.3,9.6,2.0,0.5,4.7,,,,2.5,,,,,
2016-03-25,4.5,8.7,0.8,2.0,6.8,,,,3.3,,,,,
2016-03-26,5.5,9.6,1.9,0.5,3.8,,,,2.7,,,,,
2016-03-27,6.3,11.0,1.1,0.0,11.7,,,,2.3,,,,,
2016-03-28,7.8,12.4,2.7,0.0,11.8,,,,2.4,,,,,
2016-03-29,9.3,16.3,3.1,0.0,10.6,,,,2.0,,,,,
2016-03-30,10.3,14.5,5.5,3.0,1.6,,,,4.3,,,,,
2016-03-31,11.3,16.3,6.9,0.0,11.2,,,,4.0,,,,,
2016-04-01,11.5,15.2,6.1,0.0,10.7,,,,4.1,,,,,
2016-04-02,12.8,16.3,9.9,0.0,11.2,,,,3.6,,,,,
2016-04-03,14.9,19.6,9.7,2.0,3.0,,,,4.6,,,,,
2016-04-04,8.6,9.8,6.9,18.5,0.0,,,,7.3,,,,,
2016-04-05,9.6,14.5,3.6,0.0,11.1,,,,4.6,,,,,
2016-04-06,11.5,13.7,8.5,0.0,10.7,,,,3.8,,,,,
2016-04-07,11.4,15.7,8.2,42.5,0.0,,,,3.3,,,,,
2016-04-08,12.5,14.7,10.7,0.0,3.3,,,,5.7,,,,,
2016-04-09,14.6,18.5,11.8,0.0,10.5,,,,7.8,,,,,
2016-04-10,12.3,17.1,8.4,0.0,10.0,,,,7.7,,,,,
2016-04-11,6.5,9.7,2.9,3.5,4.6,,,,4.4,,,,,
2016-04-12,7.3,11.7,1.4,0.0,10.8,,,,2.5,,,,,
2016-04-13,11.9,18.2,5.8,17.0,3.5,,,,2.0,,,,,
2016-04-14,14.1,16.5,11.3,1.5,6.8,,,,3.1,,,,,
2016-04-15,9.5,12.6,6.3,0.0,0.4,,,,4.9,,,,,
2016-04-16,10.0,13.8,3.6,0.0,11.3,,,,2.3,,,,,
2016-04-17,15.2,23.5,10.9,8.0,3.2,,,,10.0,,,,,
2016-04-18,13.4,15.9,11.1,0.0,2.6,,,,8.8,,,,,
2016-04-19,9.8,14.3,6.5,2.0,4.9,,,,3.7,,,,,
2016-04-20,10.4,14.4,4.5,0.0,8.9,,,,2.4,,,,,
2016-04-21,14.7,19.7,12.3,6.0,0.9,,,,3.6,,,,,
2016-04-22,13.6,16.4,11.6,5.5,7.2,,,,2.8,,,,,
2016-04-23,15.3,19.8,11.4,0.0,9.2,,,,5.3,,,,,
2016-04-24,12.7,15.4,8.0,0.0,10.3,,,,2.9,,,,,
2016-04-25,12.1,16.7,6.4,0.0,12.4,,,,2.3,,,,,
2016-04-26,13.2,16.7,8.3,0.0,11.4,,,,2.2,,,,,
2016-04-27,13.2,15.2,11.8,0.0,9.6,,,,5.7,,,,,
2016-04-28,12.7,13.4,11.3,22.0,0.0,,,,4.0,,,,,
2016-04-29,11.0,13.0,8.9,3.0,1.7,,,,4.7,,,,,
2016-04-30,10.9,14.2,6.1,2.0,3.4,,,,4.1,,,,,
2016-05-01,13.9,16.4,12.2,5.0,0.1,,,,6.6,,,,,
2016-05-02,14.3,17.1,11.6,0.0,4.3,,,,1.6,,,,,
2016-05-03,18.4,25.9,10.2,0.0,7.8,,,,3.1,,,,,
2016-05-04,17.9,21.9,12.7,6.5,8.6,,,,10.5,,,,,
2016-05-05,16.3,18.6,13.4,0.0,7.6,,,,10.2,,,,,
2016-05-06,16.6,19.7,12.1,0.0,4.5,,,,3.9,,,,,
2016-05-07,15.8,19.8,14.0,13.0,4.8,,,,6.5,,,,,
2016-05-08,15.9,19.5,12.9,0.0,12.8,,,,5.7,,,,,
2016-05-09,15.0,19.2,10.4,0.0,12.2,,,,2.7,,,,,
2016-05-10,16.1,18.0,15.1,22.0,0.5,,,,2.7,,,,,
2016-05-11,15.3,19.3,12.9,24.5,0.0,,,,7.8,,,,,
