calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.2,7.2,1.2,1.0,1.6,,,,2.1,,,,,
2016-01-02,6.8,11.6,1.5,2.0,0.0,,,,2.6,,,,,
2016-01-03,8.6,12.9,5.9,1.5,1.1,,,,1.6,,,,,
2016-01-04,8.4,14.0,5.9,5.0,1.8,,,,2.4,,,,,
2016-01-05,4.5,6.0,3.2,7.5,0.0,,,,1.8,,,,,
2016-01-06,5.1,7.7,2.3,1.5,1.1,,,,1.8,,,,,
2016-01-07,3.5,6.0,0.9,3.5,0.0,,,,1.9,,,,,
2016-01-08,2.6,4.1,1.3,10.0,0.2,,,,1.5,,,,,
2016-01-09,2.0,3.0,0.7,2.5,0.0,,,,1.6,,,,,
2016-01-10,3.6,5.6,1.2,25.0,0.0,,,,2.2,,,,,
2016-01-11,1.2,3.5,-0.2,2.5,0.0,,,,1.6,,,,,
2016-01-12,0.4,1.7,-0.7,5.0,0.0,,,,1.1,,,,,
2016-01-13,2.0,4.8,-0.2,20.5,1.3,,,,2.0,,,,,
2016-01-14,0.4,3.0,-1.2,16.5,0.0,,,,1.7,,,,,
2016-01-15,-0.2,1.9,-1.8,0.0,1.3,,,,1.2,,,,,
2016-01-16,0.7,3.1,-1.3,20.5,0.0,,,,2.1,,,,,
2016-01-17,1.3,3.9,-0.7,0.0,0.4,,,,,,,,,
2016-01-18,3.2,6.2,1.2,27.5,0.0,,,,2.1,,,,,
2016-01-19,1.4,6.8,-1.4,25.5,0.0,,,,5.1,,,,,
2016-01-20,1.3,4.1,-1.4,4.5,1.6,,,,2.9,,,,,
2016-01-21,1.4,2.9,-1.4,1.5,0.0,,,,1.5,,,,,
2016-01-22,1.4,3.7,0.3,1.0,0.6,,,,2.2,,,,,
2016-01-23,0.1,2.1,-1.3,2.0,0.2,,,,2.3,,,,,
2016-01-24,-1.2,0.7,-3.4,49.0,0.0,,,,2.3,,,,,
2016-01-25,-0.3,1.5,-3.1,3.5,0.8,,,,2.4,,,,,
2016-01-26,1.5,4.3,-1.5,6.0,3.7,,,,1.6,,,,,
2016-01-27,3.6,5.7,1.4,21.5,0.2,,,,2.4,,,,,
2016-01-28,3.2,5.6,1.2,7.0,0.6,,,,1.3,,,,,
2016-01-29,0.7,1.9,0.1,3.5,0.0,,,,3.4,,,,,
2016-01-30,1.3,3.3,-0.2,4.5,0.1,,,,1.4,,,,,
2016-01-31,1.6,4.6,0.2,4.0,0.5,,,,1.7,,,,,
2016-02-01,0.8,2.6,-0.3,3.0,0.3,,,,,,,,,
2016-02-02,1.1,3.2,-0.9,0.5,1.0,,,,1.9,,,,,
2016-02-03,1.3,3.1,0.3,0.0,0.3,,,,1.6,,,,,
2016-02-04,2.0,5.2,-0.3,22.5,4.2,,,,2.3,,,,,
2016-02-05,2.2,4.6,0.7,6.0,1.3,,,,1.9,,,,,
2016-02-06,0.6,2.5,-0.5,3.5,1.4,,,,1.8,,,,,
2016-02-07,-0.1,2.3,-1.3,2.5,3.3,,,,,,,,,
2016-02-08,-0.2,5.1,-4.8,0.0,10.1,,,,1.3,,,,,
2016-02-09,2.1,4.1,-0.6,12.5,0.0,,,,2.6,,,,,
2016-02-10,2.2,4.2,0.3,1.0,1.9,,,,2.9,,,,,
2016-02-11,2.0,6.4,-1.8,0.0,9.1,,,,1.5,,,,,
2016-02-12,3.1,10.6,-4.5,0.0,9.4,,,,0.9,,,,,
2016-02-13,6.7,11.9,3.7,0.0,0.0,,,,0.9,,,,,
2016-02-14,7.9,12.1,3.5,13.0,0.0,,,,2.2,,,,,
2016-02-15,1.1,6.3,-1.4,3.0,1.0,,,,2.1,,,,,
2016-02-16,0.9,4.3,-1.7,22.0,1.3,,,,2.7,,,,,
2016-02-17,1.3,3.0,-0.1,26.5,0.0,,,,1.7,,,,,
2016-02-18,3.1,8.7,-0.3,0.0,9.3,,,,1.8,,,,,
2016-02-19,5.2,10.8,-0.4,0.0,4.0,,,,2.4,,,,,
2016-02-20,5.2,8.5,2.2,3.5,0.0,,,,1.4,,,,,
2016-02-21,4.9,8.9,1.9,8.5,0.8,,,,3.2,,,,,
2016-02-22,2.7,6.2,0.9,0.0,2.5,,,,1.3,,,,,
2016-02-23,5.4,9.5,0.9,5.5,2.1,,,,2.4,,,,,
2016-02-24,1.3,4.6,-1.1,1.5,3.7,,,,3.2,,,,,
2016-02-25,0.5,3.3,-1.2,6.0,0.9,,,,2.0,,,,,
2016-02-26,0.9,3.1,-0.9,14.0,0.9,,,,2.2,,,,,
2016-02-27,4.1,8.4,0.4,3.0,6.1,,,,2.4,,,,,
2016-02-28,6.2,10.8,1.8,4.0,7.9,,,,1.8,,,,,
2016-02-29,5.4,11.1,0.6,17.0,0.0,,,,2.7,,,,,
2016-03-01,0.8,2.3,-1.4,2.0,1.5,,,,3.1,,,,,
2016-03-02,1.0,3.0,-0.6,27.0,0.4,,,,2.0,,,,,
2016-03-03,4.4,8.3,1.3,2.5,0.0,,,,2.0,,,,,
2016-03-04,4.1,9.5,-0.5,0.0,7.7,,,,1.6,,,,,
2016-03-05,7.1,15.7,-0.2,0.0,9.1,,,,1.6,,,,,
2016-03-06,12.5,21.9,3.8,0.0,7.3,,,,1.5,,,,,
2016-03-07,9.2,11.4,6.5,2.5,0.0,,,,2.4,,,,,
2016-03-08,8.1,11.3,5.3,1.0,0.0,,,,2.0,,,,,
2016-03-09,3.4,5.6,2.1,1.5,0.0,,,,1.6,,,,,
2016-03-10,3.4,6.2,2.0,0.0,1.7,,,,1.8,,,,,
2016-03-11,2.6,6.6,0.8,0.0,3.9,,,,2.0,,,,,
2016-03-12,2.9,6.3,-0.2,0.0,4.8,,,,2.3,,,,,
2016-03-13,5.3,9.5,0.4,0.0,5.2,,,,1.3,,,,,
2016-03-14,4.9,7.4,3.0,3.0,0.0,,,,1.6,,,,,
2016-03-15,4.3,7.5,1.7,0.5,2.6,,,,2.3,,,,,
2016-03-16,6.3,13.2,0.3,0.0,5.5,,,,1.7,,,,,
2016-03-17,9.8,16.9,2.9,0.0,10.8,,,,1.6,,,,,
2016-03-18,12.4,21.7,4.5,0.0,5.9,,,,1.4,,,,,
2016-03-19,10.0,12.6,7.3,7.5,0.0,,,,1.7,,,,,
