calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.8,8.4,0.4,0.5,2.1,,,,3.6,,,,,
2016-01-02,8.0,11.6,2.2,2.0,0.0,,,,6.8,,,,,
2016-01-03,11.1,14.6,8.1,1.0,1.9,,,,4.9,,,,,
2016-01-04,8.6,13.9,6.3,2.0,1.6,,,,4.0,,,,,
2016-01-05,4.3,6.5,2.6,6.0,0.0,,,,2.5,,,,,
2016-01-06,5.0,8.5,1.7,0.0,0.9,,,,3.5,,,,,
2016-01-07,4.0,6.6,1.0,0.5,0.0,,,,3.3,,,,,
2016-01-08,1.7,3.4,0.2,12.0,0.0,,,,2.3,,,,,
2016-01-09,1.8,4.6,0.3,3.5,0.0,,,,2.6,,,,,
2016-01-10,4.9,7.3,3.6,16.0,0.1,,,,5.7,,,,,
2016-01-11,0.8,3.7,-0.9,2.5,0.0,,,,1.9,,,,,
2016-01-12,-0.4,0.1,-1.1,9.0,0.0,,,,2.0,,,,,
2016-01-13,1.4,5.6,-1.1,18.0,0.5,,,,3.9,,,,,
2016-01-14,0.6,4.5,-1.3,23.0,0.0,,,,3.0,,,,,
2016-01-15,-0.7,0.6,-2.1,0.0,0.3,,,,2.3,,,,,
2016-01-16,1.2,4.0,-2.1,16.5,0.0,,,,3.9,,,,,
2016-01-17,0.9,3.0,-0.6,0.5,0.2,,,,,,,,,
2016-01-18,2.8,6.9,0.2,41.5,0.0,,,,3.5,,,,,
2016-01-19,1.9,6.6,-0.6,22.5,0.0,,,,13.2,,,,,
2016-01-20,1.7,5.5,-2.0,6.0,2.1,,,,5.4,,,,,
2016-01-21,2.2,3.3,1.0,0.5,0.1,,,,4.7,,,,,
2016-01-22,1.9,3.8,0.1,1.5,1.0,,,,5.3,,,,,
2016-01-23,0.1,2.0,-1.7,2.0,0.2,,,,2.7,,,,,
2016-01-24,-1.1,1.3,-2.0,63.0,0.0,,,,3.0,,,,,
2016-01-25,0.5,2.9,-1.6,4.5,0.9,,,,5.3,,,,,
2016-01-26,2.3,6.4,-0.9,6.5,2.1,,,,3.7,,,,,
2016-01-27,5.4,7.8,2.5,10.5,0.8,,,,7.0,,,,,
2016-01-28,4.9,8.2,2.5,5.5,0.9,,,,3.5,,,,,
2016-01-29,0.4,2.6,-0.1,11.5,0.0,,,,2.6,,,,,
2016-01-30,0.8,2.0,-0.1,9.0,0.0,,,,2.0,,,,,
2016-01-31,1.5,4.8,-0.2,3.5,0.2,,,,2.2,,,,,
2016-02-01,0.8,3.2,-0.5,2.0,0.3,,,,2.2,,,,,
2016-02-02,1.9,3.4,0.9,0.0,1.0,,,,4.2,,,,,
2016-02-03,1.0,2.1,-0.2,3.5,0.0,,,,2.3,,,,,
2016-02-04,2.8,7.0,-1.1,9.0,3.2,,,,,,,,,
2016-02-05,2.4,5.2,0.2,5.0,0.9,,,,2.8,,,,,
2016-02-06,0.1,1.5,-0.9,9.0,0.0,,,,1.9,,,,,
2016-02-07,-0.3,2.7,-1.7,1.0,2.6,,,,1.8,,,,,
2016-02-08,-0.5,4.7,-5.6,0.0,9.2,,,,2.4,,,,,
2016-02-09,2.8,4.9,0.3,13.0,0.0,,,,5.7,,,,,
2016-02-10,2.3,4.4,0.2,0.0,1.9,,,,6.0,,,,,
2016-02-11,3.5,8.3,-0.6,0.0,8.3,,,,2.3,,,,,
2016-02-12,3.8,13.0,-2.9,0.0,8.3,,,,3.8,,,,,
2016-02-13,6.9,13.8,3.2,0.5,0.0,,,,5.0,,,,,
2016-02-14,10.2,15.7,5.5,9.0,0.0,,,,6.7,,,,,
2016-02-15,1.7,6.8,-1.8,1.5,1.4,,,,3.9,,,,,
2016-02-16,1.0,4.7,-1.8,18.0,0.2,,,,6.1,,,,,
2016-02-17,1.7,4.2,-0.2,18.5,0.1,,,,4.7,,,,,
2016-02-18,4.1,10.6,-0.6,0.0,8.2,,,,3.6,,,,,
2016-02-19,7.4,11.9,0.5,0.0,4.1,,,,5.9,,,,,
2016-02-20,6.1,8.9,3.6,5.0,0.0,,,,3.0,,,,,
2016-02-21,5.4,9.1,1.2,6.5,1.5,,,,7.0,,,,,
2016-02-22,2.5,7.8,0.6,0.0,4.6,,,,1.9,,,,,
2016-02-23,5.5,10.4,0.6,3.5,3.1,,,,4.8,,,,,
2016-02-24,1.2,6.7,-1.9,3.5,3.5,,,,3.6,,,,,
2016-02-25,-0.1,2.4,-1.9,5.5,0.0,,,,2.8,,,,,
2016-02-26,1.4,4.4,-0.7,11.0,1.1,,,,4.8,,,,,
2016-02-27,4.2,8.8,-0.1,2.5,5.8,,,,4.2,,,,,
2016-02-28,5.8,11.1,1.4,2.5,7.2,,,,2.2,,,,,
2016-02-29,5.1,12.1,0.3,10.0,0.0,,,,5.4,,,,,
2016-03-01,0.7,2.9,-1.1,2.0,1.6,,,,7.0,,,,,
2016-03-02,2.3,6.3,-0.4,17.0,1.4,,,,4.5,,,,,
2016-03-03,5.8,9.0,2.3,1.5,0.0,,,,4.9,,,,,
2016-03-04,4.4,10.5,-0.7,0.0,7.7,,,,2.7,,,,,
2016-03-05,6.8,14.4,-0.2,0.0,9.3,,,,2.7,,,,,
2016-03-06,12.5,21.7,5.8,0.0,7.2,,,,3.5,,,,,
2016-03-07,9.4,15.1,6.8,4.0,0.0,,,,1.4,,,,,
2016-03-08,8.5,11.4,4.7,1.0,0.0,,,,2.5,,,,,
2016-03-09,2.5,5.0,1.2,2.5,0.0,,,,1.8,,,,,
2016-03-10,3.1,8.2,0.4,0.0,3.5,,,,1.5,,,,,
2016-03-11,2.1,8.2,-0.3,1.5,4.4,,,,1.8,,,,,
2016-03-12,2.5,8.0,-0.6,0.0,7.7,,,,1.9,,,,,
2016-03-13,5.0,10.5,-0.5,0.0,4.5,,,,2.3,,,,,
2016-03-14,4.1,7.1,2.1,3.5,0.0,,,,1.2,,,,,
2016-03-15,5.2,10.3,2.4,0.5,4.9,,,,3.3,,,,,
2016-03-16,6.9,12.8,1.6,0.0,5.5,,,,2.7,,,,,
2016-03-17,10.4,16.6,3.2,0.0,10.7,,,,2.1,,,,,
2016-03-18,11.2,20.5,3.9,0.0,5.4,,,,3.0,,,,,
2016-03-19,9.2,12.2,7.2,9.0,0.0,,,,3.2,,,,,
2016-03-20,7.2,12.2,3.5,0.0,2.1,,,,1.6,,,,,
2016-03-21,6.2,10.8,2.3,1.5,7.4,,,,3.0,,,,,
2016-03-22,8.8,13.4,3.3,0.0,10.2,,,,3.9,,,,,
2016-03-23,7.8,12.8,3.7,0.0,4.8,,,,2.8,,,,,
2016-03-24,4.1,10.8,-0.1,5.5,5.1,,,,2.3,,,,,
2016-03-25,4.5,9.7,0.1,0.5,9.4,,,,2.4,,,,,
2016-03-26,4.5,10.5,1.6,3.5,4.9,,,,2.5,,,,,
2016-03-27,6.3,13.4,0.4,0.0,11.0,,,,2.5,,,,,
2016-03-28,8.1,13.9,3.4,0.0,11.3,,,,2.2,,,,,
2016-03-29,8.9,15.1,2.3,0.0,10.0,,,,2.5,,,,,
2016-03-30,10.8,17.5,5.9,0.0,4.9,,,,4.0,,,,,
2016-03-31,10.9,16.5,4.5,0.0,10.9,,,,2.2,,,,,
2016-04-01,11.0,16.6,3.4,0.0,10.6,,,,2.9,,,,,
2016-04-02,13.9,20.3,8.6,0.0,11.2,,,,2.7,,,,,
2016-04-03,15.4,22.5,12.4,0.0,3.3,,,,2.2,,,,,
2016-04-04,7.9,12.4,6.3,15.5,0.0,,,,2.0,,,,,
2016-04-05,9.2,15.5,3.5,0.0,11.2,,,,1.7,,,,,
2016-04-06,11.8,16.5,8.6,0.0,7.9,,,,2.5,,,,,
2016-04-07,10.8,14.1,7.5,30.0,0.0,,,,3.6,,,,,
2016-04-08,11.6,14.7,9.0,0.0,1.8,,,,2.8,,,,,
2016-04-09,13.6,19.5,7.8,0.0,9.7,,,,2.9,,,,,
2016-04-10,12.3,18.2,7.3,0.0,5.7,,,,2.6,,,,,
2016-04-11,5.1,10.7,1.4,8.5,1.2,,,,3.0,,,,,
2016-04-12,6.8,13.3,0.3,0.0,10.1,,,,2.3,,,,,
2016-04-13,11.9,20.2,5.2,7.5,6.0,,,,2.4,,,,,
2016-04-14,13.8,19.2,10.4,4.0,8.9,,,,2.5,,,,,
2016-04-15,9.3,14.4,4.4,0.5,6.7,,,,4.5,,,,,
2016-04-16,11.6,20.8,2.1,0.0,11.1,,,,2.4,,,,,
2016-04-17,16.0,26.8,12.6,1.0,5.6,,,,6.0,,,,,
2016-04-18,12.8,16.3,9.9,0.0,3.6,,,,3.6,,,,,
2016-04-19,10.8,16.3,6.5,0.5,7.3,,,,1.9,,,,,
2016-04-20,11.0,16.8,4.5,0.0,6.9,,,,2.4,,,,,
2016-04-21,14.5,20.8,10.3,9.0,1.1,,,,2.5,,,,,
2016-04-22,12.8,16.9,10.5,7.5,3.8,,,,1.5,,,,,
2016-04-23,14.4,23.1,8.9,0.0,7.3,,,,2.8,,,,,
2016-04-24,12.9,17.6,8.0,0.0,7.7,,,,1.4,,,,,
2016-04-25,12.1,18.3,5.2,0.0,12.1,,,,1.8,,,,,
2016-04-26,13.8,19.3,8.4,0.0,11.8,,,,1.7,,,,,
2016-04-27,13.1,17.6,8.4,0.0,10.6,,,,1.8,,,,,
2016-04-28,12.7,15.5,11.0,22.0,0.0,,,,2.6,,,,,
2016-04-29,10.7,14.9,8.3,1.0,3.4,,,,4.9,,,,,
2016-04-30,11.2,16.9,5.2,0.0,2.4,,,,2.4,,,,,
2016-05-01,13.1,16.5,10.4,2.5,0.2,,,,3.1,,,,,
2016-05-02,16.5,22.9,12.7,0.0,3.4,,,,1.7,,,,,
2016-05-03,21.3,29.9,12.8,0.0,7.4,,,,3.6,,,,,
2016-05-04,16.2,23.3,11.8,7.5,4.0,,,,3.6,,,,,
2016-05-05,15.2,19.3,12.4,0.0,5.9,,,,4.7,,,,,
2016-05-06,16.2,22.3,9.4,0.0,4.8,,,,2.1,,,,,
2016-05-07,14.7,19.2,12.8,5.0,2.3,,,,2.2,,,,,
2016-05-08,14.9,19.6,10.9,0.5,12.9,,,,2.6,,,,,
2016-05-09,16.0,22.0,9.4,0.0,11.7,,,,1.6,,,,,
2016-05-10,16.6,21.1,14.7,3.0,1.0,,,,1.0,,,,,
2016-05-11,15.7,18.7,12.6,7.5,0.0,,,,5.0,,,,,
2016-05-12,14.3,19.1,11.2,0.5,10.2,,,,2.2,,,,,
2016-05-13,17.8,23.8,12.2,0.0,11.7,,,,2.2,,,,,
2016-05-14,14.8,18.8,10.9,0.0,8.0,,,,1.1,,,,,
2016-05-15,18.5,24.2,11.5,0.0,12.4,,,,1.7,,,,,
2016-05-16,20.5,31.2,13.0,0.5,10.8,,,,2.3,,,,,
2016-05-17,13.5,18.6,11.1,12.0,3.3,,,,1.5,,,,,
2016-05-18,16.0,22.0,9.9,0.0,13.0,,,,2.3,,,,,
2016-05-19,17.1,22.3,10.9,0.0,11.7,,,,2.0,,,,,
2016-05-20,17.2,23.4,13.8,0.0,8.3,,,,1.5,,,,,
2016-05-21,17.0,22.0,12.1,0.0,13.1,,,,1.7,,,,,
2016-05-22,17.9,24.1,12.3,0.0,13.1,,,,1.5,,,,,
2016-05-23,17.6,23.9,11.8,0.0,11.9,,,,1.3,,,,,
2016-05-24,21.4,29.5,13.3,0.0,6.5,,,,1.7,,,,,
2016-05-25,19.9,23.6,17.6,0.0,0.0,,,,1.2,,,,,
2016-05-26,,,,,1.6,,,,,,,,,
