calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.7,6.3,-2.2,2.0,5.6,,6,0,,,,,,
2016-01-02,2.9,10.2,-1.8,8.0,0.0,,4,0,0.8,,,,,
2016-01-03,5.8,9.9,3.8,12.0,0.0,,0,0,0.7,,,,,
2016-01-04,5.8,12.7,3.2,18.0,1.2,,0,0,1.0,,,,,
2016-01-05,2.7,3.7,1.1,9.0,0.0,,0,0,1.2,,,,,
2016-01-06,2.6,5.0,0.4,7.0,0.2,,0,0,0.6,,,,,
2016-01-07,1.6,4.0,0.0,12.5,0.0,,0,0,0.9,,,,,
2016-01-08,0.4,1.7,-0.2,7.0,0.0,,0,0,0.1,,,,,
2016-01-09,0.5,2.4,-0.8,4.0,0.0,,0,0,0.6,,,,,
2016-01-10,0.5,2.0,-0.6,35.5,0.0,,3,7,,,,,,
2016-01-11,-0.4,1.1,-2.7,9.5,0.0,,17,17,0.9,,,,,
2016-01-12,-0.8,0.9,-3.0,4.0,0.1,,18,12,,,,,,
2016-01-13,0.3,3.8,-2.7,7.0,3.6,,12,7,0.5,,,,,
2016-01-14,-0.4,0.8,-2.3,17.5,0.5,,14,8,,,,,,
2016-01-15,-1.2,2.3,-3.9,1.0,2.9,,16,5,0.7,,,,,
2016-01-16,-1.0,1.1,-3.1,18.5,0.0,,34,25,,,,,,
2016-01-17,-0.7,1.6,-3.1,0.5,0.0,,33,7,,,,,,
2016-01-18,0.9,3.1,0.0,28.5,0.0,,30,4,2.3,,,,,
2016-01-19,0.4,4.9,-2.2,16.0,0.4,,36,19,1.5,,,,,
2016-01-20,-0.7,1.5,-4.2,20.5,0.3,,42,15,,,,,,
2016-01-21,0.2,1.6,-1.2,0.0,0.1,,40,4,,,,,,
2016-01-22,0.0,2.2,-1.5,1.5,0.0,,38,8,1.3,,,,,
2016-01-23,-0.5,1.8,-2.2,1.0,0.3,,38,3,0.7,,,,,
2016-01-24,-2.5,-0.8,-4.1,45.5,0.0,,95,63,,,,,,
2016-01-25,-1.3,0.8,-4.7,4.0,0.9,,93,3,,,,,,
2016-01-26,0.3,5.4,-1.9,3.0,2.7,,84,1,,,,,,
2016-01-27,0.6,2.0,-0.7,41.5,0.2,,68,4,0.8,,,,,
2016-01-28,1.6,4.2,-0.1,11.5,0.1,,57,4,0.6,,,,,
2016-01-29,0.4,2.0,-0.1,16.0,0.0,,56,13,,,,,,
2016-01-30,0.4,2.1,-0.4,7.0,0.3,,62,10,,,,,,
2016-01-31,0.9,3.5,-0.5,4.5,1.4,,56,6,1.1,,,,,
2016-02-01,-0.9,0.8,-4.7,4.5,0.0,,68,15,,,,,,
2016-02-02,-0.9,1.9,-5.8,0.0,1.0,,55,3,1.4,,,,,
2016-02-03,0.3,3.3,-1.3,0.0,0.6,,52,0,0.7,,,,,
2016-02-04,0.8,5.3,-2.1,21.0,3.7,,54,6,0.6,,,,,
2016-02-05,0.9,3.3,-0.1,8.5,0.2,,54,2,,,,,,
2016-02-06,0.3,2.4,-1.0,1.0,0.3,,55,5,,,,,,
2016-02-07,-2.0,1.2,-6.6,2.5,2.4,,58,9,1.1,,,,,
2016-02-08,-2.7,4.8,-7.1,0.0,7.7,,52,2,0.6,,,,,
2016-02-09,-1.1,1.8,-5.8,7.0,0.6,,57,9,0.8,,,,,
2016-02-10,0.9,3.7,-1.4,1.0,3.4,,55,1,2.3,,,,,
2016-02-11,0.7,4.9,-4.8,0.0,3.9,,52,0,1.3,,,,,
2016-02-12,0.2,10.5,-7.6,0.0,8.7,,49,0,0.5,,,,,
2016-02-13,3.0,10.2,-0.3,0.0,0.1,,48,0,0.4,,,,,
2016-02-14,4.0,10.3,0.5,28.0,0.0,,45,0,1.2,,,,,
2016-02-15,-0.3,4.6,-2.5,12.0,0.0,,47,11,1.7,,,,,
2016-02-16,-0.7,3.1,-3.6,7.5,2.0,,47,9,,,,,,
2016-02-17,-0.4,0.5,-3.2,31.0,0.0,,75,29,,,,,,
2016-02-18,-0.1,6.6,-3.8,0.0,8.3,,67,0,0.4,,,,,
2016-02-19,1.7,9.4,-4.6,0.0,2.8,,55,1,0.9,,,,,
2016-02-20,2.6,7.3,-0.4,2.5,0.1,,51,0,0.9,,,,,
2016-02-21,3.1,7.6,0.4,19.0,0.3,,49,3,2.0,,,,,
2016-02-22,0.7,4.6,-1.7,0.5,2.8,,46,0,0.5,,,,,
2016-02-23,2.8,8.8,-1.7,17.5,3.7,,44,0,0.9,,,,,
2016-02-24,-0.5,2.7,-2.4,5.0,2.6,,47,14,1.3,,,,,
2016-02-25,-1.2,1.7,-3.3,3.5,1.4,,50,10,0.8,,,,,
2016-02-26,-0.1,1.9,-1.9,23.5,2.3,,71,34,0.5,,,,,
2016-02-27,2.3,7.1,-1.9,8.0,5.8,,72,5,0.9,,,,,
2016-02-28,4.1,9.0,0.6,8.0,5.2,,53,0,1.3,,,,,
2016-02-29,1.9,5.0,-1.5,10.0,0.0,,55,13,1.7,,,,,
2016-03-01,-0.9,0.0,-2.1,5.5,0.3,,59,6,,,,,,
2016-03-02,0.0,2.4,-1.4,20.5,0.6,,69,21,0.7,,,,,
2016-03-03,2.4,6.2,-0.3,11.5,0.0,,61,1,,,,,,
2016-03-04,2.4,9.6,-1.6,0.0,6.7,,54,0,0.7,,,,,
2016-03-05,4.9,13.6,-2.3,0.0,7.2,,49,0,1.4,,,,,
2016-03-06,7.2,16.0,0.4,0.0,7.0,,42,0,1.3,,,,,
2016-03-07,4.7,8.8,2.4,1.0,0.0,,37,0,0.4,,,,,
2016-03-08,3.6,6.4,2.0,5.5,0.0,,32,0,0.4,,,,,
2016-03-09,1.7,4.0,0.4,1.5,0.0,,30,2,0.7,,,,,
2016-03-10,1.4,4.0,-0.6,0.0,0.2,,29,0,1.0,,,,,
2016-03-11,0.9,3.9,-2.3,0.5,1.4,,27,0,0.9,,,,,
2016-03-12,0.8,5.5,-2.7,0.0,3.8,,26,1,0.7,,,,,
2016-03-13,2.7,8.5,-2.5,0.0,4.7,,24,0,0.4,,,,,
2016-03-14,2.6,4.7,1.1,4.5,0.0,,22,0,0.4,,,,,
2016-03-15,3.2,6.7,-0.1,3.5,2.6,,20,0,1.7,,,,,
2016-03-16,3.2,11.3,-3.0,0.0,5.9,,16,0,0.7,,,,,
2016-03-17,4.9,16.6,-3.4,0.0,10.1,,14,0,0.7,,,,,
2016-03-18,7.9,18.9,-1.8,0.0,6.6,,8,0,0.6,,,,,
2016-03-19,7.7,11.3,4.3,8.5,0.0,,0,0,0.8,,,,,
2016-03-20,5.2,7.2,2.8,3.0,0.0,,0,0,0.7,,,,,
2016-03-21,3.5,8.4,-1.0,0.0,3.1,,0,0,1.1,,,,,
2016-03-22,6.3,13.7,-2.6,0.0,9.3,,0,0,1.2,,,,,
2016-03-23,6.1,11.0,2.3,2.5,4.7,,0,0,1.8,,,,,
2016-03-24,2.1,7.0,0.0,3.5,0.7,,0,0,0.8,,,,,
2016-03-25,1.2,5.1,-1.1,6.0,3.9,,3,3,,,,,,
2016-03-26,1.4,7.7,-2.3,0.0,1.2,,0,0,0.8,,,,,
2016-03-27,4.5,14.1,-2.5,0.0,7.5,,0,0,0.9,,,,,
2016-03-28,6.5,15.5,-0.6,0.0,10.7,,0,0,1.0,,,,,
2016-03-29,7.0,17.5,-2.8,0.0,10.2,,0,0,0.7,,,,,
2016-03-30,9.0,18.9,0.0,13.0,7.5,,0,0,1.1,,,,,
2016-03-31,7.7,16.8,0.4,0.0,10.1,,0,0,1.4,,,,,
2016-04-01,8.8,20.0,-1.7,0.0,10.2,,0,0,1.8,,,,,
2016-04-02,10.7,18.1,4.8,0.0,10.6,,0,0,2.6,,,,,
2016-04-03,13.9,23.9,6.0,0.0,5.4,,0,0,1.0,,,,,
2016-04-04,8.7,11.8,6.1,10.5,0.0,,0,0,1.3,,,,,
2016-04-05,7.7,16.9,0.4,0.0,7.1,,0,0,1.0,,,,,
2016-04-06,8.2,16.6,1.3,2.5,7.1,,0,0,1.0,,,,,
2016-04-07,9.2,15.0,3.4,35.0,0.0,,0,0,1.7,,,,,
2016-04-08,10.0,12.4,6.4,2.5,0.0,,0,0,1.0,,,,,
2016-04-09,10.8,21.5,4.3,0.0,7.7,,0,0,1.2,,,,,
2016-04-10,10.1,20.0,1.8,0.0,5.7,,0,0,1.8,,,,,
2016-04-11,3.3,7.9,0.1,6.5,0.4,,0,0,1.8,,,,,
2016-04-12,5.5,15.8,-2.4,0.0,9.1,,0,0,0.7,,,,,
2016-04-13,12.5,22.4,1.0,5.0,8.1,,0,0,1.3,,,,,
2016-04-14,14.6,21.5,10.2,12.5,5.1,,0,0,1.4,,,,,
2016-04-15,7.0,12.3,0.6,9.5,0.4,,0,0,1.7,,,,,
2016-04-16,10.4,21.7,-0.3,0.0,8.4,,0,0,1.0,,,,,
2016-04-17,15.2,25.4,8.6,3.5,2.7,,0,0,2.6,,,,,
2016-04-18,12.0,17.6,6.1,0.0,3.0,,0,0,1.4,,,,,
2016-04-19,9.4,16.1,3.1,3.5,7.5,,0,0,1.5,,,,,
2016-04-20,10.1,19.3,2.9,0.0,5.8,,0,0,0.8,,,,,
