calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.8,1.9,-4.2,7.0,1.7,,78,12,,,,,,
2016-01-02,2.2,7.0,-3.3,0.0,5.6,,71,0,3.4,,,,,
2016-01-03,4.8,10.6,-0.1,0.0,8.7,,59,0,1.4,,,,,
2016-01-04,4.5,9.9,1.0,3.0,6.3,,49,0,1.9,,,,,
2016-01-05,2.0,3.8,-0.1,8.0,0.7,,38,0,1.1,,,,,
2016-01-06,1.5,4.6,-1.3,0.5,0.0,,31,0,,,,,,
2016-01-07,0.1,3.2,-1.2,13.5,0.0,,48,21,,,,,,
2016-01-08,0.2,2.6,-3.0,2.5,4.6,,50,5,,,,,,
2016-01-09,-0.9,1.5,-4.2,4.5,2.1,,43,12,,,,,,
2016-01-10,0.7,4.5,-3.8,4.0,5.8,,36,5,1.9,,,,,
2016-01-11,-1.9,0.0,-3.3,9.0,0.0,,46,15,,,,,,
2016-01-12,-2.9,-1.0,-5.6,1.0,1.9,,44,7,0.5,,,,,
2016-01-13,-1.8,2.8,-7.9,0.0,8.1,,43,3,1.7,,,,,
2016-01-14,-1.8,0.2,-4.4,3.0,0.0,,44,8,,,,,,
2016-01-15,-2.7,0.1,-6.1,0.5,2.4,,46,6,,,,,,
2016-01-16,-2.3,0.8,-6.3,2.5,0.5,,51,12,,,,,,
2016-01-17,-2.3,2.0,-7.0,0.0,0.9,,49,5,,,,,,
2016-01-18,0.8,3.3,-1.1,15.5,0.0,,57,11,1.7,,,,,
2016-01-19,-1.4,1.7,-5.4,0.0,6.2,,54,1,2.6,,,,,
2016-01-20,-1.9,1.6,-7.4,9.0,0.0,,65,18,3.8,,,,,
2016-01-21,-1.9,-0.9,-4.6,9.0,0.0,,90,29,2.1,,,,,
2016-01-22,-2.3,-1.1,-3.8,5.0,0.0,,103,21,2.4,,,,,
2016-01-23,-3.3,-1.4,-5.5,0.5,0.6,,100,3,1.0,,,,,
2016-01-24,-4.3,-2.0,-6.7,3.5,2.5,,111,29,2.9,,,,,
2016-01-25,-4.7,-1.8,-7.9,2.0,0.9,,116,14,3.1,,,,,
2016-01-26,-2.4,2.4,-7.2,0.0,9.4,,109,1,3.1,,,,,
2016-01-27,0.7,4.5,-4.2,0.0,4.8,,98,0,2.3,,,,,
2016-01-28,1.8,6.5,-2.9,0.0,2.4,,90,1,1.8,,,,,
2016-01-29,-1.1,1.9,-2.5,24.0,0.0,,103,20,,,,,,
2016-01-30,-0.8,1.3,-2.5,5.5,0.7,,108,5,,,,,,
2016-01-31,-0.1,1.2,-2.0,7.0,2.2,,107,7,1.2,,,,,
2016-02-01,-2.8,-0.9,-6.1,2.0,0.0,,103,4,1.0,,,,,
2016-02-02,-2.7,-1.1,-5.2,6.5,0.0,,111,14,1.4,,,,,
2016-02-03,-2.2,-0.2,-3.8,1.5,0.1,,114,6,1.0,,,,,
2016-02-04,-1.7,2.7,-6.6,0.0,7.1,,104,2,2.7,,,,,
2016-02-05,0.5,3.2,-3.0,0.5,2.7,,103,4,1.8,,,,,
2016-02-06,-1.0,2.8,-3.1,0.5,2.0,,97,4,1.7,,,,,
2016-02-07,-4.0,-1.6,-8.8,5.5,1.1,,107,14,1.4,,,,,
2016-02-08,-3.8,1.3,-10.5,0.0,10.0,,102,0,2.5,,,,,
2016-02-09,-0.9,2.1,-5.0,11.0,2.1,,122,28,2.5,,,,,
2016-02-10,-2.2,-0.6,-3.3,11.5,0.2,,140,20,3.4,,,,,
