calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.2,6.5,-0.8,0.0,8.4,,,,2.4,,,,,
2016-01-02,4.8,8.4,1.5,0.0,6.4,,,,3.0,,,,,
2016-01-03,7.5,12.0,5.8,0.0,7.0,,,,2.2,,,,,
2016-01-04,7.2,10.9,5.3,0.0,2.8,,,,3.4,,,,,
2016-01-05,4.9,7.4,3.3,0.0,2.5,,,,2.3,,,,,
2016-01-06,4.7,8.2,2.9,0.0,3.3,,,,1.7,,,,,
2016-01-07,3.0,6.2,0.9,0.0,0.8,,,,2.4,,,,,
2016-01-08,2.1,4.3,0.2,0.0,1.4,,,,3.5,,,,,
2016-01-09,1.5,6.5,-1.8,0.0,8.4,,,,3.9,,,,,
2016-01-10,2.3,5.7,-0.4,0.0,8.2,,,,4.0,,,,,
2016-01-11,2.6,6.7,0.2,0.0,5.2,,,,2.9,,,,,
2016-01-12,1.3,5.3,-1.8,0.0,5.4,,,,2.4,,,,,
2016-01-13,0.0,4.8,-2.4,0.0,2.6,,,,2.9,,,,,
2016-01-14,0.0,4.5,-2.3,0.0,5.1,,,,4.8,,,,,
2016-01-15,0.3,4.5,-2.8,0.0,9.1,,,,3.0,,,,,
2016-01-16,0.8,5.0,-2.0,0.0,5.3,,,,2.3,,,,,
2016-01-17,2.0,5.0,-1.0,4.0,4.2,,,,2.2,,,,,
2016-01-18,3.1,5.3,-0.8,4.5,0.0,,,,5.7,,,,,
2016-01-19,-3.3,-0.8,-5.4,0.0,1.6,,,,6.7,,,,,
2016-01-20,-2.1,2.4,-5.4,0.0,0.9,,,,5.6,,,,,
2016-01-21,-0.8,3.3,-2.7,0.0,3.3,,,,2.3,,,,,
2016-01-22,-0.6,4.1,-2.8,0.0,5.4,,,,1.9,,,,,
2016-01-23,-1.2,3.1,-3.5,0.5,0.8,,,,2.4,,,,,
2016-01-24,-6.2,-3.0,-8.8,0.0,7.1,,,,4.5,,,,,
2016-01-25,-4.1,0.4,-8.7,0.0,7.3,,,,4.4,,,,,
2016-01-26,-0.8,3.4,-4.4,0.5,6.1,,,,3.3,,,,,
2016-01-27,2.0,5.2,-0.3,0.0,6.8,,,,4.0,,,,,
2016-01-28,3.9,7.4,0.7,0.5,4.1,,,,2.0,,,,,
2016-01-29,7.0,10.6,3.9,57.0,0.0,,,,2.9,,,,,
2016-01-30,2.6,5.1,0.7,8.0,1.2,,,,2.8,,,,,
2016-01-31,2.4,7.1,-0.5,0.0,9.0,,,,2.6,,,,,
2016-02-01,1.6,4.6,0.2,0.0,0.3,,,,2.3,,,,,
2016-02-02,0.4,4.2,-2.1,0.0,3.1,,,,1.8,,,,,
2016-02-03,-0.5,3.8,-2.5,0.0,3.2,,,,2.3,,,,,
2016-02-04,1.1,5.0,-2.1,0.0,8.5,,,,2.8,,,,,
2016-02-05,2.1,6.2,-0.4,0.0,8.7,,,,2.4,,,,,
2016-02-06,1.1,4.9,-1.4,0.0,5.4,,,,3.1,,,,,
2016-02-07,-1.2,3.5,-3.2,0.0,4.4,,,,2.6,,,,,
2016-02-08,0.7,6.3,-4.1,0.0,10.4,,,,2.8,,,,,
2016-02-09,1.7,6.8,-1.5,0.0,2.8,,,,5.0,,,,,
2016-02-10,-0.2,4.4,-2.7,0.0,6.0,,,,3.3,,,,,
2016-02-11,2.7,8.4,-1.9,0.0,10.3,,,,1.8,,,,,
2016-02-12,7.2,11.5,2.4,0.0,5.0,,,,1.7,,,,,
2016-02-13,11.7,15.8,8.7,37.0,0.9,,,,1.8,,,,,
2016-02-14,10.5,14.8,4.8,14.5,0.3,,,,6.0,,,,,
2016-02-15,1.0,4.8,-2.3,0.0,1.0,,,,3.7,,,,,
2016-02-16,-1.2,2.2,-4.1,0.0,6.0,,,,4.8,,,,,
2016-02-17,-0.5,2.3,-2.4,4.0,3.9,,,,3.6,,,,,
2016-02-18,1.5,6.8,-3.2,0.0,10.4,,,,1.9,,,,,
2016-02-19,5.3,9.8,0.8,0.0,8.1,,,,3.1,,,,,
2016-02-20,5.5,9.7,3.0,20.0,0.0,,,,3.1,,,,,
2016-02-21,2.2,6.2,-1.4,0.5,7.8,,,,3.7,,,,,
2016-02-22,1.0,3.8,-2.4,0.0,0.8,,,,1.6,,,,,
2016-02-23,2.6,5.5,0.7,0.0,1.7,,,,3.1,,,,,
2016-02-24,-0.4,3.2,-3.2,0.0,4.1,,,,2.7,,,,,
2016-02-25,-0.8,4.6,-4.0,0.0,10.1,,,,2.7,,,,,
2016-02-26,-0.3,4.7,-4.2,0.0,7.6,,,,3.2,,,,,
2016-02-27,3.7,9.4,-0.9,0.0,6.0,,,,3.2,,,,,
2016-02-28,6.3,11.9,1.1,0.0,10.2,,,,2.0,,,,,
2016-02-29,3.8,10.3,-4.1,5.5,1.2,,,,4.0,,,,,
2016-03-01,-2.7,2.3,-5.6,0.0,5.2,,,,3.5,,,,,
2016-03-02,0.9,6.1,-3.4,0.0,9.1,,,,3.6,,,,,
2016-03-03,5.3,10.6,0.8,0.0,10.9,,,,3.0,,,,,
