calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.4,10.9,5.9,0.0,,,,,3.5,,,,,
2016-01-02,10.8,13.0,7.9,0.0,,,,,3.4,,,,,
2016-01-03,12.0,14.8,8.7,0.0,,,,,1.7,,,,,
2016-01-04,12.7,15.7,8.2,0.0,,,,,2.9,,,,,
2016-01-05,11.0,13.3,9.6,0.0,,,,,4.0,,,,,
2016-01-06,10.3,11.4,8.8,0.0,,,,,2.4,,,,,
2016-01-07,9.8,11.8,7.9,0.0,,,,,5.3,,,,,
2016-01-08,8.4,10.6,6.9,0.0,,,,,5.5,,,,,
2016-01-09,7.8,10.3,5.5,0.0,,,,,5.4,,,,,
2016-01-10,9.2,11.5,7.1,0.0,,,,,4.4,,,,,
2016-01-11,9.3,11.1,7.1,0.0,,,,,3.8,,,,,
2016-01-12,7.8,10.4,5.0,0.0,,,,,4.9,,,,,
2016-01-13,6.4,10.5,3.0,0.0,,,,,5.5,,,,,
2016-01-14,6.8,9.6,4.5,0.0,,,,,5.8,,,,,
2016-01-15,6.9,9.4,5.0,0.0,,,,,5.5,,,,,
2016-01-16,7.1,9.4,4.3,0.0,,,,,3.0,,,,,
2016-01-17,7.6,10.1,3.4,0.5,,,,,5.3,,,,,
2016-01-18,8.7,12.6,3.0,6.0,,,,,9.5,,,,,
2016-01-19,3.6,6.0,1.5,0.0,,,,,12.3,,,,,
2016-01-20,5.3,8.3,1.6,0.0,,,,,9.0,,,,,
2016-01-21,5.7,7.7,3.4,0.0,,,,,3.2,,,,,
2016-01-22,5.9,9.4,3.6,0.0,,,,,5.4,,,,,
2016-01-23,4.7,6.9,2.8,0.0,,,,,4.4,,,,,
2016-01-24,-0.4,3.2,-3.3,0.0,,,,,8.4,,,,,
2016-01-25,2.8,5.5,-1.1,0.0,,,,,7.4,,,,,
2016-01-26,5.7,8.2,2.2,0.0,,,,,5.2,,,,,
2016-01-27,8.2,10.9,6.5,0.0,,,,,4.0,,,,,
2016-01-28,8.7,11.7,5.5,0.0,,,,,1.7,,,,,
2016-01-29,8.6,9.7,7.7,51.0,,,,,4.9,,,,,
2016-01-30,8.3,10.1,6.8,7.5,,,,,6.8,,,,,
2016-01-31,8.1,10.6,5.7,0.0,,,,,3.7,,,,,
2016-02-01,7.7,8.9,6.3,0.0,,,,,3.2,,,,,
2016-02-02,6.4,9.6,4.3,1.5,,,,,4.0,,,,,
2016-02-03,5.9,8.7,3.1,0.0,,,,,3.7,,,,,
2016-02-04,6.9,9.8,2.1,0.0,,,,,2.5,,,,,
2016-02-05,7.6,9.5,4.9,0.0,,,,,2.7,,,,,
2016-02-06,7.0,8.9,5.3,0.0,,,,,4.9,,,,,
2016-02-07,5.0,7.3,3.3,0.0,,,,,5.6,,,,,
2016-02-08,5.7,9.2,-0.2,0.0,,,,,4.4,,,,,
2016-02-09,8.1,10.9,5.3,0.5,,,,,8.7,,,,,
2016-02-10,6.0,8.0,4.4,0.0,,,,,4.1,,,,,
2016-02-11,7.1,10.7,2.8,0.0,,,,,3.0,,,,,
2016-02-12,10.0,15.9,3.5,0.0,,,,,3.1,,,,,
2016-02-13,13.8,18.3,10.7,33.5,,,,,6.0,,,,,
2016-02-14,14.8,18.6,10.2,13.5,,,,,9.4,,,,,
2016-02-15,6.5,10.3,3.4,0.0,,,,,8.0,,,,,
2016-02-16,5.0,8.0,2.5,0.0,,,,,8.0,,,,,
2016-02-17,6.5,9.5,4.1,0.5,,,,,6.4,,,,,
2016-02-18,6.7,10.2,3.1,0.0,,,,,2.5,,,,,
2016-02-19,10.2,13.6,4.6,0.0,,,,,2.3,,,,,
2016-02-20,9.2,10.3,8.4,30.0,,,,,5.1,,,,,
2016-02-21,8.2,10.9,5.4,0.0,,,,,6.3,,,,,
2016-02-22,6.4,7.9,4.2,0.0,,,,,3.3,,,,,
2016-02-23,8.2,9.2,6.9,0.0,,,,,2.1,,,,,
2016-02-24,5.9,8.6,2.9,0.0,,,,,7.8,,,,,
2016-02-25,4.9,7.9,2.6,0.0,,,,,4.8,,,,,
2016-02-26,5.9,8.9,2.2,0.0,,,,,3.5,,,,,
2016-02-27,9.1,13.2,5.1,0.0,,,,,4.8,,,,,
2016-02-28,10.1,13.9,5.3,0.0,,,,,2.8,,,,,
2016-02-29,9.2,14.5,2.5,0.0,,,,,8.1,,,,,
2016-03-01,3.8,6.7,1.2,0.0,,,,,4.7,,,,,
2016-03-02,7.0,10.4,3.7,0.0,,,,,4.3,,,,,
2016-03-03,9.6,13.2,5.9,0.0,,,,,3.0,,,,,
2016-03-04,10.3,14.5,6.1,0.0,,,,,1.5,,,,,
2016-03-05,13.5,18.5,8.6,0.0,,,,,2.9,,,,,
2016-03-06,14.8,18.6,9.8,0.0,,,,,3.6,,,,,
2016-03-07,14.9,20.3,11.1,0.0,,,,,2.7,,,,,
2016-03-08,14.0,18.5,9.9,0.0,,,,,3.3,,,,,
2016-03-09,9.2,12.8,7.3,46.5,,,,,8.3,,,,,
2016-03-10,7.5,9.7,5.7,0.0,,,,,7.8,,,,,
2016-03-11,7.2,10.8,4.9,0.0,,,,,5.7,,,,,
2016-03-12,7.1,10.5,3.5,0.0,,,,,4.3,,,,,
2016-03-13,8.2,12.2,5.1,8.5,,,,,3.2,,,,,
2016-03-14,7.0,8.5,5.4,18.5,,,,,6.7,,,,,
2016-03-15,8.3,11.7,6.2,0.0,,,,,5.0,,,,,
2016-03-16,8.4,12.5,4.0,0.0,,,,,2.4,,,,,
2016-03-17,11.5,17.7,6.7,0.0,,,,,1.9,,,,,
2016-03-18,13.8,17.9,8.8,12.5,,,,,3.3,,,,,
2016-03-19,13.2,15.1,10.5,4.5,,,,,4.0,,,,,
2016-03-20,10.9,14.2,9.0,0.0,,,,,5.7,,,,,
2016-03-21,9.6,13.6,6.1,0.0,,,,,6.3,,,,,
2016-03-22,9.8,14.9,3.8,0.0,,,,,2.8,,,,,
2016-03-23,11.6,16.2,7.7,0.0,,,,,3.4,,,,,
2016-03-24,9.4,12.6,6.7,0.0,,,,,8.0,,,,,
2016-03-25,7.4,10.7,5.2,0.0,,,,,5.3,,,,,
2016-03-26,8.2,11.9,4.0,0.0,,,,,3.6,,,,,
2016-03-27,9.3,13.7,5.5,0.0,,,,,3.0,,,,,
2016-03-28,10.9,14.4,5.6,0.0,,,,,2.7,,,,,
2016-03-29,12.0,16.3,7.0,0.0,,,,,2.8,,,,,
2016-03-30,14.2,17.4,9.6,0.0,,,,,3.0,,,,,
2016-03-31,14.6,19.2,10.6,0.0,,,,,2.1,,,,,
2016-04-01,13.7,14.8,12.6,7.0,,,,,4.8,,,,,
2016-04-02,14.4,20.1,9.3,0.0,,,,,2.7,,,,,
2016-04-03,15.3,19.9,13.1,3.5,,,,,1.6,,,,,
2016-04-04,15.0,19.6,12.5,14.0,,,,,3.7,,,,,
2016-04-05,13.6,16.8,11.3,0.0,,,,,3.2,,,,,
2016-04-06,15.0,19.1,9.8,0.0,,,,,2.5,,,,,
2016-04-07,16.9,20.7,13.0,28.0,,,,,9.5,,,,,
2016-04-08,14.5,17.6,12.2,0.0,,,,,2.7,,,,,
2016-04-09,15.4,21.2,11.4,0.0,,,,,3.0,,,,,
2016-04-10,15.4,19.0,13.4,0.0,,,,,2.1,,,,,
2016-04-11,11.5,15.6,6.9,0.0,,,,,7.1,,,,,
2016-04-12,11.3,14.8,5.9,0.0,,,,,3.4,,,,,
2016-04-13,14.7,17.0,12.3,15.5,,,,,2.2,,,,,
2016-04-14,17.3,22.3,14.4,4.5,,,,,4.0,,,,,
2016-04-15,15.2,19.2,11.6,0.0,,,,,5.7,,,,,
2016-04-16,15.2,19.9,7.9,0.0,,,,,4.1,,,,,
2016-04-17,19.6,24.6,13.9,1.0,,,,,9.0,,,,,
2016-04-18,14.9,17.1,13.0,0.0,,,,,3.3,,,,,
2016-04-19,14.9,19.5,9.9,0.0,,,,,3.7,,,,,
2016-04-20,14.8,19.6,9.4,0.0,,,,,4.3,,,,,
2016-04-21,16.0,19.8,14.2,23.0,,,,,3.6,,,,,
2016-04-22,18.2,22.4,15.4,1.5,,,,,3.3,,,,,
2016-04-23,17.4,21.8,14.1,3.5,,,,,2.2,,,,,
2016-04-24,16.6,20.7,14.2,0.0,,,,,2.4,,,,,
2016-04-25,17.0,21.4,13.0,0.0,,,,,2.3,,,,,
2016-04-26,18.4,23.5,14.1,0.0,,,,,2.9,,,,,
2016-04-27,17.9,20.0,16.5,5.0,,,,,3.3,,,,,
2016-04-28,16.0,18.6,13.3,2.0,,,,,3.6,,,,,
2016-04-29,13.8,17.5,11.1,0.0,,,,,6.3,,,,,
2016-04-30,15.2,20.5,9.3,0.0,,,,,3.6,,,,,
2016-05-01,18.0,24.0,13.1,0.0,,,,,2.4,,,,,
2016-05-02,19.6,24.6,13.8,0.0,,,,,2.9,,,,,
2016-05-03,20.1,22.3,16.9,0.0,,,,,8.1,,,,,
2016-05-04,19.5,23.7,15.8,0.0,,,,,7.8,,,,,
2016-05-05,19.8,23.7,16.3,0.0,,,,,4.3,,,,,
2016-05-06,17.0,19.8,15.3,7.0,,,,,2.5,,,,,
2016-05-07,17.8,21.0,15.7,0.0,,,,,2.4,,,,,
2016-05-08,18.3,23.9,13.3,0.0,,,,,2.8,,,,,
2016-05-09,16.2,17.9,14.4,33.5,,,,,3.1,,,,,
2016-05-10,18.6,22.3,16.0,16.0,,,,,4.2,,,,,
2016-05-11,19.2,22.9,15.6,17.5,,,,,8.1,,,,,
2016-05-12,17.6,22.0,13.5,0.0,,,,,3.4,,,,,
2016-05-13,19.4,23.8,15.3,0.0,,,,,2.9,,,,,
2016-05-14,20.5,24.7,16.1,0.0,,,,,4.0,,,,,
2016-05-15,21.1,26.1,17.0,0.0,,,,,3.5,,,,,
2016-05-16,21.0,26.2,14.4,32.5,,,,,6.1,,,,,
2016-05-17,17.3,22.5,12.7,6.0,,,,,4.9,,,,,
2016-05-18,19.0,24.0,13.7,0.0,,,,,3.6,,,,,
2016-05-19,20.5,25.5,16.9,0.0,,,,,3.2,,,,,
2016-05-20,20.3,23.9,17.9,0.0,,,,,3.7,,,,,
2016-05-21,21.6,27.0,17.8,0.0,,,,,3.0,,,,,
2016-05-22,20.8,25.2,16.4,0.0,,,,,3.4,,,,,
2016-05-23,22.1,28.7,18.2,0.0,,,,,2.3,,,,,
2016-05-24,22.9,28.2,19.0,0.0,,,,,4.7,,,,,
2016-05-25,22.3,24.9,20.2,0.0,,,,,2.6,,,,,
2016-05-26,22.6,26.6,20.4,8.5,,,,,3.2,,,,,
2016-05-27,22.7,26.2,17.7,3.5,,,,,3.6,,,,,
2016-05-28,20.1,22.1,18.2,2.5,,,,,1.9,,,,,
2016-05-29,20.1,23.1,17.6,7.5,,,,,2.2,,,,,
2016-05-30,20.7,24.4,18.1,4.0,,,,,3.2,,,,,
2016-05-31,23.0,27.4,19.5,0.0,,,,,3.9,,,,,
2016-06-01,20.7,23.9,17.3,0.0,,,,,5.5,,,,,
2016-06-02,19.7,24.3,16.0,0.0,,,,,7.0,,,,,
2016-06-03,20.1,24.7,15.3,0.0,,,,,4.1,,,,,
2016-06-04,21.3,24.9,18.1,0.5,,,,,2.8,,,,,
2016-06-05,19.6,23.7,16.1,16.0,,,,,6.1,,,,,
2016-06-06,20.9,25.1,16.8,0.0,,,,,2.9,,,,,
2016-06-07,20.3,21.5,19.3,7.5,,,,,2.9,,,,,
2016-06-08,21.8,26.7,18.1,0.0,,,,,3.2,,,,,
2016-06-09,22.8,26.4,20.1,0.0,,,,,2.7,,,,,
2016-06-10,24.4,29.4,20.6,0.0,,,,,4.0,,,,,
