calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.6,11.4,4.4,0.0,9.0,11.94,,,1.6,6.1,1019.4,59,1029.7,1.0
2016-01-02,8.1,13.0,2.9,,7.4,9.71,,,1.4,7.2,1015.6,67,1025.8,6.5
2016-01-03,10.9,16.3,6.8,,7.5,10.48,,,1.3,9.2,1009.6,71,1019.7,5.5
2016-01-04,11.2,15.3,6.3,,7.4,10.15,,,1.7,9.7,1008.5,73,1018.6,2.5
2016-01-05,10.0,12.0,6.6,0.0,2.1,4.49,,,1.4,8.0,1011.5,66,1021.6,5.8
2016-01-06,9.9,13.6,7.4,,2.8,7.08,,,1.3,8.0,1009.4,66,1019.5,10.0
2016-01-07,8.9,12.0,6.9,0.0,2.1,6.00,,,1.7,6.8,1007.4,60,1017.5,7.3
2016-01-08,8.3,10.6,5.1,,2.0,5.32,,,2.1,5.8,1007.4,53,1017.6,7.8
2016-01-09,7.4,10.7,3.2,,9.5,12.43,,,2.1,4.8,1011.3,47,1021.6,1.0
2016-01-10,8.1,10.9,4.2,,8.5,9.90,,,2.0,5.6,1012.3,51,1022.5,4.5
2016-01-11,7.9,11.6,3.6,,4.8,9.22,,,1.6,6.3,1010.1,59,1020.2,7.5
2016-01-12,7.2,10.3,3.5,,6.4,10.02,,,2.4,6.1,1005.9,61,1016.1,5.5
2016-01-13,5.2,9.5,2.5,1.5,3.4,7.36,,,1.9,6.2,1005.9,70,1016.2,6.8
2016-01-14,6.3,10.0,2.3,,5.9,10.04,,,2.8,4.9,1007.7,52,1017.9,5.3
2016-01-15,6.2,9.9,2.6,,8.6,11.93,,,2.2,4.8,1009.7,51,1019.9,5.3
2016-01-16,5.9,10.5,2.2,0.0,7.5,10.95,,,1.3,5.3,1011.8,58,1022.1,1.8
2016-01-17,6.2,9.8,1.6,1.0,4.0,7.45,,,2.6,5.8,1008.5,63,1018.8,8.3
2016-01-18,8.5,11.3,5.1,6.5,0.2,2.88,,,4.3,8.4,990.0,75,1000.0,10.0
2016-01-19,3.0,5.5,0.8,0.0,4.3,8.63,,,5.2,3.7,999.8,49,1010.1,8.0
2016-01-20,3.9,7.1,0.8,0.0,1.6,4.58,,,3.6,5.0,1008.1,62,1018.4,4.8
2016-01-21,4.9,8.1,1.6,0.0,4.0,7.04,,,1.5,5.7,1011.6,66,1021.9,8.3
2016-01-22,5.0,9.7,2.5,0.0,7.0,12.26,,,2.6,5.6,1012.7,66,1023.1,8.0
2016-01-23,4.3,6.8,1.9,0.0,0.5,4.74,,,1.9,5.1,1009.2,61,1019.5,10.0
2016-01-24,0.1,3.2,-2.4,,7.2,13.87,,,4.0,2.1,1004.6,35,1015.0,5.8
2016-01-25,1.9,6.3,-3.5,,9.1,13.70,,,2.7,3.6,1012.6,52,1023.1,1.3
2016-01-26,4.9,8.4,0.7,0.0,7.2,12.46,,,2.0,5.7,1015.6,67,1026.0,7.5
2016-01-27,8.1,11.0,5.9,0.0,7.3,12.54,,,2.5,5.6,1018.5,52,1028.7,7.3
2016-01-28,8.0,12.2,2.5,0.0,3.4,8.41,,,1.2,6.8,1018.6,64,1028.8,9.0
2016-01-29,7.6,8.8,6.7,50.5,0.0,1.21,,,3.8,9.7,1008.9,93,1019.1,10.0
2016-01-30,8.0,10.5,6.5,7.0,1.4,7.41,,,2.9,7.4,1010.0,70,1020.2,10.0
2016-01-31,8.3,11.6,4.9,,9.2,13.97,,,2.0,6.2,1013.5,57,1023.7,5.3
2016-02-01,7.2,9.5,5.3,0.5,1.3,5.89,,,1.7,6.6,1010.6,66,1020.8,9.8
2016-02-02,6.1,10.1,3.7,0.0,6.1,10.89,,,2.4,5.6,1010.2,61,1020.4,7.0
2016-02-03,4.8,9.5,1.6,0.0,4.1,9.69,,,1.8,5.2,1013.8,62,1024.2,3.0
2016-02-04,5.7,10.2,0.4,,8.4,13.73,,,1.8,5.4,1012.3,60,1022.6,7.5
