calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.8,11.6,2.2,0.0,8.4,,,,1.1,,,,,
2016-01-02,7.7,14.3,1.7,0.0,6.3,,,,1.1,,,,,
2016-01-03,10.3,16.2,6.0,0.0,5.8,,,,1.1,,,,,
2016-01-04,10.2,16.2,3.8,0.0,6.6,,,,1.3,,,,,
2016-01-05,9.4,12.3,5.9,0.0,1.3,,,,1.3,,,,,
2016-01-06,9.5,12.8,6.3,0.0,2.8,,,,1.2,,,,,
2016-01-07,8.2,12.4,4.4,0.0,3.4,,,,1.5,,,,,
2016-01-08,7.8,10.1,3.2,0.0,0.9,,,,2.3,,,,,
2016-01-09,7.5,10.8,3.3,0.0,9.2,,,,2.4,,,,,
2016-01-10,8.0,11.1,3.0,0.0,5.6,,,,2.2,,,,,
2016-01-11,7.5,11.5,1.7,0.0,5.5,,,,1.7,,,,,
2016-01-12,7.0,10.6,2.1,0.0,5.4,,,,1.6,,,,,
2016-01-13,5.2,10.1,0.4,0.0,2.8,,,,1.9,,,,,
2016-01-14,5.9,10.1,1.0,0.0,4.8,,,,2.7,,,,,
2016-01-15,6.2,9.6,2.5,0.0,9.5,,,,2.0,,,,,
2016-01-16,4.7,10.9,-0.9,0.0,9.1,,,,1.0,,,,,
2016-01-17,6.4,10.3,0.9,1.5,4.0,,,,2.2,,,,,
2016-01-18,8.7,12.0,3.2,7.5,0.4,,,,3.9,,,,,
2016-01-19,3.2,5.7,1.2,1.0,1.2,,,,5.6,,,,,
2016-01-20,4.7,8.8,1.3,0.0,3.8,,,,3.7,,,,,
2016-01-21,4.6,8.4,0.0,0.0,4.7,,,,1.3,,,,,
2016-01-22,4.9,8.7,2.0,0.0,6.0,,,,2.0,,,,,
2016-01-23,4.1,7.3,1.0,0.0,0.6,,,,1.8,,,,,
2016-01-24,-0.2,2.7,-2.1,0.0,6.2,,,,3.7,,,,,
2016-01-25,2.0,5.5,-1.8,0.0,6.8,,,,3.0,,,,,
2016-01-26,4.7,9.4,-2.0,0.0,6.1,,,,2.1,,,,,
2016-01-27,7.5,11.0,4.1,0.0,6.3,,,,2.0,,,,,
2016-01-28,7.5,12.4,0.4,0.0,3.4,,,,0.8,,,,,
2016-01-29,8.1,9.6,7.2,54.0,0.0,,,,1.9,,,,,
2016-01-30,8.0,9.9,5.9,7.0,1.2,,,,2.1,,,,,
2016-01-31,7.4,11.8,3.1,0.0,9.1,,,,1.4,,,,,
2016-02-01,7.0,9.7,4.8,0.0,0.9,,,,1.6,,,,,
2016-02-02,6.1,10.4,3.2,0.0,6.1,,,,1.5,,,,,
2016-02-03,4.2,10.2,-1.1,0.0,5.8,,,,1.3,,,,,
2016-02-04,4.8,10.1,-1.3,0.0,7.9,,,,1.4,,,,,
2016-02-05,6.1,10.9,1.4,0.0,8.1,,,,1.3,,,,,
2016-02-06,6.2,9.8,2.3,0.0,6.0,,,,1.9,,,,,
2016-02-07,4.7,8.4,-0.1,0.0,4.9,,,,2.0,,,,,
2016-02-08,5.1,11.3,-0.7,0.0,10.1,,,,2.1,,,,,
2016-02-09,7.4,11.2,4.6,1.0,5.0,,,,3.3,,,,,
2016-02-10,5.3,10.5,1.1,0.0,5.7,,,,1.8,,,,,
2016-02-11,5.6,12.6,-0.3,0.0,10.1,,,,1.2,,,,,
2016-02-12,10.8,16.9,4.1,0.0,6.8,,,,1.8,,,,,
2016-02-13,14.2,18.2,11.0,37.0,1.2,,,,1.8,,,,,
2016-02-14,15.1,20.1,10.4,11.0,1.6,,,,3.4,,,,,
2016-02-15,6.7,10.6,3.8,0.0,2.5,,,,3.3,,,,,
2016-02-16,4.9,7.9,2.3,0.0,4.5,,,,3.5,,,,,
2016-02-17,5.7,9.9,0.7,1.0,6.1,,,,2.8,,,,,
2016-02-18,4.8,11.2,-1.4,0.0,10.3,,,,1.2,,,,,
2016-02-19,8.8,14.7,1.9,0.0,8.0,,,,1.4,,,,,
2016-02-20,9.1,10.8,7.4,17.5,0.0,,,,2.1,,,,,
2016-02-21,7.9,11.4,4.6,1.0,6.5,,,,2.5,,,,,
2016-02-22,5.9,9.0,1.4,0.0,1.1,,,,0.9,,,,,
2016-02-23,7.7,10.2,5.0,0.0,0.7,,,,1.5,,,,,
2016-02-24,5.6,8.7,2.3,0.0,4.7,,,,2.6,,,,,
2016-02-25,4.8,8.9,0.6,0.0,10.8,,,,1.9,,,,,
2016-02-26,4.6,9.5,-0.9,0.0,8.9,,,,2.1,,,,,
2016-02-27,7.9,14.3,0.9,0.0,6.3,,,,2.0,,,,,
2016-02-28,9.8,16.3,4.4,0.0,9.8,,,,1.4,,,,,
2016-02-29,8.0,13.1,1.9,0.0,1.7,,,,3.3,,,,,
2016-03-01,3.4,7.1,0.3,0.0,6.1,,,,1.9,,,,,
2016-03-02,6.1,11.1,0.7,0.0,9.5,,,,2.1,,,,,
2016-03-03,8.2,15.1,1.2,0.0,10.9,,,,1.4,,,,,
2016-03-04,11.0,18.5,3.8,0.0,7.8,,,,1.4,,,,,
2016-03-05,15.2,20.8,9.2,0.0,8.5,,,,1.4,,,,,
2016-03-06,16.2,21.6,8.9,0.0,3.2,,,,1.5,,,,,
2016-03-07,16.7,21.0,12.3,0.0,2.6,,,,1.6,,,,,
2016-03-08,14.8,20.3,9.5,0.0,6.4,,,,1.6,,,,,
2016-03-09,9.2,13.3,6.7,43.0,0.0,,,,2.5,,,,,
2016-03-10,7.5,10.1,5.7,0.0,2.0,,,,2.3,,,,,
2016-03-11,7.4,12.6,4.3,0.0,7.6,,,,2.2,,,,,
2016-03-12,6.5,12.5,0.7,0.0,11.0,,,,1.5,,,,,
2016-03-13,8.6,14.2,4.2,8.0,1.7,,,,1.4,,,,,
2016-03-14,6.6,8.1,5.3,19.5,0.0,,,,2.0,,,,,
2016-03-15,8.4,13.3,5.0,0.0,9.3,,,,2.0,,,,,
2016-03-16,8.1,14.6,2.6,0.0,4.0,,,,1.2,,,,,
2016-03-17,11.5,19.6,3.7,0.0,11.1,,,,1.2,,,,,
2016-03-18,14.4,19.8,7.8,7.5,3.2,,,,1.4,,,,,
2016-03-19,13.9,16.6,10.1,6.0,0.1,,,,1.7,,,,,
2016-03-20,11.1,15.8,8.7,0.0,7.2,,,,2.3,,,,,
2016-03-21,9.8,14.7,6.4,0.0,9.9,,,,2.5,,,,,
2016-03-22,9.4,16.9,2.9,0.0,11.2,,,,1.4,,,,,
2016-03-23,12.0,19.1,4.9,0.0,10.6,,,,1.9,,,,,
2016-03-24,9.3,12.9,6.3,0.0,6.6,,,,2.9,,,,,
2016-03-25,7.4,12.2,3.4,0.0,8.1,,,,2.0,,,,,
2016-03-26,7.5,14.4,0.4,0.0,11.3,,,,1.3,,,,,
2016-03-27,9.7,16.4,4.8,0.0,5.1,,,,1.5,,,,,
2016-03-28,10.2,15.8,4.5,0.0,9.7,,,,1.3,,,,,
2016-03-29,11.6,17.1,4.2,0.0,7.5,,,,1.5,,,,,
2016-03-30,14.1,19.3,7.8,0.0,5.3,,,,1.5,,,,,
2016-03-31,15.6,22.0,9.2,0.0,7.2,,,,1.2,,,,,
2016-04-01,14.7,16.6,13.7,3.0,0.0,,,,2.0,,,,,
2016-04-02,16.6,21.9,12.9,0.0,5.5,,,,1.8,,,,,
2016-04-03,17.7,22.6,13.6,0.0,0.3,,,,1.4,,,,,
2016-04-04,15.9,20.9,12.4,12.5,1.6,,,,1.5,,,,,
2016-04-05,13.7,17.9,10.0,0.0,3.9,,,,1.2,,,,,
2016-04-06,15.8,21.9,9.4,0.0,9.3,,,,1.4,,,,,
2016-04-07,17.6,22.8,13.4,30.5,0.0,,,,3.2,,,,,
2016-04-08,15.1,18.5,10.9,0.0,1.7,,,,1.2,,,,,
2016-04-09,16.0,22.3,9.7,0.0,7.4,,,,1.1,,,,,
2016-04-10,16.0,20.6,11.8,0.0,0.3,,,,1.0,,,,,
2016-04-11,11.4,14.9,6.9,0.0,8.3,,,,2.6,,,,,
2016-04-12,11.4,17.8,3.5,0.0,9.7,,,,1.3,,,,,
2016-04-13,16.6,20.1,14.3,13.5,0.6,,,,1.4,,,,,
2016-04-14,18.3,23.6,15.1,6.5,8.0,,,,1.8,,,,,
2016-04-15,15.5,20.2,11.3,0.0,11.9,,,,2.1,,,,,
2016-04-16,15.9,22.7,7.6,0.0,11.5,,,,1.3,,,,,
2016-04-17,20.3,27.1,14.2,1.0,7.7,,,,2.7,,,,,
2016-04-18,14.7,17.2,11.6,0.0,1.4,,,,1.7,,,,,
2016-04-19,14.6,20.5,7.4,0.0,11.8,,,,2.0,,,,,
2016-04-20,15.5,21.2,8.3,0.0,12.0,,,,1.4,,,,,
2016-04-21,15.5,16.9,13.6,18.0,0.0,,,,1.4,,,,,
2016-04-22,18.8,23.8,15.3,3.5,9.1,,,,1.5,,,,,
2016-04-23,18.1,24.4,13.1,1.5,6.2,,,,1.4,,,,,
2016-04-24,17.6,23.0,14.3,0.5,4.6,,,,1.4,,,,,
2016-04-25,18.0,24.4,12.0,0.0,6.6,,,,1.2,,,,,
2016-04-26,19.4,26.3,12.4,0.0,11.2,,,,1.3,,,,,
2016-04-27,18.5,21.1,16.4,2.5,0.0,,,,1.8,,,,,
2016-04-28,16.8,19.8,13.2,6.5,0.0,,,,1.8,,,,,
2016-04-29,13.2,17.6,9.5,0.0,6.8,,,,1.9,,,,,
2016-04-30,14.8,22.1,6.4,0.0,12.7,,,,1.3,,,,,
2016-05-01,18.5,25.2,10.6,0.0,9.4,,,,1.2,,,,,
2016-05-02,19.9,28.5,12.6,0.0,11.4,,,,1.2,,,,,
2016-05-03,20.9,25.3,14.0,0.0,0.8,,,,1.5,,,,,
2016-05-04,20.5,25.5,15.1,5.0,12.7,,,,3.6,,,,,
2016-05-05,20.8,24.5,17.3,0.0,11.1,,,,2.8,,,,,
2016-05-06,17.5,21.3,15.6,5.0,0.0,,,,1.4,,,,,
2016-05-07,18.9,22.6,15.5,0.5,3.3,,,,1.4,,,,,
2016-05-08,18.6,26.0,11.2,0.0,11.1,,,,1.2,,,,,
2016-05-09,16.6,18.8,14.2,29.0,0.0,,,,1.3,,,,,
2016-05-10,19.4,22.6,16.0,10.5,0.1,,,,1.0,,,,,
2016-05-11,19.2,24.3,15.2,10.5,0.0,,,,2.7,,,,,
2016-05-12,17.8,24.9,11.0,0.0,13.0,,,,1.1,,,,,
2016-05-13,19.8,25.2,13.7,0.0,11.6,,,,1.4,,,,,
2016-05-14,20.7,27.5,15.0,0.0,11.7,,,,1.3,,,,,
2016-05-15,22.1,27.3,15.9,0.0,10.8,,,,1.6,,,,,
2016-05-16,22.4,27.6,14.1,35.0,4.0,,,,1.7,,,,,
2016-05-17,17.4,24.2,11.9,4.0,10.6,,,,1.5,,,,,
2016-05-18,18.9,26.5,10.6,0.0,13.2,,,,1.3,,,,,
2016-05-19,20.8,27.7,14.8,0.0,11.4,,,,1.4,,,,,
2016-05-20,21.3,27.3,16.8,0.0,9.0,,,,1.4,,,,,
2016-05-21,21.8,28.5,16.0,0.0,12.8,,,,1.3,,,,,
2016-05-22,21.5,26.9,15.8,0.0,12.7,,,,1.6,,,,,
2016-05-23,22.9,30.5,16.5,0.0,12.1,,,,1.0,,,,,
2016-05-24,23.2,28.6,16.3,0.0,8.0,,,,1.4,,,,,
2016-05-25,22.8,27.0,19.3,0.0,0.1,,,,0.8,,,,,
2016-05-26,23.8,29.1,21.2,11.5,1.2,,,,1.2,,,,,
