calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.7,11.5,0.8,0.0,,,,,1.5,,,,,
2016-01-02,6.8,13.0,0.0,0.0,,,,,1.5,,,,,
2016-01-03,9.5,15.9,4.3,0.0,,,,,1.3,,,,,
2016-01-04,10.0,16.2,3.7,0.0,,,,,2.0,,,,,
2016-01-05,8.4,12.0,4.5,0.0,,,,,2.1,,,,,
2016-01-06,8.8,13.4,5.3,0.0,,,,,1.8,,,,,
2016-01-07,7.4,11.7,3.8,0.0,,,,,2.6,,,,,
2016-01-08,6.6,11.3,0.6,0.0,,,,,1.9,,,,,
2016-01-09,6.2,11.1,0.8,0.0,,,,,2.8,,,,,
2016-01-10,5.8,11.8,0.5,0.0,,,,,2.3,,,,,
2016-01-11,6.8,11.9,1.7,0.0,,,,,2.3,,,,,
2016-01-12,6.3,10.4,1.3,0.0,,,,,3.2,,,,,
2016-01-13,4.6,9.7,0.4,0.5,,,,,2.3,,,,,
2016-01-14,4.3,9.4,-1.0,0.0,,,,,2.9,,,,,
2016-01-15,4.9,10.5,-0.3,0.0,,,,,2.7,,,,,
2016-01-16,4.3,11.3,-0.8,0.0,,,,,2.5,,,,,
2016-01-17,5.4,9.5,-0.4,1.0,,,,,3.5,,,,,
2016-01-18,8.6,11.4,3.8,5.0,,,,,5.4,,,,,
2016-01-19,2.3,6.3,-0.1,0.0,,,,,4.8,,,,,
2016-01-20,3.4,7.9,-0.4,0.0,,,,,4.1,,,,,
2016-01-21,4.0,8.7,-1.6,0.0,,,,,2.6,,,,,
2016-01-22,4.4,9.4,1.0,0.0,,,,,3.5,,,,,
2016-01-23,3.7,7.0,0.5,0.0,,,,,2.4,,,,,
2016-01-24,-0.7,2.2,-4.3,0.0,,,,,3.8,,,,,
2016-01-25,0.6,6.5,-5.0,0.0,,,,,3.5,,,,,
2016-01-26,3.1,9.0,-4.4,0.0,,,,,1.9,,,,,
2016-01-27,6.1,11.1,1.2,0.0,,,,,2.1,,,,,
2016-01-28,6.7,11.5,-0.3,0.0,,,,,1.4,,,,,
2016-01-29,8.1,9.0,7.1,49.5,,,,,2.5,,,,,
2016-01-30,7.7,9.9,4.8,4.5,,,,,3.9,,,,,
2016-01-31,7.2,11.5,2.6,0.0,,,,,2.0,,,,,
2016-02-01,6.5,9.7,3.2,0.0,,,,,2.9,,,,,
2016-02-02,5.5,10.6,2.5,0.0,,,,,3.9,,,,,
2016-02-03,4.2,9.7,-1.0,0.0,,,,,2.7,,,,,
2016-02-04,4.7,10.6,-2.2,0.0,,,,,2.1,,,,,
2016-02-05,5.7,10.9,-0.3,0.0,,,,,1.9,,,,,
