calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.7,12.2,3.6,,9.6,,,,4.8,4.9,1020.5,48,1026.4,
2016-01-02,8.5,14.8,2.0,,9.1,,,,3.4,6.2,1018.5,57,1024.4,
2016-01-03,10.9,16.4,5.6,,4.7,,,,3.6,8.1,1012.4,63,1018.2,
2016-01-04,12.1,17.0,6.5,,9.2,,,,4.6,8.1,1010.1,59,1015.8,
2016-01-05,11.8,15.5,7.8,,6.6,,,,4.7,6.5,1012.3,47,1018.1,
2016-01-06,10.5,13.8,7.9,,0.6,,,,4.0,6.9,1011.1,55,1016.9,
2016-01-07,9.4,13.2,5.8,,9.2,,,,5.2,6.5,1008.3,56,1014.1,
2016-01-08,7.4,11.7,3.1,,5.5,,,,3.9,5.7,1009.8,57,1015.6,
2016-01-09,7.6,12.3,3.8,,9.5,,,,4.3,5.6,1012.8,54,1018.7,
2016-01-10,7.7,11.5,3.7,,9.6,,,,5.0,5.5,1013.7,53,1019.6,
2016-01-11,7.8,12.3,3.7,,7.0,,,,3.5,6.2,1012.2,60,1018.1,
2016-01-12,7.8,10.5,5.4,,0.5,,,,2.8,5.5,1007.6,51,1013.5,
2016-01-13,6.5,11.0,2.7,,8.2,,,,3.5,4.5,1008.3,47,1014.2,
2016-01-14,6.2,9.6,2.3,,8.7,,,,4.2,4.5,1009.5,48,1015.4,
2016-01-15,6.1,10.6,3.1,,8.6,,,,4.9,4.8,1011.1,52,1017.0,
2016-01-16,6.5,11.5,0.7,,9.9,,,,4.1,4.6,1013.1,50,1019.0,
2016-01-17,7.2,12.0,0.9,0.5,5.6,,,,2.7,5.7,1013.5,58,1019.3,
2016-01-18,9.3,12.2,6.4,11.0,1.8,,,,6.5,9.2,992.0,78,997.7,
2016-01-19,3.4,6.5,0.4,0.0,5.5,,,,7.3,3.8,1001.1,49,1007.0,
2016-01-20,2.9,7.3,-0.3,0.0,4.9,,,,6.3,5.2,1007.5,68,1013.4,
2016-01-21,5.0,9.3,1.5,,6.7,,,,5.2,4.2,1012.9,50,1018.9,
2016-01-22,5.9,11.8,2.8,,8.1,,,,4.3,3.6,1013.6,40,1019.5,
2016-01-23,4.7,9.1,2.9,0.0,0.0,,,,2.7,5.5,1011.3,64,1017.2,
2016-01-24,1.0,3.3,-2.4,,9.4,,,,7.1,2.6,1004.5,38,1010.4,
2016-01-25,0.9,6.1,-3.7,,9.9,,,,4.9,3.5,1013.9,53,1020.0,
2016-01-26,4.0,8.8,-0.2,,9.9,,,,3.6,4.2,1018.5,54,1024.5,
2016-01-27,6.7,11.2,1.4,,9.4,,,,4.7,5.1,1020.2,52,1026.1,
2016-01-28,9.0,13.2,4.7,,9.3,,,,4.5,5.9,1020.9,52,1026.8,
2016-01-29,8.3,9.6,6.6,44.5,0.0,,,,2.5,9.9,1014.1,90,1020.0,
2016-01-30,7.7,9.0,6.0,8.0,0.0,,,,1.7,10.2,1011.2,97,1017.0,
2016-01-31,7.5,12.6,3.5,,9.7,,,,3.0,6.3,1014.9,62,1020.8,
2016-02-01,6.8,8.9,4.8,,0.0,,,,2.9,6.9,1013.0,70,1018.9,
2016-02-02,6.9,12.5,3.1,,8.7,,,,3.0,4.7,1011.4,49,1017.3,
2016-02-03,5.7,11.4,2.0,,6.5,,,,3.8,3.8,1014.7,42,1020.6,
2016-02-04,6.1,11.2,0.8,,9.7,,,,4.1,4.3,1014.7,46,1020.7,
2016-02-05,8.5,13.8,4.7,,9.5,,,,4.3,5.4,1010.5,50,1016.4,
