calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.1,12.1,0.3,0.0,9.3,,,,1.0,,,,,
2016-01-02,6.8,13.7,0.5,0.0,9.2,,,,1.3,,,,,
2016-01-03,8.8,15.5,4.0,0.0,4.3,,,,0.8,,,,,
2016-01-04,10.6,15.9,4.6,0.0,9.4,,,,1.4,,,,,
2016-01-05,10.5,15.8,6.6,0.0,8.0,,,,1.5,,,,,
2016-01-06,8.7,11.9,6.3,0.0,0.3,,,,0.8,,,,,
2016-01-07,7.7,12.1,2.5,0.0,9.2,,,,1.6,,,,,
2016-01-08,5.6,10.9,1.3,0.0,8.9,,,,1.3,,,,,
2016-01-09,5.8,12.1,2.0,0.0,9.2,,,,1.4,,,,,
2016-01-10,6.1,11.1,2.2,0.0,9.3,,,,1.6,,,,,
2016-01-11,6.2,11.7,2.5,0.0,7.0,,,,1.1,,,,,
2016-01-12,5.5,8.8,1.1,0.0,0.4,,,,1.2,,,,,
2016-01-13,4.2,10.4,-1.6,0.0,9.4,,,,1.2,,,,,
2016-01-14,4.3,9.3,0.5,0.0,9.3,,,,1.5,,,,,
2016-01-15,4.3,11.0,0.3,0.0,8.5,,,,1.1,,,,,
2016-01-16,4.1,12.0,-1.6,0.0,9.5,,,,0.9,,,,,
2016-01-17,5.7,11.0,-1.6,2.5,6.2,,,,2.7,,,,,
2016-01-18,6.9,10.4,4.5,10.5,2.5,,,,4.3,,,,,
2016-01-19,1.7,5.7,-1.3,0.0,8.0,,,,2.1,,,,,
2016-01-20,1.5,7.6,-2.5,0.0,9.3,,,,1.5,,,,,
2016-01-21,3.2,9.6,-1.5,0.0,7.6,,,,1.1,,,,,
2016-01-22,4.3,11.2,-0.9,0.0,8.5,,,,1.4,,,,,
2016-01-23,4.1,8.1,1.3,0.5,0.4,,,,1.7,,,,,
2016-01-24,-0.5,1.7,-3.9,0.0,9.0,,,,2.9,,,,,
2016-01-25,-0.2,6.6,-5.8,0.0,9.7,,,,1.6,,,,,
2016-01-26,2.2,8.7,-4.1,0.0,9.7,,,,1.2,,,,,
2016-01-27,5.2,10.9,0.4,0.0,9.7,,,,1.4,,,,,
2016-01-28,6.9,13.0,0.4,0.0,9.7,,,,1.1,,,,,
2016-01-29,6.3,8.4,5.1,55.5,0.0,,,,4.2,,,,,
2016-01-30,5.3,6.1,4.6,7.0,0.0,,,,3.7,,,,,
2016-01-31,5.8,10.8,2.6,0.0,3.2,,,,1.2,,,,,
2016-02-01,4.8,7.4,2.3,0.5,0.0,,,,1.0,,,,,
2016-02-02,5.2,10.7,0.7,0.0,7.3,,,,1.8,,,,,
2016-02-03,3.5,10.2,-0.9,0.0,5.5,,,,1.4,,,,,
2016-02-04,4.1,10.7,-1.8,0.0,9.6,,,,1.3,,,,,
2016-02-05,6.4,13.8,2.0,0.0,9.4,,,,1.1,,,,,
