calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-18.8,-14.2,-24.2,,,,,,,0.5,634.2,39,,
2016-01-02,-14.0,-12.7,-15.3,,,,,,,0.9,635.3,45,,
2016-01-03,-11.4,-9.4,-14.7,,,,,,,1.4,635.6,56,,
2016-01-04,-11.6,-10.1,-12.7,,,,,,,0.9,633.9,35,,
2016-01-05,-12.6,-10.9,-13.8,,,,,,,1.3,633.7,57,,
2016-01-06,-12.1,-10.0,-14.6,,,,,,,1.0,633.5,42,,
2016-01-07,-15.0,-12.1,-18.4,,,,,,,0.8,627.5,46,,
2016-01-08,-15.8,-13.5,-18.0,,,,,,,0.6,628.0,34,,
2016-01-09,-17.7,-15.2,-19.8,,,,,,,0.4,629.0,24,,
2016-01-10,-16.3,-15.2,-17.8,,,,,,,0.7,630.0,38,,
2016-01-11,-16.2,-14.3,-17.7,,,,,,,0.9,629.3,52,,
2016-01-12,-17.1,-14.5,-21.5,,,,,,,0.9,626.2,55,,
2016-01-13,-20.2,-18.4,-21.5,,,,,,,0.3,624.2,24,,
2016-01-14,-20.5,-19.1,-21.6,,,,,,,0.5,624.3,42,,
2016-01-15,-19.2,-17.5,-21.0,,,,,,,0.6,626.6,40,,
2016-01-16,-18.6,-15.5,-21.2,,,,,,,0.4,628.7,32,,
2016-01-17,-15.5,-12.4,-19.4,,,,,,,0.8,631.7,42,,
2016-01-18,-11.2,-4.6,-20.1,,,,,,,2.5,620.2,90,,
2016-01-19,-26.6,-20.3,-30.8,,,,,,,0.6,611.0,78,,
2016-01-20,-25.5,-22.3,-31.0,,,,,,,0.6,616.6,79,,
2016-01-21,-20.0,-17.9,-23.3,,,,,,,1.0,626.1,81,,
2016-01-22,-20.5,-18.4,-22.9,,,,,,,0.7,626.9,63,,
2016-01-23,-18.4,-16.5,-20.2,,,,,,,1.1,626.7,74,,
2016-01-24,-27.2,-20.1,-31.6,,,,,,,0.4,612.3,60,,
2016-01-25,-25.6,-20.4,-32.3,,,,,,,0.4,621.4,52,,
2016-01-26,-19.9,-17.3,-21.4,,,,,,,0.3,630.1,25,,
2016-01-27,-14.9,-13.1,-19.8,,,,,,,0.2,634.5,12,,
2016-01-28,-11.6,-7.8,-15.5,,,,,,,1.8,638.6,68,,
2016-01-29,-6.3,-3.6,-7.9,,,,,,,3.6,638.0,94,,
2016-01-30,-8.3,-3.9,-12.4,,,,,,,3.1,634.2,93,,
2016-01-31,-16.4,-12.5,-18.5,,,,,,,1.5,631.6,86,,
2016-02-01,-15.8,-12.9,-20.1,,,,,,,1.6,629.2,86,,
2016-02-02,-21.0,-20.0,-22.8,,,,,,,0.9,626.5,77,,
2016-02-03,-20.9,-18.6,-22.8,,,,,,,0.5,628.3,43,,
2016-02-04,-19.4,-16.0,-22.2,,,,,,,0.6,628.4,42,,
2016-02-05,-17.6,-15.4,-19.8,,,,,,,1.0,628.5,66,,
2016-02-06,-19.7,-18.1,-22.6,,,,,,,0.9,624.6,67,,
2016-02-07,-23.1,-20.6,-25.2,,,,,,,0.7,623.5,68,,
2016-02-08,-23.2,-21.4,-25.5,,,,,,,0.6,624.7,63,,
2016-02-09,-22.8,-19.2,-26.2,,,,,,,0.8,620.2,78,,
2016-02-10,-20.8,-17.1,-26.8,,,,,,,0.5,625.8,46,,
2016-02-11,-13.7,-9.5,-17.2,,,,,,,0.9,638.7,43,,
2016-02-12,-10.4,-8.2,-13.2,,,,,,,1.9,643.5,68,,
2016-02-13,-7.0,-3.8,-13.6,,,,,,,3.5,640.5,93,,
