calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.5,13.3,1.5,0.0,8.6,,,,2.0,,,,,
2016-01-02,8.7,17.5,4.0,0.0,8.4,,,,2.4,,,,,
2016-01-03,9.9,15.0,5.7,0.0,4.6,,,,2.7,,,,,
2016-01-04,10.8,17.4,6.0,0.0,8.6,,,,2.5,,,,,
2016-01-05,11.4,16.0,7.0,0.0,8.1,,,,2.1,,,,,
2016-01-06,11.5,14.5,9.0,0.0,0.6,,,,2.1,,,,,
2016-01-07,10.7,16.4,6.5,0.0,8.4,,,,2.0,,,,,
2016-01-08,8.3,14.8,2.3,0.0,8.7,,,,1.9,,,,,
2016-01-09,7.1,12.9,3.0,0.0,8.6,,,,2.2,,,,,
2016-01-10,7.1,13.0,1.3,0.0,8.4,,,,1.9,,,,,
2016-01-11,7.9,13.1,4.5,0.0,4.8,,,,2.2,,,,,
2016-01-12,7.4,9.3,3.6,0.0,0.0,,,,2.9,,,,,
2016-01-13,6.4,13.4,2.1,0.0,8.5,,,,2.1,,,,,
2016-01-14,7.4,13.3,1.0,0.0,8.6,,,,1.9,,,,,
2016-01-15,6.0,11.1,1.3,0.0,8.4,,,,2.1,,,,,
2016-01-16,6.5,12.1,2.2,0.0,8.5,,,,2.4,,,,,
2016-01-17,7.8,12.2,3.2,2.5,3.8,,,,2.7,,,,,
2016-01-18,7.3,10.6,4.8,32.5,0.0,,,,3.5,,,,,
2016-01-19,4.8,8.8,1.6,0.0,8.3,,,,2.3,,,,,
2016-01-20,5.1,12.3,0.1,0.0,8.7,,,,1.9,,,,,
2016-01-21,5.8,10.9,0.9,0.0,7.2,,,,2.2,,,,,
2016-01-22,7.2,11.6,4.2,0.0,8.0,,,,2.4,,,,,
2016-01-23,5.7,8.7,3.1,0.5,0.0,,,,1.8,,,,,
2016-01-24,2.2,6.0,-2.5,0.0,8.8,,,,1.9,,,,,
2016-01-25,1.7,7.3,-3.8,0.0,9.0,,,,1.9,,,,,
2016-01-26,4.1,10.7,-0.2,0.0,8.4,,,,2.3,,,,,
2016-01-27,5.3,11.6,-0.2,0.0,9.1,,,,2.2,,,,,
2016-01-28,7.5,12.8,2.2,0.0,9.1,,,,2.4,,,,,
2016-01-29,7.5,8.9,6.2,76.0,0.0,,,,2.9,,,,,
2016-01-30,7.2,8.1,6.5,14.0,0.0,,,,3.4,,,,,
2016-01-31,7.9,11.5,5.1,0.0,1.9,,,,1.8,,,,,
2016-02-01,6.5,9.0,4.0,0.0,0.0,,,,2.4,,,,,
2016-02-02,7.4,11.1,4.0,0.0,6.9,,,,2.2,,,,,
2016-02-03,6.6,11.4,3.4,0.0,6.2,,,,2.4,,,,,
