calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.4,11.5,1.2,0.0,,,,,5.3,,,,,
2016-01-02,8.1,14.5,2.8,0.0,,,,,8.1,,,,,
2016-01-03,10.4,15.7,6.2,0.0,,,,,7.7,,,,,
2016-01-04,11.8,16.8,7.0,0.0,,,,,6.9,,,,,
2016-01-05,11.5,16.8,7.7,0.0,,,,,7.1,,,,,
2016-01-06,9.7,13.0,7.9,0.0,,,,,6.0,,,,,
2016-01-07,8.8,13.1,4.4,0.0,,,,,8.4,,,,,
2016-01-08,6.9,12.2,3.5,0.0,,,,,8.1,,,,,
2016-01-09,6.9,12.2,3.3,0.0,,,,,7.0,,,,,
2016-01-10,7.1,12.2,3.7,0.0,,,,,9.1,,,,,
2016-01-11,7.2,12.4,4.0,0.0,,,,,7.5,,,,,
2016-01-12,6.2,8.9,2.2,0.0,,,,,2.5,,,,,
2016-01-13,5.7,11.2,0.4,0.0,,,,,5.5,,,,,
2016-01-14,5.5,10.3,1.7,0.0,,,,,7.2,,,,,
2016-01-15,5.5,11.3,2.0,0.0,,,,,6.7,,,,,
2016-01-16,5.4,11.9,0.4,0.0,,,,,4.5,,,,,
2016-01-17,6.3,10.9,0.7,1.5,,,,,3.2,,,,,
2016-01-18,7.7,11.2,5.0,13.5,,,,,6.7,,,,,
2016-01-19,2.6,6.5,-0.4,0.0,,,,,9.5,,,,,
2016-01-20,2.4,8.2,-1.6,0.0,,,,,8.7,,,,,
2016-01-21,4.2,9.7,-0.4,0.0,,,,,6.1,,,,,
2016-01-22,5.5,11.5,0.6,0.0,,,,,3.9,,,,,
2016-01-23,4.6,8.3,2.4,0.5,,,,,3.2,,,,,
2016-01-24,0.3,2.6,-3.3,0.0,,,,,9.6,,,,,
2016-01-25,0.8,7.4,-4.5,0.0,,,,,8.3,,,,,
2016-01-26,3.4,9.1,-2.7,0.0,,,,,6.5,,,,,
2016-01-27,6.3,11.5,2.3,0.0,,,,,8.9,,,,,
2016-01-28,7.3,13.4,0.4,0.0,,,,,5.9,,,,,
2016-01-29,6.6,8.3,5.5,60.0,,,,,2.3,,,,,
2016-01-30,5.8,6.6,5.1,7.0,,,,,1.8,,,,,
2016-01-31,6.8,10.7,4.4,0.0,,,,,3.0,,,,,
2016-02-01,5.8,8.0,4.0,0.0,,,,,3.2,,,,,
2016-02-02,5.7,10.9,1.1,0.0,,,,,3.2,,,,,
2016-02-03,4.5,10.0,0.4,0.0,,,,,3.0,,,,,
2016-02-04,5.3,11.1,0.3,0.0,,,,,5.2,,,,,
2016-02-05,7.2,13.2,3.1,0.0,,,,,4.9,,,,,
2016-02-06,6.5,11.9,2.7,0.5,,,,,6.0,,,,,
2016-02-07,5.3,11.6,0.8,0.5,,,,,3.7,,,,,
2016-02-08,5.1,11.1,-0.4,0.0,,,,,3.6,,,,,
2016-02-09,5.1,10.5,1.4,0.0,,,,,7.9,,,,,
2016-02-10,,,,,,,,,,,,,,
2016-02-11,6.3,11.1,1.1,0.0,,,,,2.9,,,,,
2016-02-12,7.4,10.4,3.8,0.0,,,,,1.9,,,,,
2016-02-13,13.0,17.0,8.8,26.0,,,,,2.9,,,,,
2016-02-14,15.9,17.9,12.3,84.0,,,,,8.9,,,,,
2016-02-15,8.8,12.4,2.3,0.5,,,,,9.2,,,,,
2016-02-16,3.4,8.5,-0.5,0.0,,,,,7.1,,,,,
2016-02-17,4.6,9.9,0.7,0.0,,,,,7.6,,,,,
2016-02-18,5.4,10.7,0.7,0.0,,,,,3.6,,,,,
2016-02-19,9.4,15.5,2.7,0.0,,,,,5.9,,,,,
2016-02-20,9.2,13.9,6.1,32.0,,,,,2.8,,,,,
2016-02-21,9.1,12.8,3.6,0.0,,,,,10.3,,,,,
2016-02-22,7.5,10.5,3.5,0.0,,,,,1.9,,,,,
2016-02-23,9.3,14.5,6.2,0.0,,,,,5.5,,,,,
2016-02-24,6.8,10.6,1.6,0.0,,,,,5.6,,,,,
2016-02-25,4.6,11.1,-0.9,0.0,,,,,5.9,,,,,
2016-02-26,4.8,10.9,0.0,0.0,,,,,8.1,,,,,
2016-02-27,6.5,12.4,-0.4,0.0,,,,,4.9,,,,,
2016-02-28,9.6,15.6,5.3,0.0,,,,,3.4,,,,,
2016-02-29,8.0,12.9,1.6,9.5,,,,,4.8,,,,,
2016-03-01,3.6,8.5,0.4,0.0,,,,,8.0,,,,,
2016-03-02,5.2,12.0,-0.2,0.0,,,,,8.7,,,,,
2016-03-03,9.5,17.2,2.6,0.0,,,,,9.1,,,,,
2016-03-04,10.6,16.1,5.7,0.0,,,,,3.4,,,,,
2016-03-05,11.8,17.4,7.3,0.0,,,,,2.6,,,,,
2016-03-06,13.5,17.1,8.6,12.5,,,,,1.8,,,,,
2016-03-07,13.7,14.8,12.2,14.5,,,,,2.0,,,,,
2016-03-08,15.9,22.8,10.6,0.0,,,,,4.6,,,,,
2016-03-09,11.4,14.9,8.5,47.0,,,,,3.2,,,,,
2016-03-10,8.2,9.6,6.7,0.0,,,,,1.6,,,,,
2016-03-11,6.2,9.3,3.7,0.5,,,,,2.2,,,,,
2016-03-12,6.9,12.0,3.1,0.0,,,,,2.9,,,,,
2016-03-13,8.0,14.2,2.5,0.0,,,,,2.4,,,,,
2016-03-14,6.6,7.6,5.6,34.5,,,,,2.2,,,,,
2016-03-15,8.6,13.1,4.6,0.0,,,,,2.8,,,,,
2016-03-16,9.5,13.5,4.5,0.0,,,,,2.7,,,,,
2016-03-17,11.2,17.3,4.9,0.0,,,,,3.1,,,,,
2016-03-18,13.0,18.8,7.3,9.5,,,,,2.7,,,,,
2016-03-19,14.7,21.3,12.0,80.5,,,,,2.8,,,,,
2016-03-20,13.2,16.6,9.8,0.0,,,,,3.0,,,,,
2016-03-21,10.3,14.1,7.6,0.0,,,,,2.9,,,,,
2016-03-22,10.1,15.7,5.4,0.0,,,,,3.9,,,,,
2016-03-23,12.4,18.4,7.8,0.0,,,,,5.9,,,,,
2016-03-24,9.2,12.6,6.8,0.0,,,,,2.7,,,,,
2016-03-25,7.6,12.3,1.7,0.0,,,,,2.9,,,,,
2016-03-26,8.5,13.1,4.2,0.0,,,,,2.7,,,,,
2016-03-27,10.6,16.5,5.0,0.0,,,,,2.9,,,,,
2016-03-28,9.9,14.7,6.7,0.5,,,,,2.6,,,,,
2016-03-29,11.3,16.8,6.4,0.0,,,,,3.4,,,,,
2016-03-30,13.8,18.9,8.0,0.0,,,,,5.3,,,,,
2016-03-31,13.7,18.1,9.6,0.0,,,,,4.0,,,,,
2016-04-01,11.8,13.5,10.2,4.5,,,,,2.8,,,,,
2016-04-02,13.3,16.9,9.8,0.0,,,,,3.8,,,,,
2016-04-03,14.6,18.6,11.6,6.0,,,,,1.9,,,,,
2016-04-04,16.1,19.0,13.0,44.0,,,,,4.2,,,,,
2016-04-05,13.6,16.2,10.3,0.0,,,,,3.0,,,,,
2016-04-06,13.6,18.5,8.9,0.0,,,,,2.3,,,,,
2016-04-07,14.0,19.4,9.5,48.5,,,,,4.7,,,,,
2016-04-08,15.7,19.7,11.9,0.0,,,,,4.8,,,,,
