calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.8,12.9,1.8,,9.5,12.38,,,1.2,5.4,1023.2,56,1025.2,0.0
2016-01-02,8.5,17.1,1.0,,9.1,11.53,,,2.1,5.5,1020.1,53,1022.0,5.0
2016-01-03,9.2,16.2,3.3,,5.1,9.24,,,1.4,7.3,1014.7,64,1016.6,8.0
2016-01-04,10.0,17.6,3.5,,9.5,12.14,,,1.4,7.3,1011.5,61,1013.5,0.0
2016-01-05,10.6,16.4,3.8,,8.2,10.98,,,1.3,7.8,1013.9,62,1015.9,5.3
2016-01-06,11.0,14.0,8.6,,0.8,5.53,,,1.5,8.6,1013.8,66,1015.8,10.0
2016-01-07,10.6,16.7,6.0,,9.2,12.19,,,2.6,6.0,1009.5,50,1011.4,0.0
2016-01-08,8.2,14.2,2.2,,9.2,11.72,,,2.7,4.4,1011.3,43,1013.2,3.0
2016-01-09,7.7,12.7,2.4,,9.5,12.54,,,1.5,5.4,1015.0,52,1017.0,0.3
2016-01-10,7.3,13.9,1.0,,9.6,12.71,,,1.5,5.3,1014.8,55,1016.7,2.0
2016-01-11,7.3,12.7,2.7,,6.0,9.96,,,1.5,5.9,1014.4,58,1016.4,9.3
2016-01-12,7.1,9.6,3.0,0.0,0.4,4.60,,,2.8,6.9,1011.3,68,1013.2,8.7
2016-01-13,6.8,13.2,0.6,,9.4,12.87,,,2.3,4.5,1011.1,51,1013.0,2.7
2016-01-14,7.8,13.7,1.2,,9.3,13.06,,,2.9,4.0,1010.7,39,1012.7,4.7
2016-01-15,6.5,11.3,1.0,,8.5,12.72,,,1.6,4.7,1013.6,49,1015.6,4.3
2016-01-16,6.6,11.9,1.5,,9.5,12.82,,,1.4,5.8,1016.1,60,1018.1,1.0
2016-01-17,7.6,11.9,2.9,4.0,4.2,9.45,,,2.5,6.5,1018.0,63,1020.0,9.7
2016-01-18,8.5,11.5,6.0,32.5,3.0,4.22,,,3.2,8.5,995.9,77,997.8,6.0
2016-01-19,4.7,8.6,1.7,0.0,8.2,12.85,,0,4.9,2.9,1002.8,34,1004.8,2.3
2016-01-20,5.4,11.8,0.3,,9.7,14.01,,,3.4,3.0,1008.5,36,1010.4,2.3
2016-01-21,5.2,10.6,-0.6,,7.7,12.00,,,1.2,4.3,1015.4,50,1017.3,7.7
2016-01-22,6.9,11.4,2.1,,8.9,13.57,,,1.6,5.4,1016.7,56,1018.6,5.7
2016-01-23,5.5,8.6,2.8,0.5,0.0,5.00,,,1.7,6.0,1014.7,67,1016.7,10.0
2016-01-24,2.2,5.2,-1.1,,9.5,14.70,,,4.8,2.6,1005.6,36,1007.6,0.7
2016-01-25,2.2,7.7,-3.2,,9.7,14.78,,,1.9,2.3,1015.2,32,1017.2,0.0
2016-01-26,3.9,10.8,-2.0,,9.7,14.68,,,1.7,3.3,1021.0,42,1022.9,0.0
2016-01-27,5.3,12.7,-1.4,,9.5,14.31,,,1.4,4.9,1022.3,55,1024.3,1.3
2016-01-28,7.0,13.2,0.5,0.0,9.6,13.90,,,1.4,5.8,1023.8,59,1025.7,3.3
2016-01-29,7.4,8.1,6.4,70.0,0.0,1.34,,,2.6,8.8,1019.5,85,1021.5,10.0
2016-01-30,7.1,8.1,6.3,8.0,0.0,3.27,,,3.2,8.4,1015.8,83,1017.8,10.0
2016-01-31,8.3,12.5,5.5,,4.4,11.02,,,1.8,7.5,1018.1,69,1020.1,6.7
2016-02-01,6.5,10.1,3.0,0.0,0.1,5.02,,,1.8,7.2,1016.5,74,1018.5,10.0
2016-02-02,7.2,12.0,3.9,0.0,6.6,12.33,,,2.1,5.9,1015.0,59,1017.0,6.0
2016-02-03,6.1,11.7,1.9,0.0,6.6,12.43,,,1.9,6.0,1018.1,65,1020.0,4.3
2016-02-04,6.1,12.5,1.1,,9.6,15.23,,,1.8,5.2,1017.5,58,1019.4,3.0
2016-02-05,6.9,13.0,1.0,,9.5,14.61,,,1.5,5.7,1013.7,59,1015.6,7.3
2016-02-06,7.4,12.3,2.0,,4.8,10.33,,,1.9,6.5,1009.4,65,1011.3,9.7
2016-02-07,6.9,10.8,2.3,,9.1,15.59,,,2.3,5.3,1012.5,55,1014.5,2.0
2016-02-08,5.9,11.4,1.3,,8.9,15.54,,,1.9,4.8,1015.3,53,1017.2,1.3
2016-02-09,7.5,12.3,2.0,0.0,8.9,13.58,,,3.7,4.5,1009.6,44,1011.6,0.3
2016-02-10,5.8,11.0,-0.3,,10.2,16.83,,,1.6,3.5,1017.4,40,1019.4,0.0
2016-02-11,6.9,12.5,1.0,,10.2,16.27,,,1.3,5.2,1027.2,52,1029.2,3.0
2016-02-12,7.9,10.3,3.3,0.0,0.0,3.15,,,1.5,8.6,1029.1,79,1031.1,10.0
2016-02-13,12.6,17.7,6.4,29.0,3.7,7.40,,,1.2,12.9,1018.4,87,1020.3,7.7
2016-02-14,18.3,22.6,15.6,80.0,2.6,7.32,,,4.2,15.9,999.7,76,1001.5,9.0
2016-02-15,12.1,16.6,5.4,0.0,8.5,15.44,,,3.9,5.6,999.3,41,1001.2,3.3
2016-02-16,6.5,11.6,1.2,,10.4,18.25,,,3.3,3.3,1010.0,36,1012.0,0.0
2016-02-17,7.5,12.4,3.4,,10.3,17.93,,,3.9,3.6,1013.6,35,1015.5,0.0
2016-02-18,6.9,12.5,2.6,,8.2,16.37,,,1.8,5.6,1022.8,56,1024.8,3.0
2016-02-19,10.7,18.4,3.2,0.0,10.2,17.67,,,2.3,4.6,1023.6,41,1025.6,5.7
2016-02-20,9.4,12.0,7.1,41.0,0.0,1.67,,,1.7,8.8,1016.6,73,1018.5,10.0
2016-02-21,13.3,18.5,8.8,,10.3,18.87,,,3.2,6.7,1011.0,47,1012.9,0.0
2016-02-22,9.1,12.3,5.2,,1.0,6.97,,,1.4,6.7,1025.7,59,1027.7,10.0
2016-02-23,10.7,17.6,6.2,,6.7,15.74,,,2.3,6.8,1018.3,55,1020.3,5.7
2016-02-24,8.8,13.1,5.5,0.0,1.9,9.68,,,2.5,6.5,1018.4,58,1020.3,10.0
2016-02-25,6.3,10.2,2.2,0.0,10.4,19.71,,,2.4,5.2,1023.0,56,1025.0,0.0
2016-02-26,6.0,12.3,0.1,,10.0,18.77,,,2.4,4.0,1022.4,45,1024.3,2.3
2016-02-27,7.8,13.8,0.9,,9.9,17.94,,,2.2,4.8,1023.4,46,1025.4,2.3
2016-02-28,10.0,14.6,4.0,,10.4,18.00,,,1.7,6.5,1022.3,54,1024.3,4.3
2016-02-29,10.1,15.3,5.6,7.5,1.2,5.73,,,2.6,7.3,1008.3,58,1010.2,6.0
2016-03-01,6.3,10.5,3.5,,10.8,20.32,,,2.6,2.9,1013.5,31,1015.5,0.0
2016-03-02,6.7,12.4,0.7,,10.8,20.30,,,2.0,4.3,1018.9,45,1020.8,0.0
2016-03-03,10.7,20.1,1.3,,10.9,20.28,,,2.2,4.8,1019.6,42,1021.5,0.0
2016-03-04,11.5,16.5,5.6,,10.6,19.69,,,1.9,7.2,1027.2,53,1029.2,4.7
2016-03-05,13.2,18.8,8.7,,6.5,16.94,,,1.6,9.4,1028.8,63,1030.7,6.7
2016-03-06,14.0,18.2,8.8,11.0,3.4,9.13,,,1.4,12.1,1023.9,75,1025.9,10.0
2016-03-07,14.3,15.5,12.3,86.0,0.0,1.78,,,1.8,15.0,1015.5,92,1017.4,10.0
