calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.9,12.7,4.8,0.0,9.4,,,,2.7,,,,,
2016-01-02,7.8,13.3,4.2,0.0,7.8,,,,2.1,,,,,
2016-01-03,9.4,15.8,2.8,0.0,8.3,,,,1.5,,,,,
2016-01-04,9.7,15.5,3.9,0.0,9.3,,,,1.6,,,,,
2016-01-05,11.0,15.5,4.7,0.0,8.5,,,,1.7,,,,,
2016-01-06,8.8,11.1,7.0,0.0,0.1,,,,2.3,,,,,
2016-01-07,9.0,13.3,4.3,0.0,5.9,,,,2.5,,,,,
2016-01-08,7.0,11.0,2.2,0.0,7.6,,,,2.1,,,,,
2016-01-09,7.9,11.8,3.6,0.0,9.3,,,,2.8,,,,,
2016-01-10,8.7,12.9,3.7,0.0,9.4,,,,2.5,,,,,
2016-01-11,7.2,10.0,3.6,0.0,2.0,,,,2.3,,,,,
2016-01-12,3.6,6.7,1.7,0.0,0.0,,,,2.9,,,,,
2016-01-13,4.8,10.5,-1.8,0.0,8.8,,,,1.7,,,,,
2016-01-14,6.9,11.9,-0.6,0.0,9.5,,,,2.1,,,,,
2016-01-15,5.8,10.6,2.6,0.0,8.0,,,,3.4,,,,,
2016-01-16,6.4,12.2,2.8,0.0,9.4,,,,2.5,,,,,
2016-01-17,5.9,8.5,2.2,2.0,2.4,,,,2.8,,,,,
2016-01-18,3.8,8.6,0.5,52.5,0.4,,,,5.1,,,,,
2016-01-19,6.4,9.5,2.5,0.0,9.5,,,,8.6,,,,,
2016-01-20,4.7,8.8,1.4,0.0,9.5,,,,6.2,,,,,
2016-01-21,5.9,9.2,2.1,0.0,6.4,,,,3.1,,,,,
2016-01-22,6.0,10.2,3.2,0.0,9.1,,,,3.7,,,,,
2016-01-23,3.7,5.9,2.5,0.0,0.0,,,,3.0,,,,,
2016-01-24,3.7,9.5,-0.3,0.0,8.1,,,,4.0,,,,,
2016-01-25,3.8,9.3,-0.7,0.0,9.9,,,,3.1,,,,,
2016-01-26,4.5,9.6,-0.8,0.0,8.2,,,,2.6,,,,,
2016-01-27,7.0,12.1,-0.7,0.0,9.8,,,,3.1,,,,,
2016-01-28,8.1,13.7,2.5,0.0,9.9,,,,1.6,,,,,
2016-01-29,5.5,8.2,2.3,9.0,0.0,,,,3.6,,,,,
2016-01-30,3.3,5.0,1.4,3.0,0.0,,,,3.4,,,,,
2016-01-31,6.4,9.8,0.6,0.0,4.3,,,,2.1,,,,,
2016-02-01,4.7,6.1,3.2,0.0,0.0,,,,2.7,,,,,
2016-02-02,5.9,10.4,2.9,0.0,8.6,,,,3.3,,,,,
2016-02-03,5.0,9.7,1.5,0.0,8.5,,,,3.4,,,,,
2016-02-04,5.7,9.6,2.0,0.0,6.7,,,,2.8,,,,,
2016-02-05,7.7,14.1,1.5,0.0,9.4,,,,2.4,,,,,
2016-02-06,6.8,9.2,4.5,0.0,2.5,,,,3.5,,,,,
2016-02-07,5.2,9.1,2.0,0.0,9.0,,,,4.0,,,,,
2016-02-08,4.6,10.3,1.5,0.0,5.7,,,,2.7,,,,,
2016-02-09,7.0,13.5,0.3,0.0,9.5,,,,4.4,,,,,
2016-02-10,6.3,10.0,3.1,0.0,10.4,,,,4.8,,,,,
2016-02-11,6.3,11.2,2.1,0.0,10.4,,,,3.6,,,,,
2016-02-12,7.1,10.8,2.1,0.0,2.3,,,,2.6,,,,,
2016-02-13,12.7,17.1,7.9,0.0,7.0,,,,5.1,,,,,
2016-02-14,15.9,18.2,14.4,24.0,4.6,,,,10.8,,,,,
2016-02-15,7.9,16.2,2.8,3.0,0.1,,,,3.0,,,,,
2016-02-16,5.9,10.1,2.0,0.0,9.7,,,,4.3,,,,,
2016-02-17,6.5,13.6,0.4,0.0,7.5,,,,3.3,,,,,
2016-02-18,6.4,10.9,0.4,0.0,6.8,,,,3.0,,,,,
2016-02-19,9.8,16.1,3.3,0.0,9.3,,,,2.2,,,,,
2016-02-20,8.4,11.3,6.9,34.0,0.6,,,,2.5,,,,,
2016-02-21,10.2,15.8,6.5,0.0,2.7,,,,3.9,,,,,
2016-02-22,6.7,9.4,5.2,0.5,0.5,,,,3.5,,,,,
2016-02-23,6.9,11.2,4.7,0.5,2.6,,,,2.1,,,,,
2016-02-24,6.2,7.7,2.7,0.0,0.2,,,,3.6,,,,,
2016-02-25,4.4,9.2,0.5,0.0,6.5,,,,2.8,,,,,
2016-02-26,6.7,11.2,1.6,0.0,10.8,,,,3.2,,,,,
2016-02-27,8.2,12.0,3.3,0.0,9.5,,,,6.0,,,,,
2016-02-28,9.0,14.4,2.8,0.0,9.8,,,,3.8,,,,,
2016-02-29,8.1,13.6,4.9,3.5,1.3,,,,3.9,,,,,
2016-03-01,5.2,9.3,2.4,0.0,11.0,,,,4.9,,,,,
2016-03-02,7.1,11.8,2.2,0.0,10.7,,,,2.9,,,,,
2016-03-03,9.3,15.4,2.5,0.0,10.9,,,,2.0,,,,,
2016-03-04,10.1,15.3,5.5,0.0,9.5,,,,3.1,,,,,
2016-03-05,10.7,16.0,7.9,0.0,3.3,,,,3.3,,,,,
2016-03-06,12.1,14.9,9.1,4.0,1.4,,,,3.5,,,,,
2016-03-07,14.4,15.3,13.1,56.0,0.0,,,,2.6,,,,,
2016-03-08,14.6,18.1,12.7,0.0,5.2,,,,2.0,,,,,
2016-03-09,8.7,15.7,3.8,20.5,0.0,,,,4.2,,,,,
2016-03-10,5.9,7.9,3.5,0.5,0.0,,,,3.6,,,,,
2016-03-11,4.7,6.1,3.1,0.0,0.0,,,,3.0,,,,,
2016-03-12,5.9,7.9,3.4,0.0,1.1,,,,3.3,,,,,
2016-03-13,6.9,9.1,4.8,0.0,0.0,,,,3.1,,,,,
2016-03-14,5.7,7.0,3.9,37.0,0.0,,,,4.0,,,,,
2016-03-15,8.5,13.4,3.9,1.0,11.5,,,,4.1,,,,,
2016-03-16,9.1,13.5,4.0,0.0,1.2,,,,2.1,,,,,
2016-03-17,12.4,19.5,6.6,0.0,11.4,,,,3.0,,,,,
2016-03-18,14.1,17.7,10.5,1.0,7.9,,,,5.7,,,,,
2016-03-19,14.7,16.6,13.3,14.0,1.1,,,,3.6,,,,,
2016-03-20,13.0,16.5,9.8,0.0,5.3,,,,4.1,,,,,
2016-03-21,9.4,12.7,7.4,0.0,5.8,,,,3.7,,,,,
2016-03-22,11.2,15.4,6.1,0.0,8.7,,,,4.0,,,,,
2016-03-23,11.7,18.0,6.9,0.0,6.3,,,,3.6,,,,,
2016-03-24,6.2,9.0,3.8,0.0,1.2,,,,3.5,,,,,
2016-03-25,7.9,13.1,2.5,0.0,9.3,,,,3.0,,,,,
2016-03-26,7.4,10.9,5.0,0.0,3.7,,,,3.3,,,,,
