calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.9,12.6,-1.5,0.0,9.1,,,,1.0,,,,,
2016-01-02,5.8,13.5,-0.1,0.0,7.6,,,,1.2,,,,,
2016-01-03,7.6,16.1,0.0,0.0,7.8,,,,0.9,,,,,
2016-01-04,8.0,15.8,1.0,0.0,9.0,,,,0.9,,,,,
2016-01-05,8.9,15.5,1.8,0.0,8.4,,,,1.2,,,,,
2016-01-06,7.6,10.4,4.2,0.0,0.1,,,,0.8,,,,,
2016-01-07,7.2,12.4,1.7,0.0,5.4,,,,1.2,,,,,
2016-01-08,5.1,10.2,-0.3,0.0,9.0,,,,1.0,,,,,
2016-01-09,5.2,10.9,-0.7,0.0,8.8,,,,1.4,,,,,
2016-01-10,6.1,13.0,-0.2,0.0,9.1,,,,1.3,,,,,
2016-01-11,5.6,9.9,-0.6,0.0,4.3,,,,1.3,,,,,
2016-01-12,2.5,5.2,-1.5,0.5,0.0,,,,1.0,,,,,
2016-01-13,3.0,9.0,-3.7,0.0,9.1,,,,1.0,,,,,
2016-01-14,4.4,11.1,-3.0,0.0,9.2,,,,1.4,,,,,
2016-01-15,5.5,10.2,2.2,0.0,5.6,,,,1.3,,,,,
2016-01-16,6.2,11.2,0.2,0.0,8.8,,,,1.0,,,,,
2016-01-17,5.0,7.9,1.5,5.5,3.9,,,,1.2,,,,,
2016-01-18,2.0,7.2,-0.7,63.0,0.9,,,,1.5,,,,,
2016-01-19,3.9,7.2,-0.5,0.5,9.3,,,,2.3,,,,,
2016-01-20,3.2,8.7,-1.8,0.0,9.0,,,,2.0,,,,,
2016-01-21,3.7,8.7,-2.7,0.0,7.9,,,,1.3,,,,,
2016-01-22,4.2,9.4,-0.7,0.0,9.0,,,,1.2,,,,,
2016-01-23,3.3,5.8,0.7,0.0,0.5,,,,1.3,,,,,
2016-01-24,2.3,7.5,-3.5,0.0,9.0,,,,1.9,,,,,
2016-01-25,1.4,8.3,-6.1,0.0,9.6,,,,1.1,,,,,
2016-01-26,2.5,9.2,-3.9,0.0,9.2,,,,1.3,,,,,
2016-01-27,4.7,12.5,-3.7,0.0,9.6,,,,1.4,,,,,
2016-01-28,6.4,13.7,0.5,0.0,9.5,,,,1.3,,,,,
2016-01-29,4.5,6.8,2.2,9.5,0.0,,,,1.5,,,,,
2016-01-30,2.9,4.7,1.0,4.0,0.0,,,,1.2,,,,,
2016-01-31,5.1,10.3,0.0,0.0,4.8,,,,1.1,,,,,
2016-02-01,4.0,5.6,1.9,0.0,0.0,,,,1.1,,,,,
2016-02-02,5.3,9.9,2.4,0.0,8.0,,,,1.5,,,,,
2016-02-03,4.4,8.4,-0.8,0.0,2.7,,,,1.4,,,,,
2016-02-04,4.2,9.5,-0.2,0.0,5.7,,,,1.2,,,,,
2016-02-05,6.1,12.7,-1.4,0.0,9.4,,,,1.3,,,,,
2016-02-06,6.2,9.1,2.0,1.5,1.1,,,,1.4,,,,,
2016-02-07,3.9,9.0,-0.4,0.5,9.1,,,,1.5,,,,,
2016-02-08,3.4,8.1,0.6,0.0,5.6,,,,1.2,,,,,
2016-02-09,5.6,13.8,-2.7,0.0,9.8,,,,1.7,,,,,
2016-02-10,5.4,9.8,-0.5,0.0,10.1,,,,2.1,,,,,
2016-02-11,5.0,10.5,-1.0,0.0,10.2,,,,1.4,,,,,
2016-02-12,6.5,12.5,-0.5,0.0,4.7,,,,1.7,,,,,
2016-02-13,13.6,21.0,7.2,0.0,5.6,,,,2.9,,,,,
2016-02-14,18.5,24.1,14.8,12.0,5.6,,,,4.6,,,,,
2016-02-15,7.1,15.0,1.3,0.0,0.6,,,,1.9,,,,,
2016-02-16,4.1,9.4,-1.2,0.0,9.4,,,,1.8,,,,,
2016-02-17,4.4,11.7,-2.7,0.0,7.6,,,,1.5,,,,,
2016-02-18,4.4,11.0,-2.8,0.0,8.8,,,,1.5,,,,,
2016-02-19,8.3,16.8,-0.8,0.0,9.5,,,,1.2,,,,,
2016-02-20,7.0,11.0,4.6,41.0,0.2,,,,1.0,,,,,
2016-02-21,8.8,15.5,5.1,0.5,5.3,,,,1.6,,,,,
2016-02-22,6.3,8.7,4.0,0.0,1.5,,,,1.8,,,,,
2016-02-23,6.3,9.5,3.7,0.0,0.0,,,,1.1,,,,,
2016-02-24,5.1,6.9,1.2,2.0,0.0,,,,1.7,,,,,
2016-02-25,2.8,6.3,0.0,0.5,0.5,,,,1.4,,,,,
2016-02-26,4.5,10.6,-1.7,0.0,10.4,,,,1.7,,,,,
2016-02-27,7.1,12.4,1.6,0.0,10.4,,,,2.7,,,,,
2016-02-28,7.9,14.1,0.8,0.0,8.0,,,,2.1,,,,,
2016-02-29,7.3,14.8,3.9,0.5,2.2,,,,1.5,,,,,
2016-03-01,4.6,9.3,1.5,0.0,10.7,,,,2.1,,,,,
2016-03-02,5.2,12.2,-2.6,0.0,9.1,,,,1.3,,,,,
2016-03-03,8.8,16.9,-1.4,0.0,10.5,,,,1.3,,,,,
2016-03-04,9.6,15.7,2.9,0.0,7.7,,,,2.1,,,,,
2016-03-05,10.4,15.5,7.3,0.0,2.5,,,,1.6,,,,,
2016-03-06,13.0,17.5,8.3,0.0,2.5,,,,3.0,,,,,
2016-03-07,12.7,15.6,11.7,18.5,0.0,,,,0.9,,,,,
