calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.7,12.6,5.9,0.0,,,,,4.8,,,,,
2016-01-02,8.2,12.4,3.9,0.0,,,,,3.0,,,,,
2016-01-03,9.6,13.5,4.8,0.0,,,,,1.7,,,,,
2016-01-04,10.2,14.5,5.1,0.0,,,,,2.3,,,,,
2016-01-05,11.5,14.2,8.4,0.0,,,,,2.6,,,,,
2016-01-06,9.3,10.8,7.9,0.0,,,,,3.9,,,,,
2016-01-07,9.6,13.5,6.5,0.0,,,,,4.2,,,,,
2016-01-08,8.4,10.6,4.5,0.0,,,,,3.5,,,,,
2016-01-09,8.1,10.7,3.2,0.0,,,,,4.0,,,,,
2016-01-10,8.9,12.6,3.6,0.0,,,,,3.2,,,,,
2016-01-11,8.0,9.6,5.7,0.0,,,,,4.2,,,,,
2016-01-12,4.4,7.5,2.2,0.0,,,,,5.3,,,,,
2016-01-13,5.4,9.4,0.6,0.0,,,,,2.6,,,,,
2016-01-14,6.8,10.4,1.5,0.0,,,,,3.0,,,,,
2016-01-15,6.7,10.2,3.8,0.0,,,,,5.3,,,,,
2016-01-16,7.2,10.2,3.6,0.0,,,,,4.0,,,,,
2016-01-17,6.7,9.1,3.9,3.0,,,,,5.5,,,,,
2016-01-18,4.9,10.5,0.5,40.5,,,,,7.3,,,,,
2016-01-19,6.2,9.8,2.2,0.0,,,,,8.6,,,,,
2016-01-20,5.1,9.9,0.8,0.0,,,,,7.3,,,,,
2016-01-21,6.5,9.7,1.4,0.0,,,,,5.4,,,,,
2016-01-22,6.6,10.1,3.8,0.0,,,,,6.1,,,,,
2016-01-23,4.6,6.7,3.3,0.0,,,,,5.0,,,,,
2016-01-24,3.8,8.6,-0.6,0.0,,,,,5.4,,,,,
2016-01-25,3.3,7.6,-2.4,0.0,,,,,3.5,,,,,
2016-01-26,5.1,8.6,0.7,0.0,,,,,3.2,,,,,
2016-01-27,7.2,12.5,0.3,0.0,,,,,3.5,,,,,
2016-01-28,8.3,12.1,2.2,0.0,,,,,2.6,,,,,
2016-01-29,6.5,9.6,3.5,10.0,,,,,6.0,,,,,
2016-01-30,4.3,5.7,2.5,3.5,,,,,6.5,,,,,
2016-01-31,6.8,9.4,3.1,0.0,,,,,3.1,,,,,
2016-02-01,5.5,8.0,4.5,0.0,,,,,4.7,,,,,
2016-02-02,6.3,10.2,3.9,0.0,,,,,5.4,,,,,
2016-02-03,5.5,7.8,3.7,0.0,,,,,5.7,,,,,
2016-02-04,6.1,9.2,3.5,0.0,,,,,3.8,,,,,
2016-02-05,7.6,10.9,2.1,0.0,,,,,3.2,,,,,
2016-02-06,7.3,9.1,5.2,0.0,,,,,5.6,,,,,
2016-02-07,5.8,8.7,2.7,0.0,,,,,6.7,,,,,
2016-02-08,5.3,8.9,2.9,0.0,,,,,4.3,,,,,
2016-02-09,7.1,13.5,1.4,0.0,,,,,5.1,,,,,
2016-02-10,6.7,10.5,3.9,0.0,,,,,7.5,,,,,
2016-02-11,6.6,9.1,3.9,0.0,,,,,5.6,,,,,
2016-02-12,8.1,12.2,3.7,0.0,,,,,3.6,,,,,
2016-02-13,14.3,20.1,8.9,0.0,,,,,5.9,,,,,
2016-02-14,18.3,21.3,16.2,39.5,,,,,11.3,,,,,
2016-02-15,8.7,17.7,3.5,1.0,,,,,5.6,,,,,
2016-02-16,6.1,10.3,2.8,0.0,,,,,5.6,,,,,
2016-02-17,6.9,13.6,1.7,0.0,,,,,5.2,,,,,
2016-02-18,6.7,10.5,3.4,0.0,,,,,4.0,,,,,
2016-02-19,10.1,16.4,3.6,0.0,,,,,3.5,,,,,
2016-02-20,9.0,11.3,7.6,32.0,,,,,3.4,,,,,
2016-02-21,10.5,15.4,7.5,0.0,,,,,5.7,,,,,
2016-02-22,7.3,9.2,6.0,0.0,,,,,5.9,,,,,
2016-02-23,7.4,9.5,5.5,0.0,,,,,3.7,,,,,
2016-02-24,6.6,8.3,3.4,0.0,,,,,6.9,,,,,
2016-02-25,4.2,6.8,1.4,0.5,,,,,4.0,,,,,
2016-02-26,6.5,10.3,1.8,0.0,,,,,3.9,,,,,
2016-02-27,8.5,12.2,3.1,0.0,,,,,6.8,,,,,
2016-02-28,9.1,13.1,5.0,0.0,,,,,4.9,,,,,
2016-02-29,8.9,15.5,5.4,4.0,,,,,5.0,,,,,
2016-03-01,5.6,9.5,3.0,0.5,,,,,7.3,,,,,
2016-03-02,7.0,11.5,3.0,0.0,,,,,4.3,,,,,
2016-03-03,9.4,14.0,4.1,0.0,,,,,2.7,,,,,
2016-03-04,10.4,13.7,7.9,0.0,,,,,4.7,,,,,
2016-03-05,10.9,15.0,8.6,0.0,,,,,5.0,,,,,
2016-03-06,13.2,16.9,9.7,6.5,,,,,4.6,,,,,
2016-03-07,14.6,17.1,13.5,80.0,,,,,3.1,,,,,
2016-03-08,14.9,19.5,12.5,0.0,,,,,3.0,,,,,
2016-03-09,9.3,15.6,4.8,18.5,,,,,7.5,,,,,
2016-03-10,6.6,7.8,4.7,0.5,,,,,6.5,,,,,
2016-03-11,5.2,6.9,3.5,0.0,,,,,5.4,,,,,
2016-03-12,6.3,7.8,4.6,0.0,,,,,5.9,,,,,
2016-03-13,7.3,9.0,5.6,0.0,,,,,5.2,,,,,
2016-03-14,6.5,7.7,4.9,33.5,,,,,7.3,,,,,
2016-03-15,8.9,13.6,5.0,0.5,,,,,7.3,,,,,
2016-03-16,9.5,13.9,5.7,0.0,,,,,3.1,,,,,
2016-03-17,12.7,18.7,7.4,0.0,,,,,3.2,,,,,
2016-03-18,15.1,19.4,8.7,0.5,,,,,6.2,,,,,
2016-03-19,15.2,16.8,13.8,14.5,,,,,4.8,,,,,
2016-03-20,12.9,15.9,10.4,0.0,,,,,6.8,,,,,
2016-03-21,9.6,11.5,8.1,0.0,,,,,5.2,,,,,
2016-03-22,11.4,16.0,7.2,0.0,,,,,4.6,,,,,
2016-03-23,11.7,15.8,7.7,0.0,,,,,5.1,,,,,
2016-03-24,6.8,8.8,4.6,0.5,,,,,6.0,,,,,
2016-03-25,8.7,13.2,5.2,0.0,,,,,4.9,,,,,
2016-03-26,7.9,10.6,5.8,0.0,,,,,4.8,,,,,
2016-03-27,10.4,14.0,7.5,0.0,,,,,4.7,,,,,
2016-03-28,11.3,13.6,9.1,1.5,,,,,3.6,,,,,
2016-03-29,12.7,17.6,8.0,0.0,,,,,4.5,,,,,
2016-03-30,15.2,20.0,10.8,0.0,,,,,5.8,,,,,
2016-03-31,15.0,19.0,11.7,0.0,,,,,5.3,,,,,
2016-04-01,12.9,16.0,8.9,1.0,,,,,6.4,,,,,
2016-04-02,10.8,12.9,8.7,1.0,,,,,5.8,,,,,
2016-04-03,13.7,17.8,10.3,2.0,,,,,4.1,,,,,
2016-04-04,16.0,21.9,10.2,20.0,,,,,6.9,,,,,
2016-04-05,11.2,12.4,9.7,1.0,,,,,3.6,,,,,
2016-04-06,14.4,18.9,8.3,0.0,,,,,3.8,,,,,
2016-04-07,15.1,21.7,12.0,36.5,,,,,4.2,,,,,
2016-04-08,15.9,21.4,13.1,0.0,,,,,3.6,,,,,
2016-04-09,17.4,22.1,13.3,0.0,,,,,5.7,,,,,
2016-04-10,16.7,21.6,12.8,0.0,,,,,3.9,,,,,
2016-04-11,11.7,16.2,8.2,0.0,,,,,7.9,,,,,
2016-04-12,10.6,14.3,6.5,0.0,,,,,5.6,,,,,
2016-04-13,15.2,19.8,11.5,3.0,,,,,5.3,,,,,
2016-04-14,15.2,16.9,13.8,22.0,,,,,3.4,,,,,
2016-04-15,16.5,20.1,12.4,0.0,,,,,6.3,,,,,
2016-04-16,16.0,19.9,12.3,0.0,,,,,5.3,,,,,
2016-04-17,19.3,22.5,17.2,1.5,,,,,12.4,,,,,
2016-04-18,18.7,24.1,14.4,0.5,,,,,7.1,,,,,
2016-04-19,15.9,21.1,13.1,0.0,,,,,5.2,,,,,
2016-04-20,15.0,18.8,11.0,0.0,,,,,5.8,,,,,
2016-04-21,17.5,20.6,14.4,6.5,,,,,7.0,,,,,
2016-04-22,16.3,19.8,13.8,0.0,,,,,4.7,,,,,
2016-04-23,17.7,22.1,14.0,0.0,,,,,4.9,,,,,
2016-04-24,16.1,19.4,12.8,7.0,,,,,4.6,,,,,
2016-04-25,17.3,21.1,14.3,0.0,,,,,3.0,,,,,
2016-04-26,19.3,24.3,15.5,0.0,,,,,4.0,,,,,
2016-04-27,17.6,20.2,15.6,0.5,,,,,4.2,,,,,
2016-04-28,14.9,15.8,13.9,17.5,,,,,5.2,,,,,
2016-04-29,16.2,19.7,13.3,0.0,,,,,9.5,,,,,
2016-04-30,16.6,20.7,11.6,0.0,,,,,6.7,,,,,
2016-05-01,17.5,23.9,12.6,0.0,,,,,3.9,,,,,
2016-05-02,16.8,19.9,13.8,0.0,,,,,4.1,,,,,
2016-05-03,19.8,24.0,15.8,0.0,,,,,7.4,,,,,
2016-05-04,21.7,26.0,18.7,13.0,,,,,12.8,,,,,
2016-05-05,22.3,26.5,18.9,0.0,,,,,6.6,,,,,
2016-05-06,18.6,20.9,16.6,2.5,,,,,4.1,,,,,
2016-05-07,20.4,23.5,17.3,0.0,,,,,8.6,,,,,
2016-05-08,20.9,25.8,18.2,0.0,,,,,6.1,,,,,
2016-05-09,18.5,21.8,16.2,17.0,,,,,4.2,,,,,
2016-05-10,19.0,22.0,16.6,5.5,,,,,4.6,,,,,
2016-05-11,22.2,26.2,18.1,7.5,,,,,9.7,,,,,
2016-05-12,21.4,26.1,17.6,0.0,,,,,4.7,,,,,
2016-05-13,21.0,25.6,17.0,0.0,,,,,4.6,,,,,
2016-05-14,19.6,22.6,15.0,0.0,,,,,6.1,,,,,
2016-05-15,17.2,21.3,13.4,0.0,,,,,5.6,,,,,
2016-05-16,19.4,23.8,15.3,0.0,,,,,6.9,,,,,
2016-05-17,19.0,21.1,15.9,25.5,,,,,6.5,,,,,
2016-05-18,19.8,24.0,15.5,0.0,,,,,5.0,,,,,
2016-05-19,19.4,22.6,16.1,0.0,,,,,6.7,,,,,
2016-05-20,17.2,19.5,15.4,0.0,,,,,6.0,,,,,
2016-05-21,18.9,23.9,14.4,0.0,,,,,4.7,,,,,
2016-05-22,22.0,27.7,18.0,0.0,,,,,4.9,,,,,
2016-05-23,23.6,29.5,17.7,0.0,,,,,3.4,,,,,
2016-05-24,23.3,28.4,19.9,0.0,,,,,6.6,,,,,
2016-05-25,21.7,24.0,20.2,0.0,,,,,8.7,,,,,
2016-05-26,22.6,26.0,20.4,0.0,,,,,8.1,,,,,
2016-05-27,19.8,22.8,17.6,26.5,,,,,5.6,,,,,
2016-05-28,19.8,22.9,16.8,0.0,,,,,2.7,,,,,
2016-05-29,22.0,26.8,17.7,0.0,,,,,4.0,,,,,
2016-05-30,18.0,21.9,16.3,21.5,,,,,5.0,,,,,
2016-05-31,20.4,24.8,17.1,0.0,,,,,5.2,,,,,
2016-06-01,21.6,25.5,18.6,0.5,,,,,5.2,,,,,
2016-06-02,20.8,25.4,17.0,0.0,,,,,7.9,,,,,
2016-06-03,19.7,23.7,15.0,0.0,,,,,6.7,,,,,
2016-06-04,22.0,25.8,18.1,0.0,,,,,8.0,,,,,
2016-06-05,19.6,22.1,17.1,3.0,,,,,4.6,,,,,
2016-06-06,19.9,23.2,17.3,0.0,,,,,4.6,,,,,
2016-06-07,19.8,21.2,18.5,0.0,,,,,2.9,,,,,
2016-06-08,21.6,25.5,18.5,2.0,,,,,3.3,,,,,
2016-06-09,21.6,23.5,19.8,11.5,,,,,3.2,,,,,
2016-06-10,23.3,27.4,20.3,0.0,,,,,3.5,,,,,
2016-06-11,23.4,28.5,19.0,0.0,,,,,4.7,,,,,
2016-06-12,23.7,27.7,20.9,0.0,,,,,4.5,,,,,
2016-06-13,20.5,22.2,19.6,69.5,,,,,7.9,,,,,
2016-06-14,22.2,25.3,20.0,0.0,,,,,5.3,,,,,
2016-06-15,20.9,22.2,19.6,0.0,,,,,5.0,,,,,
2016-06-16,22.3,24.7,20.0,6.0,,,,,5.4,,,,,
2016-06-17,24.0,28.6,19.8,0.5,,,,,4.2,,,,,
2016-06-18,26.5,31.4,22.1,0.0,,,,,5.1,,,,,
2016-06-19,24.3,28.4,21.4,1.5,,,,,5.8,,,,,
2016-06-20,23.8,27.6,21.2,2.5,,,,,3.8,,,,,
2016-06-21,23.3,25.1,21.3,7.5,,,,,2.8,,,,,
2016-06-22,22.9,24.5,21.4,0.0,,,,,4.2,,,,,
2016-06-23,23.3,26.9,21.8,14.5,,,,,4.2,,,,,
2016-06-24,23.1,25.2,21.7,0.5,,,,,4.3,,,,,
2016-06-25,26.0,29.1,22.7,4.0,,,,,8.2,,,,,
2016-06-26,24.9,28.8,22.0,0.0,,,,,4.9,,,,,
2016-06-27,24.0,27.3,21.7,0.0,,,,,4.3,,,,,
2016-06-28,19.8,23.0,17.4,16.5,,,,,3.6,,,,,
2016-06-29,22.0,24.6,20.4,0.0,,,,,3.0,,,,,
2016-06-30,23.0,26.6,20.5,0.5,,,,,2.2,,,,,
2016-07-01,25.1,29.1,22.5,0.0,,,,,3.2,,,,,
2016-07-02,26.1,30.6,23.0,0.0,,,,,6.3,,,,,
2016-07-03,28.2,35.0,24.0,0.0,,,,,7.3,,,,,
2016-07-04,27.4,32.3,24.1,1.5,,,,,3.5,,,,,
2016-07-05,22.2,25.7,20.7,0.0,,,,,6.2,,,,,
2016-07-06,23.2,26.2,20.6,0.0,,,,,5.1,,,,,
2016-07-07,26.6,34.1,22.8,0.0,,,,,4.6,,,,,
2016-07-08,24.7,28.6,22.3,0.0,,,,,3.7,,,,,
2016-07-09,23.0,24.5,21.4,14.5,,,,,4.8,,,,,
2016-07-10,25.2,30.8,21.3,0.0,,,,,3.4,,,,,
2016-07-11,26.9,32.6,22.9,0.0,,,,,3.4,,,,,
2016-07-12,26.6,30.4,24.6,0.0,,,,,4.7,,,,,
2016-07-13,25.5,26.9,23.9,0.0,,,,,2.7,,,,,
2016-07-14,26.3,31.5,22.6,27.0,,,,,4.0,,,,,
2016-07-15,23.1,25.0,21.7,39.0,,,,,5.0,,,,,
2016-07-16,24.2,27.9,21.4,0.0,,,,,4.4,,,,,
2016-07-17,26.1,28.3,24.0,0.0,,,,,4.5,,,,,
2016-07-18,27.8,30.9,25.2,0.0,,,,,3.5,,,,,
2016-07-19,27.8,31.0,25.4,0.0,,,,,4.1,,,,,
2016-07-20,26.2,28.9,23.8,0.0,,,,,5.5,,,,,
2016-07-21,22.5,25.0,21.3,13.5,,,,,6.0,,,,,
2016-07-22,22.4,23.3,21.5,2.5,,,,,6.4,,,,,
2016-07-23,22.6,25.1,20.5,0.0,,,,,5.3,,,,,
2016-07-24,23.8,27.5,20.9,0.0,,,,,4.4,,,,,
2016-07-25,24.6,27.9,21.7,0.0,,,,,3.3,,,,,
2016-07-26,24.4,27.1,23.0,0.0,,,,,4.6,,,,,
2016-07-27,24.7,27.9,23.2,0.0,,,,,5.5,,,,,
2016-07-28,26.7,30.4,23.0,0.0,,,,,5.1,,,,,
2016-07-29,27.0,31.7,23.1,0.0,,,,,4.3,,,,,
2016-07-30,26.9,31.4,23.1,0.0,,,,,2.8,,,,,
2016-07-31,26.9,30.3,25.5,7.0,,,,,5.6,,,,,
2016-08-01,27.1,30.2,24.9,0.5,,,,,4.7,,,,,
2016-08-02,26.0,28.4,23.3,3.5,,,,,3.5,,,,,
2016-08-03,27.4,31.5,24.6,0.5,,,,,3.5,,,,,
2016-08-04,28.5,32.8,25.6,0.0,,,,,4.4,,,,,
2016-08-05,28.6,32.7,25.9,0.0,,,,,5.4,,,,,
2016-08-06,28.7,33.1,25.3,0.0,,,,,4.1,,,,,
2016-08-07,28.5,32.0,25.3,0.0,,,,,5.4,,,,,
2016-08-08,28.8,32.3,26.3,0.0,,,,,8.3,,,,,
2016-08-09,32.3,38.0,27.5,0.0,,,,,4.2,,,,,
2016-08-10,28.6,33.0,26.0,0.0,,,,,4.9,,,,,
2016-08-11,27.0,29.9,25.3,0.0,,,,,4.5,,,,,
2016-08-12,26.3,30.5,24.4,0.0,,,,,4.1,,,,,
2016-08-13,26.4,30.6,24.1,0.0,,,,,4.4,,,,,
2016-08-14,26.2,30.1,23.7,0.0,,,,,4.4,,,,,
2016-08-15,27.5,31.8,24.4,0.0,,,,,5.3,,,,,
2016-08-16,27.0,31.7,24.6,14.5,,,,,6.6,,,,,
2016-08-17,28.9,34.4,23.5,5.0,,,,,8.8,,,,,
2016-08-18,28.3,33.0,26.1,4.0,,,,,4.7,,,,,
2016-08-19,27.7,30.6,25.6,0.5,,,,,6.9,,,,,
2016-08-20,26.6,29.5,24.6,19.0,,,,,5.0,,,,,
2016-08-21,28.4,33.8,25.1,0.0,,,,,4.2,,,,,
2016-08-22,26.7,28.9,23.5,83.0,,,,,9.8,,,,,
2016-08-23,27.4,30.7,24.9,0.0,,,,,5.4,,,,,
2016-08-24,26.7,30.6,24.0,0.0,,,,,3.6,,,,,
2016-08-25,27.7,32.1,24.6,0.0,,,,,3.8,,,,,
2016-08-26,28.1,32.7,24.8,0.0,,,,,4.6,,,,,
2016-08-27,24.8,27.5,22.0,0.0,,,,,6.8,,,,,
2016-08-28,22.9,24.7,21.6,1.0,,,,,6.5,,,,,
