calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,25.2,28.7,21.5,0.0,10.4,16.39,,,5.3,21.4,1018.9,67,1019.9,
2016-01-02,22.9,24.1,21.9,0.0,5.9,14.09,,,8.5,18.4,1021.5,66,1022.5,
2016-01-03,23.2,25.4,21.8,,7.6,15.07,,,6.4,17.3,1022.5,61,1023.5,
2016-01-04,24.0,26.8,22.5,0.0,6.3,13.90,,,3.5,20.8,1020.9,70,1021.9,
2016-01-05,24.4,28.0,22.1,,9.8,16.04,,,3.0,23.5,1019.6,77,1020.6,
2016-01-06,24.2,26.5,21.1,0.0,9.7,16.25,,,1.9,23.4,1019.2,78,1020.2,
2016-01-07,24.9,28.0,22.5,0.0,9.2,15.23,,,4.8,23.3,1016.7,74,1017.7,
2016-01-08,24.7,26.7,22.7,0.5,0.2,7.25,,,3.1,25.6,1017.7,83,1018.7,
2016-01-09,23.4,25.2,22.3,16.5,0.0,5.22,,,4.6,27.0,1018.3,94,1019.3,
2016-01-10,23.9,26.3,21.6,3.0,2.5,9.09,,,2.8,27.4,1016.7,92,1017.7,
2016-01-11,22.6,23.7,21.5,9.0,0.1,7.11,,,5.7,25.8,1015.3,94,1016.3,
2016-01-12,24.0,25.6,22.3,1.0,3.4,11.40,,,4.9,25.4,1013.9,85,1014.9,
2016-01-13,25.2,28.3,23.4,1.0,6.6,13.34,,,6.6,27.6,1013.9,86,1014.9,
2016-01-14,24.1,25.7,23.0,0.0,4.2,11.30,,,3.3,24.7,1016.1,82,1017.1,
2016-01-15,24.6,26.4,23.1,0.0,2.6,10.76,,,5.3,25.5,1014.6,82,1015.6,
2016-01-16,25.4,27.7,21.9,1.5,9.4,15.17,,,7.1,25.4,1011.9,79,1012.9,
2016-01-17,22.3,24.3,21.2,0.0,0.9,8.85,,,6.0,19.8,1015.8,74,1016.8,
2016-01-18,23.6,25.4,21.8,2.5,5.9,13.37,,,5.9,24.1,1016.0,82,1017.0,
