calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,10.6,12.7,6.6,0.0,8.2,,,,4.5,7.5,1020.2,59,1025.0,
2016-01-02,12.9,14.5,10.8,0.0,5.2,,,,10.7,9.0,1018.3,60,1023.1,
2016-01-03,13.7,16.2,11.2,10.0,0.1,,,,6.2,12.0,1012.6,78,1017.3,
2016-01-04,15.6,16.7,14.5,,9.2,,,,10.1,11.1,1009.7,63,1014.4,
2016-01-05,14.9,15.8,14.0,,7.7,,,,10.4,9.2,1011.5,54,1016.2,
2016-01-06,14.2,15.2,13.1,0.0,0.1,,,,5.9,10.0,1011.3,62,1016.0,
2016-01-07,12.9,14.3,11.5,0.0,8.2,,,,8.1,9.1,1007.3,61,1012.0,
2016-01-08,11.3,12.4,10.0,0.0,0.6,,,,8.0,8.3,1009.6,62,1014.4,
2016-01-09,10.6,12.3,7.3,,7.8,,,,5.6,7.7,1012.4,60,1017.2,
2016-01-10,11.0,11.9,9.9,,8.4,,,,12.9,7.5,1012.5,57,1017.3,
2016-01-11,11.6,12.8,10.5,,5.5,,,,7.4,8.2,1011.8,60,1016.6,
2016-01-12,10.2,12.0,8.4,2.0,0.0,,,,4.8,9.5,1007.9,77,1012.7,
2016-01-13,9.3,11.6,5.1,0.0,6.3,,,,4.5,7.1,1008.6,62,1013.4,
2016-01-14,9.8,10.6,8.6,,7.7,,,,10.1,7.0,1008.3,58,1013.1,
2016-01-15,9.2,10.9,6.5,,6.7,,,,5.0,7.0,1010.5,60,1015.4,
2016-01-16,9.6,11.4,5.5,4.0,7.5,,,,3.2,7.7,1012.9,65,1017.7,
2016-01-17,10.7,12.8,6.7,2.5,0.0,,,,6.6,10.1,1014.0,79,1018.8,
2016-01-18,11.7,13.4,8.7,74.0,0.5,,,,9.4,11.8,992.8,86,997.5,
2016-01-19,7.4,11.9,5.1,1.5,3.2,,,,9.6,6.4,999.7,61,1004.4,
2016-01-20,7.8,9.8,4.5,0.0,5.6,,,,8.6,6.7,1005.4,63,1010.3,
2016-01-21,8.7,9.8,7.5,,5.9,,,,5.4,6.4,1012.1,57,1017.0,
2016-01-22,8.6,11.0,5.8,,4.8,,,,3.2,6.5,1013.7,59,1018.6,
2016-01-23,9.1,9.9,5.6,0.0,0.0,,,,4.1,8.1,1011.2,70,1016.0,
2016-01-24,5.2,9.5,2.0,,4.2,,,,8.8,5.0,1001.7,55,1006.5,
2016-01-25,5.5,7.8,2.0,,2.8,,,,5.7,5.0,1011.9,55,1016.8,
2016-01-26,7.7,9.2,5.3,,6.5,,,,7.4,6.0,1018.2,57,1023.1,
2016-01-27,10.1,11.3,8.2,,5.0,,,,10.7,7.5,1019.3,61,1024.2,
2016-01-28,11.7,13.3,9.8,,8.1,,,,8.1,8.4,1020.9,61,1025.7,
2016-01-29,11.8,13.6,8.9,,0.0,,,,5.8,12.1,1016.5,88,1021.3,
2016-01-30,8.9,10.5,7.4,21.0,0.0,,,,9.0,10.5,1012.6,92,1017.4,
2016-01-31,10.5,12.4,8.9,,2.3,,,,4.7,8.5,1015.2,67,1020.1,
2016-02-01,10.3,12.2,7.0,,0.1,,,,4.3,8.8,1013.4,71,1018.2,
2016-02-02,8.9,10.4,7.0,,0.0,,,,4.4,8.0,1011.9,71,1016.8,
2016-02-03,8.6,9.8,6.8,,0.0,,,,4.6,8.4,1014.7,76,1019.6,
2016-02-04,9.3,11.4,6.4,,4.3,,,,5.3,7.9,1014.5,68,1019.4,
2016-02-05,11.5,12.9,10.1,,8.7,,,,7.0,7.8,1010.6,57,1015.4,
2016-02-06,11.2,12.5,9.9,,5.1,,,,4.5,6.8,1006.6,51,1011.4,
2016-02-07,7.6,11.6,5.4,2.0,0.0,,,,6.1,7.5,1009.9,72,1014.7,
2016-02-08,8.8,11.3,3.4,0.0,2.2,,,,2.8,7.3,1012.4,65,1017.2,
2016-02-09,10.6,13.5,8.4,0.0,6.0,,,,9.6,7.5,1006.4,59,1011.2,
2016-02-10,7.2,9.7,2.9,,8.2,,,,5.0,6.0,1014.2,59,1019.1,
2016-02-11,9.7,12.2,3.3,,1.1,,,,3.9,7.9,1023.7,66,1028.6,
2016-02-12,12.8,14.6,9.4,0.5,0.8,,,,3.8,9.6,1025.4,65,1030.2,
2016-02-13,17.0,19.7,13.6,4.0,4.1,,,,5.5,15.4,1016.1,80,1020.8,
2016-02-14,18.0,20.3,14.6,28.0,2.2,,,,8.0,18.2,999.4,87,1004.1,
2016-02-15,11.2,14.8,7.5,1.5,4.3,,,,9.1,9.4,998.5,70,1003.2,
2016-02-16,8.1,9.2,7.1,,7.9,,,,7.5,5.6,1008.0,51,1012.8,
2016-02-17,9.3,10.8,6.8,,6.5,,,,8.2,6.7,1011.1,58,1015.9,
2016-02-18,9.0,12.0,5.1,0.0,10.0,,,,4.0,7.1,1019.7,63,1024.6,
2016-02-19,12.3,13.8,9.1,0.0,8.5,,,,6.9,8.6,1021.7,60,1026.5,
2016-02-20,14.3,20.2,6.9,40.5,0.0,,,,5.0,13.5,1013.6,79,1018.4,
2016-02-21,11.8,15.4,8.7,0.5,9.3,,,,11.0,9.5,1010.3,68,1015.1,
2016-02-22,11.1,12.9,8.6,0.5,0.0,,,,5.8,9.2,1022.1,69,1026.9,
2016-02-23,11.8,13.6,9.9,3.0,7.3,,,,5.6,9.8,1016.6,72,1021.4,
2016-02-24,9.9,12.3,5.7,3.5,1.9,,,,5.2,8.3,1015.7,68,1020.6,
2016-02-25,7.1,10.3,4.1,8.5,4.0,,,,3.1,7.5,1020.2,74,1025.1,
2016-02-26,9.0,10.4,6.9,,10.2,,,,8.7,6.2,1019.6,55,1024.5,
2016-02-27,10.3,15.2,5.3,,6.4,,,,4.5,7.3,1020.5,58,1025.3,
2016-02-28,12.6,15.6,9.1,,2.4,,,,3.5,8.8,1019.5,61,1024.3,
2016-02-29,13.1,17.0,8.1,38.5,0.4,,,,6.0,11.8,1005.6,77,1010.3,
2016-03-01,7.4,9.0,6.1,,2.3,,,,7.1,5.8,1010.6,56,1015.4,
