calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.5,12.1,3.6,,9.0,11.80,,,2.6,4.5,1022.4,45,1025.4,2.5
2016-01-02,7.3,13.4,2.6,,7.5,11.59,,,1.9,5.2,1018.6,51,1021.5,4.3
2016-01-03,9.3,16.2,3.0,,8.3,10.77,,,1.4,7.0,1013.2,61,1016.2,5.3
2016-01-04,9.2,15.2,4.4,,8.9,11.19,,,1.6,6.8,1010.4,60,1013.3,0.0
2016-01-05,10.9,15.4,5.1,,8.4,10.57,,,1.8,6.5,1013.1,51,1016.0,2.8
2016-01-06,8.9,11.3,7.1,,0.0,4.54,,,1.9,7.9,1014.0,69,1017.0,10.0
2016-01-07,8.7,12.9,4.5,,4.8,7.98,,,2.5,5.4,1009.4,49,1012.4,6.8
2016-01-08,6.8,10.9,3.1,,8.7,10.99,,,1.8,4.7,1010.4,48,1013.4,3.0
2016-01-09,7.3,11.6,2.8,,8.9,11.87,,,2.1,5.3,1014.1,53,1017.1,1.8
2016-01-10,7.9,12.9,2.4,,9.1,11.84,,,2.2,5.3,1013.5,50,1016.5,1.8
2016-01-11,7.1,10.5,3.8,0.0,3.3,7.85,,,2.2,5.3,1014.1,52,1017.1,8.5
2016-01-12,3.4,6.1,0.9,0.0,0.0,1.42,,,2.1,5.6,1012.0,72,1015.0,7.5
2016-01-13,4.3,9.7,-0.9,,8.7,10.86,,,1.7,4.9,1010.1,60,1013.1,2.5
2016-01-14,6.0,11.4,0.2,,9.1,12.09,,,2.0,4.6,1008.9,52,1011.9,0.5
2016-01-15,5.6,10.9,2.0,0.0,8.1,11.67,,,2.5,5.7,1013.1,64,1016.1,6.0
2016-01-16,6.5,11.8,1.8,,9.1,12.41,,,1.9,5.1,1015.8,54,1018.8,2.3
2016-01-17,5.8,8.6,2.3,3.0,3.1,7.60,,,2.1,5.4,1019.0,59,1022.0,8.0
2016-01-18,2.8,6.2,0.2,67.0,1.4,2.40,6,6,3.7,7.1,995.9,95,998.9,7.5
2016-01-19,5.1,8.6,0.9,0.0,9.1,13.37,3,,4.0,3.7,997.8,43,1000.7,1.5
2016-01-20,4.1,9.1,-0.7,,9.2,13.21,1,,4.3,3.5,1006.3,42,1009.2,1.8
2016-01-21,5.4,9.5,1.0,,7.4,10.35,,,3.1,3.3,1014.4,37,1017.5,5.3
2016-01-22,5.8,10.3,3.0,,8.1,12.72,,,3.1,3.2,1016.5,35,1019.5,5.5
2016-01-23,3.9,6.4,2.6,0.0,0.2,4.77,,,2.5,4.2,1014.4,53,1017.4,10.0
2016-01-24,3.3,9.2,-1.2,,9.0,14.08,,,3.6,3.1,1001.3,42,1004.3,2.5
2016-01-25,2.9,8.4,-2.6,,9.6,14.01,,,2.9,2.0,1013.5,28,1016.6,0.0
2016-01-26,3.8,9.6,-1.3,,8.6,12.10,,,2.0,3.7,1019.7,46,1022.7,0.0
2016-01-27,6.3,13.4,-1.1,,9.4,13.79,,,2.2,4.1,1020.7,45,1023.7,0.8
2016-01-28,7.8,14.0,2.1,,9.4,13.33,,,1.9,4.4,1022.5,44,1025.5,0.0
2016-01-29,5.4,7.8,2.6,9.5,0.0,1.61,,,2.6,7.0,1020.8,78,1023.8,10.0
2016-01-30,3.3,5.0,1.5,5.5,0.0,3.17,,,2.3,6.7,1017.2,87,1020.3,10.0
2016-01-31,6.1,11.2,1.3,,5.1,10.68,,,1.7,6.0,1017.4,66,1020.4,6.5
2016-02-01,4.7,6.7,2.6,0.0,0.0,3.96,,,2.0,5.9,1016.7,69,1019.7,10.0
2016-02-02,6.0,10.7,2.6,0.0,8.5,14.31,,,3.2,3.7,1015.1,41,1018.1,6.3
2016-02-03,5.0,9.2,1.5,,7.1,13.67,,,2.5,3.9,1018.3,46,1021.3,5.5
