calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-4.3,-2.4,-6.9,2.0,1.8,4.11,13.0,4.0,2.9,3.5,1013.5,77,1019.1,7.5
2016-01-02,-1.5,2.6,-6.1,0.5,2.1,4.3,12.0,1.0,3.7,4.1,1004.9,73,1010.4,8.0
2016-01-03,-2.9,-1.1,-7.0,2.0,1.8,4.55,17.0,5.0,2.6,4.2,1004.5,84,1010.0,8.8
2016-01-04,-5.3,-1.8,-9.4,0.0,2.1,4.46,15.0,3.0526315789473686,2.1,3.2,1004.4,78,1009.9,7.8
2016-01-05,-5.9,-2.8,-9.8,0.0,3.9,5.86,15.0,1.0,2.9,2.8,1004.8,70,1010.4,5.0
2016-01-06,-4.8,-0.6,-11.3,1.5,2.5,5.64,17.0,3.0,3.0,2.7,1004.5,62,1010.1,7.5
2016-01-07,-5.0,-3.0,-7.9,0.5,1.7,4.21,19.0,3.0,3.0,3.3,1000.8,78,1006.4,9.3
2016-01-08,-4.5,-0.7,-7.6,0.5,3.5,5.75,20.0,4.0,3.1,3.2,1001.5,73,1007.1,8.5
2016-01-09,-5.7,-2.4,-10.1,1.4620253164556962,5.8,6.19,20.0,4.079207920792079,2.9,2.6,1005.9,67,1011.5,2.0
2016-01-10,-5.1,-1.6,-7.5,2.0,5.0,6.19,22.0,5.0,3.8,2.8,1003.8,67,1009.3,1.5
2016-01-11,-8.4,-7.0,-9.7,7.5,0.3,4.02,33.0,12.0,3.5,2.6,1006.7,79,1012.3,7.5
2016-01-12,-8.3,-5.3,-12.5,0.0,3.4,5.97,30.0,3.9278350515463916,2.7,2.1,1004.6,66,1010.2,8.0
2016-01-13,-7.0,-3.3,-12.5,1.8144654088050314,6.2,8.19,26.0,3.7216494845360826,2.3,2.2,1004.4,60,1010.0,7.5
2016-01-14,-4.5,-2.1,-7.5,14.0,0.5,3.18,46.0,26.0,5.5,3.6,1002.8,82,1008.3,10.0
2016-01-15,-7.6,-5.6,-11.3,0.0,2.6,5.43,44.0,3.525252525252525,2.9,2.5,1010.4,72,1016.0,8.5
2016-01-16,-8.7,-4.2,-14.3,2.24375,8.3,8.5,40.0,4.385416666666667,2.5,2.2,1010.3,68,1016.0,3.0
2016-01-17,-7.6,-3.7,-11.4,0.0,4.0,6.97,37.0,2.5531914893617023,2.2,2.7,1016.2,77,1021.9,5.0
2016-01-18,-6.0,-1.4,-13.6,1.0,3.2,4.98,36.0,5.8,3.3,3.0,1015.2,74,1020.8,7.5
2016-01-19,-1.4,-0.8,-2.8,21.0,0.0,1.5,44.0,20.0,11.5,5.2,993.2,94,998.6,10.0
2016-01-20,-1.3,-0.6,-2.6,8.0,0.0,2.83,55.0,11.0,12.2,5.1,995.3,92,1000.8,10.0
2016-01-21,-3.1,-2.1,-4.1,1.0,0.5,4.71,47.0,1.0,6.9,3.5,1004.5,73,1010.0,10.0
2016-01-22,-2.3,0.2,-5.2,6.0,1.1,6.23,50.0,7.0,3.6,4.3,1005.8,83,1011.4,10.0
2016-01-23,-3.8,-1.3,-7.1,1.5,0.1,4.08,55.0,5.0,3.7,3.9,1008.1,83,1013.6,10.0
2016-01-24,-6.3,-4.5,-8.4,1.5,5.0,7.56,54.0,3.0,3.8,3.1,999.1,81,1004.7,5.5
2016-01-25,-8.7,-6.2,-11.4,2.5,3.8,6.65,56.0,4.0,3.8,2.1,1004.3,67,1009.9,8.0
2016-01-26,-3.3,1.2,-8.7,0.6956521739130435,8.7,10.02,52.0,2.4130434782608696,3.9,3.1,1008.4,63,1013.9,5.3
2016-01-27,-3.3,-0.2,-7.3,1.0,3.3,5.94,52.0,3.0,2.8,3.5,1009.5,72,1015.1,7.3
2016-01-28,-6.3,-3.7,-9.5,2.0,2.5,5.45,49.0,5.298969072164948,4.7,2.5,1013.5,66,1019.1,6.0
2016-01-29,-8.5,-6.5,-11.3,0.0,4.8,7.73,46.0,1.0,2.8,2.3,1018.6,71,1024.3,4.8
2016-01-30,-9.8,-6.0,-15.7,0.0,8.8,10.82,47.0,2.0,2.2,1.8,1017.1,64,1022.8,3.5
2016-01-31,-8.0,-5.0,-11.3,1.5,5.8,9.87,53.0,8.0,2.7,2.5,1011.0,75,1016.7,6.8
2016-02-01,-10.1,-6.8,-13.9,2.0,3.4,7.63,56.0,4.0,2.8,2.2,1012.2,79,1017.9,9.3
2016-02-02,-8.7,-3.7,-15.9,2.5,4.6,7.97,56.0,6.0,3.2,2.4,1008.2,74,1013.9,7.5
2016-02-03,-8.0,-5.9,-10.7,1.0,8.1,10.89,60.0,5.0,2.3,2.2,1013.0,67,1018.7,5.8
2016-02-04,-4.9,-0.5,-12.2,0.0,5.1,8.65,54.0,3.808080808080808,3.0,2.8,1009.1,66,1014.7,9.8
2016-02-05,-3.2,0.0,-9.2,0.0,7.2,10.13,51.0,3.91,3.6,3.3,1003.7,68,1009.2,5.5
2016-02-06,-7.2,-1.4,-11.9,0.0,7.9,11.36,49.0,4.00990099009901,2.3,2.6,1005.7,74,1011.3,3.8
2016-02-07,-7.9,-5.0,-13.1,1.5,8.6,10.87,50.0,2.0,3.3,2.3,1004.8,66,1010.5,5.0
2016-02-08,-7.9,-6.2,-9.4,1.0,4.8,8.25,52.0,2.0,3.1,2.4,1012.1,70,1017.8,8.0
2016-02-09,-1.1,2.1,-8.9,0.0,0.7,5.83,51.0,6.076923076923077,3.9,4.6,1001.0,79,1006.5,8.5
2016-02-10,-2.6,-0.7,-4.6,4.5,4.6,8.74,48.0,5.94,6.8,4.0,1003.5,79,1009.0,9.0
2016-02-11,-4.3,-2.5,-6.6,1.5,4.0,7.04,47.0,1.0,5.4,3.6,1021.8,80,1027.4,7.5
2016-02-12,-2.2,2.9,-10.1,0.0,3.6,6.71,47.0,0.9767441860465116,3.7,3.7,1020.4,70,1026.0,6.0
2016-02-13,5.6,9.0,1.6,0.0,0.0,2.82,46.0,0.5,3.9,5.9,1006.2,65,1011.5,9.8
2016-02-14,-2.0,1.6,-5.2,9.0,0.0,1.34,45.0,7.0,3.6,5.0,991.1,94,996.6,10.0
2016-02-15,-6.2,-3.0,-9.2,0.5,4.8,8.95,44.0,1.0,4.0,2.6,990.8,66,996.3,5.3
2016-02-16,-7.3,-4.7,-11.1,1.8396226415094339,5.4,9.3,44.0,4.58,3.1,2.1,999.1,60,1004.7,4.8
