calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.2,6.8,0.9,9.0,0.9,7.36,0,0,2.6,5.933333333333334,1026.6333333333334,72.0,1027.8,9.3
2016-01-02,9.0,13.5,1.4,0.0,1.9,2.25,0,0,4.0,7.633333333333333,1019.5333333333334,68.33333333333333,1020.6666666666666,10.0
2016-01-03,13.0,14.8,11.5,0.0,2.3,1.87,0,0,3.0,9.1,1015.8666666666667,73.66666666666667,1017.0,10.0
2016-01-04,9.9,15.7,7.7,1.0,3.0,5.23,0,0,3.1,8.4,1014.3333333333334,74.33333333333333,1015.4666666666667,9.8
2016-01-05,6.0,8.1,4.4,10.5,0.0,0.81,0,0,2.9,7.166666666666667,1018.8666666666668,79.66666666666667,1020.0,10.0
2016-01-06,5.5,9.1,2.5,5.0,0.4,5.38,0,0,2.2,7.0,1017.8333333333334,76.66666666666667,1018.9666666666666,10.0
2016-01-07,4.0,7.4,0.2,12.0,0.0,1.38,0,0,3.5,6.166666666666667,1014.9,76.33333333333333,1016.0333333333334,9.8
2016-01-08,2.8,6.7,0.3,29.0,0.0,2.54,0,0,2.2,6.400000000000001,1014.0333333333333,83.66666666666667,1015.1666666666666,10.0
2016-01-09,2.4,5.3,0.3,5.0,0.0,1.35,0,0,2.7,5.766666666666667,1018.4,77.66666666666667,1019.5666666666666,9.8
2016-01-10,6.0,7.4,3.7,19.5,0.1,1.1,0,0,5.2,6.7,1017.3666666666667,77.0,1018.5,10.0
2016-01-11,1.0,5.4,-1.1,13.0,0.0,1.69,9,14,1.9,5.366666666666667,1020.4333333333334,79.33333333333333,1021.5666666666666,10.0
2016-01-12,0.1,0.8,-0.9,6.5,0.0,3.19,11,12,,5.266666666666667,1017.0,80.0,1018.1333333333333,10.0
2016-01-13,2.6,5.3,0.0,23.0,3.1,6.8,14,5,2.7,5.933333333333334,1012.0666666666666,80.66666666666667,1013.2333333333332,10.0
2016-01-14,1.0,4.3,-0.3,35.5,0.0,1.49,9,8,2.0,5.8,1013.6333333333333,85.33333333333333,1014.7666666666668,10.0
2016-01-15,0.1,3.9,-2.9,8.5,5.8,5.38,18,14,1.3,5.5,1017.3666666666667,87.0,1018.5,8.8
2016-01-16,1.6,5.7,-0.6,18.0,0.0,1.86,11,3,2.4,5.7,1020.2333333333332,83.0,1021.4,10.0
2016-01-17,0.6,3.1,-3.4,0.0,0.7,6.25,10,1,1.8,5.633333333333333,1021.4,80.33333333333333,1022.5333333333334,10.0
2016-01-18,3.2,8.6,1.2,30.5,0.0,1.21,9,0,3.1,6.866666666666667,998.6666666666666,84.33333333333333,999.7999999999998,10.0
2016-01-19,2.5,6.2,-0.5,7.0,3.2,2.75,2,0,7.4,5.466666666666666,999.9000000000001,72.33333333333333,1001.0333333333334,9.8
2016-01-20,3.5,5.9,-1.3,4.5,0.2,3.87,1,1,6.1,5.5,1009.4333333333334,74.33333333333333,1010.5666666666666,9.5
2016-01-21,2.9,4.4,0.7,10.0,0.7,5.14,0,0,3.9,5.1,1019.1666666666666,70.33333333333333,1020.3000000000001,8.8
2016-01-22,1.9,3.8,0.5,23.5,0.2,9.02,4,7,3.9,4.6000000000000005,1021.5999999999999,65.66666666666667,1022.7333333333335,8.8
2016-01-23,0.3,2.5,-4.3,10.5,1.2,4.28,17,20,1.9,4.8999999999999995,1017.1999999999999,76.0,1018.3666666666668,10.0
2016-01-24,-0.7,1.8,-4.0,32.5,0.0,1.5,50,39,5.5,4.733333333333333,1004.7666666666668,80.66666666666667,1005.9,10.0
2016-01-25,1.3,3.3,-2.2,18.0,1.2,9.57,55,7,4.8,4.800000000000001,1017.0333333333333,74.66666666666667,1018.2000000000002,9.0
2016-01-26,2.4,7.3,-1.8,0.0,4.4,5.34,48,0,1.5,5.433333333333334,1021.3000000000001,71.0,1022.4333333333334,10.0
2016-01-27,7.1,8.6,2.9,2.0,1.6,4.13,41,0,4.7,6.533333333333334,1023.4333333333334,72.66666666666667,1024.5666666666666,9.8
2016-01-28,5.6,9.3,1.8,5.5,0.2,3.9,22,0,2.5,6.800000000000001,1026.3,77.33333333333333,1027.4333333333334,10.0
2016-01-29,0.7,2.7,0.1,28.0,0.0,2.1,28,13,1.5,6.266666666666667,1024.4666666666665,93.0,1025.6333333333332,10.0
2016-01-30,1.5,4.3,0.2,10.0,0.2,3.93,31,3,,6.233333333333333,1021.3000000000001,90.0,1022.4666666666667,10.0
2016-01-31,2.3,4.9,0.3,3.5,0.0,4.58,25,1,1.5,5.866666666666667,1022.3000000000001,81.33333333333333,1023.4666666666667,10.0
2016-02-01,0.3,1.3,-0.5,19.5,0.0,5.54,35,14,,5.166666666666667,1022.4333333333334,77.66666666666667,1023.6,9.0
2016-02-02,1.3,3.1,-1.0,3.0,0.2,9.05,36,3,2.9,4.8999999999999995,1020.4333333333334,71.33333333333333,1021.6,7.8
2016-02-03,0.9,3.0,-0.1,8.0,0.0,6.32,33,6,1.7,5.166666666666667,1022.7666666666668,74.0,1023.9333333333334,9.8
2016-02-04,3.0,6.4,-0.1,13.5,3.9,8.33,35,3,3.2,5.7,1018.6,73.0,1019.7666666666668,7.8
2016-02-05,2.5,6.5,0.9,30.0,0.2,5.96,28,0,2.3,6.2,1016.9666666666667,78.66666666666667,1018.1,10.0
2016-02-06,0.9,2.7,-0.1,20.0,0.5,3.44,38,20,1.3,5.833333333333333,1015.0333333333333,88.0,1016.1999999999999,10.0
2016-02-07,-0.1,1.9,-4.2,5.5,0.5,8.22,45,13,,4.533333333333333,1018.8666666666667,73.33333333333333,1020.0333333333333,8.8
2016-02-08,-1.7,5.7,-9.9,0.0,9.8,14.49,38,0,1.7,4.233333333333333,1016.8000000000001,63.666666666666664,1017.9333333333334,3.5
2016-02-09,3.0,5.1,-0.4,14.0,0.1,2.48,32,1,4.1,6.066666666666667,1010.1333333333332,81.33333333333333,1011.2666666666668,10.0
2016-02-10,2.7,4.2,0.5,3.0,0.9,12.57,27,2,5.2,4.633333333333333,1022.4333333333334,62.333333333333336,1023.5666666666666,8.5
2016-02-11,2.3,6.9,-2.9,0.0,5.6,9.95,26,0,1.8,4.699999999999999,1031.0,61.666666666666664,1032.1666666666665,5.3
2016-02-12,3.0,14.3,-4.9,0.0,8.7,14.17,22,0,1.4,5.233333333333333,1026.5,54.666666666666664,1027.6333333333334,6.8
2016-02-13,5.4,10.8,2.2,0.0,0.0,4.98,19,0,1.3,8.833333333333334,1015.2000000000002,66.0,1016.3333333333334,10.0
2016-02-14,9.8,14.6,6.4,13.0,0.0,0.48,16,0,4.9,10.766666666666666,999.7333333333335,81.33333333333333,1000.8000000000001,10.0
2016-02-15,1.8,7.4,-0.9,5.0,0.0,6.09,2,3,4.6,5.266666666666667,1008.3666666666668,76.33333333333333,1009.5,9.5
2016-02-16,2.5,5.9,-1.2,3.5,4.9,4.55,3,4,4.0,5.2,1011.2333333333332,77.0,1012.4,8.8
2016-02-17,2.4,3.8,0.5,9.5,0.0,4.35,0,0,3.9,5.166666666666667,1016.5333333333333,74.0,1017.6666666666666,7.5
2016-02-18,3.8,9.6,0.3,0.0,9.4,15.33,0,0,2.6,5.3,1022.9333333333334,63.666666666666664,1024.0666666666666,6.0
2016-02-19,6.7,12.4,-0.6,0.0,5.3,8.46,0,0,3.0,6.633333333333333,1024.2666666666667,65.0,1025.4,6.0
2016-02-20,5.7,8.9,3.0,2.0,0.0,3.78,0,0,1.7,7.966666666666666,1017.8666666666667,77.66666666666667,1019.0,10.0
2016-02-21,6.4,9.5,2.3,7.5,2.7,7.88,0,0,5.3,7.066666666666666,1018.1333333333333,77.33333333333333,1019.2666666666668,8.8
2016-02-22,2.5,5.8,0.2,0.0,2.0,8.42,0,0,2.1,5.033333333333333,1029.8666666666668,67.33333333333333,1031.0333333333333,9.0
2016-02-23,5.9,10.7,0.3,8.0,3.0,4.52,0,0,3.3,6.7,1021.4333333333334,73.33333333333333,1022.5666666666666,10.0
2016-02-24,1.4,5.5,-1.4,6.5,0.2,5.9,12,17,3.2,4.7,1025.8333333333333,70.0,1027.0,9.5
2016-02-25,0.3,2.9,-1.5,12.0,1.6,6.55,17,10,,4.733333333333333,1026.5,71.66666666666667,1027.6666666666667,9.5
2016-02-26,2.2,3.8,0.9,12.0,1.3,8.24,3,3,3.8,5.266666666666667,1025.1000000000001,73.0,1026.2333333333333,9.3
2016-02-27,5.5,9.3,0.8,1.5,6.5,13.79,1,0,3.2,5.6000000000000005,1023.3333333333334,64.33333333333333,1024.4666666666667,7.0
2016-02-28,6.8,10.1,2.8,0.0,7.8,13.59,0,0,2.8,6.233333333333333,1022.8333333333334,64.66666666666667,1023.9666666666667,8.3
2016-02-29,5.7,14.3,0.8,20.5,0.0,1.51,0,0,5.4,6.6000000000000005,1010.3000000000001,73.0,1011.4333333333334,10.0
2016-03-01,0.8,2.1,-0.9,4.5,0.9,11.42,0,0,5.1,4.833333333333333,1018.4333333333334,75.0,1019.5666666666666,9.5
2016-03-02,3.2,6.5,-0.2,16.0,1.6,7.32,5,5,3.5,5.566666666666666,1021.2666666666668,74.0,1022.4,9.8
2016-03-03,6.3,10.4,1.7,1.0,0.3,2.83,0,0,3.4,6.8,1022.6333333333333,70.33333333333333,1023.7666666666668,9.3
2016-03-04,4.6,10.6,-0.4,0.0,9.7,15.06,0,0,2.0,6.3,1029.6333333333334,70.66666666666667,1030.8,4.5
2016-03-05,7.2,15.6,-0.5,0.0,8.2,16.61,0,0,1.9,6.966666666666666,1028.2333333333333,62.666666666666664,1029.3666666666666,3.8
2016-03-06,13.3,22.8,4.2,0.0,7.1,13.59,0,0,2.5,9.0,1019.7000000000002,51.666666666666664,1020.8333333333334,8.0
2016-03-07,9.6,12.0,7.0,0.5,0.0,3.32,0,0,1.8,10.366666666666667,1017.6999999999999,84.33333333333333,1018.8333333333334,9.8
2016-03-08,8.5,12.2,5.4,1.0,0.0,5.84,0,0,2.0,10.033333333333333,1015.6666666666666,87.66666666666667,1016.8000000000001,10.0
2016-03-09,3.0,7.5,1.6,6.0,0.0,3.48,0,0,1.8,5.633333333333333,1019.1333333333333,70.66666666666667,1020.2666666666668,10.0
2016-03-10,3.3,5.6,1.5,0.0,0.6,9.87,0,0,1.7,4.933333333333334,1019.8333333333334,62.333333333333336,1020.9666666666667,9.8
2016-03-11,2.7,5.9,0.1,3.5,5.1,10.83,0,0,1.7,5.6000000000000005,1019.7666666666668,75.0,1020.9,9.5
2016-03-12,2.8,6.1,-0.4,0.0,3.9,13.99,0,0,2.0,5.066666666666666,1023.7333333333332,67.33333333333333,1024.8999999999999,4.3
2016-03-13,4.3,8.8,-0.9,0.0,2.7,12.06,0,0,1.7,5.733333333333334,1023.2333333333332,65.0,1024.3666666666668,9.3
2016-03-14,3.8,5.5,1.5,4.5,0.0,6.03,0,0,1.4,7.3,1016.4333333333334,85.0,1017.5666666666666,10.0
2016-03-15,3.9,7.4,-0.3,1.0,6.0,16.01,0,0,2.8,5.333333333333333,1018.5333333333333,61.333333333333336,1019.6666666666666,6.3
2016-03-16,4.7,11.1,-1.7,0.0,3.9,13.64,0,0,1.9,5.666666666666667,1020.9333333333334,57.666666666666664,1022.0666666666666,9.5
2016-03-17,7.4,14.8,-0.4,0.0,10.9,20.15,0,0,1.8,6.966666666666666,1021.1666666666666,59.666666666666664,1022.2999999999998,2.5
2016-03-18,10.6,18.2,2.0,0.0,5.2,15.27,0,0,1.8,7.466666666666666,1015.4333333333334,51.333333333333336,1016.5333333333333,9.8
2016-03-19,9.8,13.0,8.0,7.0,0.0,3.88,0,0,2.2,11.166666666666666,1008.0333333333333,86.0,1009.1666666666666,10.0
2016-03-20,8.0,9.7,4.7,0.0,0.3,9.79,0,0,2.7,7.533333333333334,1015.7666666666668,74.0,1016.9,10.0
2016-03-21,4.7,8.8,-0.1,1.5,6.9,15.39,0,0,2.4,5.566666666666666,1019.9,61.0,1021.0333333333333,5.3
2016-03-22,7.7,12.8,-1.3,0.0,11.0,19.26,0,0,2.6,6.2,1014.9333333333334,57.333333333333336,1016.0666666666666,4.5
2016-03-23,7.4,11.6,3.5,0.0,0.9,14.63,0,0,2.8,6.033333333333332,1016.4666666666667,59.666666666666664,1017.6,9.0
2016-03-24,4.3,7.6,1.7,4.5,1.6,15.95,0,0,2.4,5.833333333333333,1017.7333333333332,71.0,1018.8666666666667,9.5
2016-03-25,4.0,7.5,0.7,2.5,4.9,14.68,0,0,2.5,5.566666666666666,1020.3333333333334,70.66666666666667,1021.4666666666666,8.5
2016-03-26,4.6,8.9,-0.1,0.0,7.0,10.95,0,0,2.2,5.966666666666666,1020.6666666666666,68.66666666666667,1021.8000000000001,5.3
2016-03-27,5.6,10.4,-0.9,0.0,11.2,21.86,0,0,1.9,6.233333333333333,1018.7666666666668,66.66666666666667,1019.9,3.0
2016-03-28,7.3,12.5,2.1,0.0,11.6,22.35,0,0,2.0,7.166666666666667,1019.7666666666668,67.0,1020.9,2.5
2016-03-29,7.8,13.2,-0.2,0.0,10.0,21.67,0,0,1.9,7.066666666666667,1021.6999999999999,60.333333333333336,1022.8333333333334,5.0
2016-03-30,11.3,18.8,3.3,1.0,8.0,9.45,0,0,3.0,8.466666666666667,1017.4333333333334,64.33333333333333,1018.5333333333333,5.5
2016-03-31,9.5,15.8,3.1,0.0,10.5,22.02,0,0,2.0,7.8,1018.2333333333332,62.333333333333336,1019.3666666666667,4.0
2016-04-01,10.5,18.4,1.7,0.0,9.1,20.52,0,0,2.0,6.633333333333333,1016.7333333333332,46.0,1017.8666666666668,7.5
2016-04-02,12.5,18.7,4.2,0.0,11.2,21.68,0,0,1.7,8.433333333333335,1019.6333333333333,50.333333333333336,1020.7666666666668,3.8
2016-04-03,16.4,23.9,11.9,0.0,4.0,12.92,0,0,2.4,11.299999999999999,1017.8333333333334,63.0,1018.9666666666666,9.8
2016-04-04,8.7,12.8,6.3,15.0,0.0,3.08,0,0,2.2,10.133333333333333,1010.7999999999998,89.0,1011.9333333333334,10.0
2016-04-05,9.1,13.6,5.3,0.0,8.7,23.91,0,0,2.0,8.366666666666667,1013.7666666666668,70.66666666666667,1014.9,2.0
2016-04-06,10.7,14.9,5.2,0.0,8.7,21.2,0,0,2.1,8.266666666666667,1018.8000000000001,61.333333333333336,1019.9333333333334,6.3
2016-04-07,11.8,16.2,8.5,18.0,0.0,2.08,0,0,3.0,11.299999999999999,1006.7999999999998,76.66666666666667,1007.9,10.0
2016-04-08,11.5,15.4,5.8,0.5,1.2,14.81,0,0,1.8,11.566666666666668,1011.4333333333334,83.66666666666667,1012.5333333333333,6.8
2016-04-09,12.8,20.5,4.9,0.0,10.5,22.61,0,0,2.7,9.333333333333334,1011.7666666666668,58.666666666666664,1012.9,5.5
2016-04-10,12.8,20.1,6.2,0.0,5.4,17.01,0,0,2.5,8.966666666666667,1010.1,61.666666666666664,1011.2333333333332,6.3
2016-04-11,5.6,9.2,2.6,13.5,0.3,12.5,0,0,3.2,5.633333333333333,1017.6,61.0,1018.7333333333332,8.3
2016-04-12,6.8,13.4,0.7,0.0,10.4,23.82,0,0,2.0,5.866666666666667,1020.6666666666666,58.333333333333336,1021.8000000000001,5.3
2016-04-13,13.2,22.5,5.0,9.0,5.3,16.96,0,0,1.8,9.4,1011.6666666666666,58.333333333333336,1012.7666666666668,10.0
2016-04-14,13.6,16.9,10.7,6.5,5.5,22.51,0,0,2.7,13.333333333333334,1006.3333333333334,82.33333333333333,1007.4333333333334,7.8
2016-04-15,9.1,11.9,3.1,0.5,6.7,16.53,0,0,3.7,8.1,1017.9666666666667,67.33333333333333,1019.1,4.5
2016-04-16,10.8,19.2,0.9,0.0,11.5,22.18,0,0,1.8,7.233333333333333,1017.5666666666666,51.0,1018.6999999999999,6.8
2016-04-17,17.9,26.7,14.5,0.5,5.0,14.42,0,0,6.9,10.866666666666665,1002.5333333333333,56.333333333333336,1003.6,5.8
2016-04-18,13.8,16.2,8.4,0.0,3.2,11.33,0,0,2.7,10.6,1011.2666666666668,70.0,1012.3666666666667,9.8
2016-04-19,11.0,16.0,5.8,0.0,7.7,12.74,0,0,2.3,9.3,1019.1,72.0,1020.2333333333332,7.0
2016-04-20,11.1,16.4,5.1,0.0,9.2,21.43,0,0,2.2,8.433333333333334,1022.1666666666666,63.333333333333336,1023.3000000000001,7.8
2016-04-21,13.7,20.1,7.8,13.5,1.4,9.22,0,0,1.7,10.6,1010.8000000000001,61.333333333333336,1011.9,9.8
2016-04-22,12.7,16.4,9.2,8.5,1.4,20.17,0,0,1.7,13.799999999999999,1006.7999999999998,88.33333333333333,1007.9,10.0
2016-04-23,14.0,22.4,8.5,0.0,6.9,21.13,0,0,2.1,12.966666666666667,1009.5666666666666,76.0,1010.6666666666666,9.8
2016-04-24,12.3,17.0,6.0,0.0,7.2,19.86,0,0,2.0,9.6,1014.3666666666667,65.0,1015.5,7.0
2016-04-25,11.5,18.0,4.4,0.0,10.6,25.26,0,0,1.9,8.133333333333333,1018.2333333333332,56.666666666666664,1019.3666666666668,4.3
2016-04-26,12.5,18.6,6.1,0.0,12.1,24.41,0,0,1.9,9.1,1016.8666666666667,57.333333333333336,1018.0,5.3
2016-04-27,12.4,17.4,6.1,0.0,9.0,23.64,0,0,2.3,9.9,1011.7000000000002,65.66666666666667,1012.8000000000001,9.8
2016-04-28,12.2,14.4,10.8,24.5,0.0,3.72,0,0,2.0,13.466666666666667,999.0333333333334,89.0,1000.1,10.0
2016-04-29,10.8,12.6,8.9,5.0,2.3,16.02,0,0,4.4,9.733333333333334,1005.3333333333334,74.66666666666667,1006.4666666666667,8.0
2016-04-30,12.2,15.6,7.6,1.5,4.2,12.58,0,0,2.2,9.4,1012.4333333333334,69.0,1013.5333333333333,7.5
2016-05-01,13.5,18.3,10.5,5.5,0.1,6.59,0,0,2.4,13.233333333333334,1013.1,82.33333333333333,1014.1999999999999,10.0
2016-05-02,16.6,23.6,10.8,0.0,7.1,10.97,0,0,1.4,12.5,1017.1,65.33333333333333,1018.1999999999999,8.3
2016-05-03,21.9,29.8,10.8,0.0,7.1,20.66,0,0,4.2,11.5,1007.5,42.666666666666664,1008.5,7.3
2016-05-04,18.3,23.3,11.6,9.0,6.1,14.66,0,0,4.0,11.366666666666667,1002.0666666666666,58.0,1003.1666666666666,8.3
2016-05-05,16.7,20.4,10.5,0.0,11.0,18.25,0,0,4.5,11.199999999999998,1011.1999999999999,61.0,1012.3333333333334,7.0
2016-05-06,16.5,24.2,7.1,0.0,2.8,16.85,0,0,1.8,9.5,1012.1666666666666,47.0,1013.2666666666668,8.0
2016-05-07,15.3,19.6,11.4,6.0,0.2,6.38,0,0,2.1,14.800000000000002,1007.7333333333332,81.66666666666667,1008.8333333333334,8.0
2016-05-08,14.4,18.3,9.0,0.5,13.0,27.7,0,0,2.7,11.566666666666668,1017.6666666666666,68.66666666666667,1018.8000000000001,0.8
2016-05-09,15.2,20.6,7.6,0.0,9.4,23.94,0,0,1.8,11.200000000000001,1013.1666666666666,59.333333333333336,1014.3000000000001,10.0
2016-05-10,16.9,19.5,15.1,0.5,1.2,10.98,0,0,1.6,15.833333333333334,1004.6999999999999,78.33333333333333,1005.7666666666668,9.8
2016-05-11,15.7,19.0,13.5,14.5,0.0,2.67,0,0,4.2,16.333333333333332,999.7333333333332,86.33333333333333,1000.8333333333334,10.0
2016-05-12,13.9,17.3,10.7,0.0,6.7,22.7,0,0,2.3,12.466666666666667,1014.6666666666666,75.66666666666667,1015.7666666666668,3.8
2016-05-13,17.4,24.5,10.3,0.0,10.2,26.44,0,0,2.1,13.866666666666665,1018.1666666666666,68.66666666666667,1019.2666666666668,6.8
