calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.8,11.6,2.2,0.0,8.4,11.94,0.0,0.0,1.1,6.1,1019.4,59.0,1029.7,1.0
2016-01-02,7.7,14.3,1.7,0.0,6.3,9.71,0.0,0.0,1.1,7.2,1015.6,67.0,1025.8,6.5
2016-01-03,10.3,16.2,6.0,0.0,5.8,10.48,0.0,0.0,1.1,9.2,1009.6,71.0,1019.7,5.5
2016-01-04,10.2,16.2,3.8,0.0,6.6,10.15,0.0,0.0,1.3,9.7,1008.5,73.0,1018.6,2.5
2016-01-05,9.4,12.3,5.9,0.0,1.3,4.49,0.0,0.0,1.3,8.0,1011.5,66.0,1021.6,5.8
2016-01-06,9.5,12.8,6.3,0.0,2.8,7.08,0.0,0.0,1.2,8.0,1009.4,66.0,1019.5,10.0
2016-01-07,8.2,12.4,4.4,0.0,3.4,6.0,0.0,0.0,1.5,6.8,1007.4,60.0,1017.5,7.3
2016-01-08,7.8,10.1,3.2,0.0,0.9,5.32,0.0,0.0,2.3,5.8,1007.4,53.0,1017.6,7.8
2016-01-09,7.5,10.8,3.3,0.0,9.2,12.43,0.0,0.0,2.4,4.8,1011.3,47.0,1021.6,1.0
2016-01-10,8.0,11.1,3.0,0.0,5.6,9.9,0.0,0.0,2.2,5.6,1012.3,51.0,1022.5,4.5
2016-01-11,7.5,11.5,1.7,0.0,5.5,9.22,0.0,0.0,1.7,6.3,1010.1,59.0,1020.2,7.5
2016-01-12,7.0,10.6,2.1,0.0,5.4,10.02,0.0,0.0,1.6,6.1,1005.9,61.0,1016.1,5.5
2016-01-13,5.2,10.1,0.4,0.0,2.8,7.36,0.0,0.0,1.9,6.2,1005.9,70.0,1016.2,6.8
2016-01-14,5.9,10.1,1.0,0.0,4.8,10.04,0.0,0.0,2.7,4.9,1007.7,52.0,1017.9,5.3
2016-01-15,6.2,9.6,2.5,0.0,9.5,11.93,0.0,0.0,2.0,4.8,1009.7,51.0,1019.9,5.3
2016-01-16,4.7,10.9,-0.9,0.0,9.1,10.95,0.0,0.0,1.0,5.3,1011.8,58.0,1022.1,1.8
2016-01-17,6.4,10.3,0.9,1.5,4.0,7.45,0.0,0.0,2.2,5.8,1008.5,63.0,1018.8,8.3
2016-01-18,8.7,12.0,3.2,7.5,0.4,2.88,0.0,0.0,3.9,8.4,990.0,75.0,1000.0,10.0
2016-01-19,3.2,5.7,1.2,1.0,1.2,8.63,0.0,0.0,5.6,3.7,999.8,49.0,1010.1,8.0
2016-01-20,4.7,8.8,1.3,0.0,3.8,4.58,0.0,0.0,3.7,5.0,1008.1,62.0,1018.4,4.8
2016-01-21,4.6,8.4,0.0,0.0,4.7,7.04,0.0,0.0,1.3,5.7,1011.6,66.0,1021.9,8.3
2016-01-22,4.9,8.7,2.0,0.0,6.0,12.26,0.0,0.0,2.0,5.6,1012.7,66.0,1023.1,8.0
