calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.7,12.2,3.6,0.0,9.6,12.38,0.0,0.0,4.8,4.9,1020.5,48.0,1026.4,0.0
2016-01-02,8.5,14.8,2.0,0.0,9.1,11.53,0.0,0.0,3.4,6.2,1018.5,57.0,1024.4,5.0
2016-01-03,10.9,16.4,5.6,0.0,4.7,9.24,0.0,0.0,3.6,8.1,1012.4,63.0,1018.2,8.0
2016-01-04,12.1,17.0,6.5,0.0,9.2,12.14,0.0,0.0,4.6,8.1,1010.1,59.0,1015.8,0.0
2016-01-05,11.8,15.5,7.8,0.0,6.6,10.98,0.0,0.0,4.7,6.5,1012.3,47.0,1018.1,5.3
2016-01-06,10.5,13.8,7.9,0.0,0.6,5.53,0.0,0.0,4.0,6.9,1011.1,55.0,1016.9,10.0
2016-01-07,9.4,13.2,5.8,0.0,9.2,12.19,0.0,0.0,5.2,6.5,1008.3,56.0,1014.1,0.0
2016-01-08,7.4,11.7,3.1,0.0,5.5,11.72,0.0,0.0,3.9,5.7,1009.8,57.0,1015.6,3.0
2016-01-09,7.6,12.3,3.8,0.0,9.5,12.54,0.0,0.0,4.3,5.6,1012.8,54.0,1018.7,0.3
2016-01-10,7.7,11.5,3.7,0.0,9.6,12.71,0.0,0.0,5.0,5.5,1013.7,53.0,1019.6,2.0
2016-01-11,7.8,12.3,3.7,0.0,7.0,9.96,0.0,0.0,3.5,6.2,1012.2,60.0,1018.1,9.3
2016-01-12,7.8,10.5,5.4,0.11764705882352941,0.5,4.6,0.0,0.0,2.8,5.5,1007.6,51.0,1013.5,8.7
2016-01-13,6.5,11.0,2.7,0.0,8.2,12.87,0.0,0.0,3.5,4.5,1008.3,47.0,1014.2,2.7
2016-01-14,6.2,9.6,2.3,0.0,8.7,13.06,0.0,0.0,4.2,4.5,1009.5,48.0,1015.4,4.7
2016-01-15,6.1,10.6,3.1,0.15384615384615385,8.6,12.72,0.0,0.0,4.9,4.8,1011.1,52.0,1017.0,4.3
2016-01-16,6.5,11.5,0.7,0.0,9.9,12.82,0.0,0.0,4.1,4.6,1013.1,50.0,1019.0,1.0
2016-01-17,7.2,12.0,0.9,0.5,5.6,9.45,0.0,0.0,2.7,5.7,1013.5,58.0,1019.3,9.7
2016-01-18,9.3,12.2,6.4,11.0,1.8,4.22,0.0,0.0,6.5,9.2,992.0,78.0,997.7,6.0
