calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.9,12.6,-1.5,0.0,9.1,13.113333333333335,0.0,0.0,1.0,10.116666666666667,1017.9,58.666666666666664,1024.2,5.5
2016-01-02,5.8,13.5,-0.1,0.0,7.6,12.783333333333331,0.0,0.0,1.2,10.433333333333334,1017.2333333333335,59.666666666666664,1023.4333333333334,5.15
2016-01-03,7.6,16.1,0.0,0.0,7.8,12.993333333333334,0.0,0.0,0.9,12.533333333333333,1013.0833333333331,70.16666666666667,1019.2666666666668,6.800000000000001
2016-01-04,8.0,15.8,1.0,0.0,9.0,12.13,0.0,0.0,0.9,13.566666666666665,1010.5,68.5,1016.6166666666668,4.5
2016-01-05,8.9,15.5,1.8,0.0,8.4,12.450000000000001,0.0,0.0,1.2,13.433333333333335,1011.7833333333334,65.5,1017.9333333333333,4.55
2016-01-06,7.6,10.4,4.2,0.0,0.1,11.356666666666667,0.0,0.0,0.8,14.35,1011.3833333333333,76.0,1017.5666666666667,8.15
2016-01-07,7.2,12.4,1.7,0.0,5.4,9.786666666666667,0.0,0.0,1.2,12.966666666666667,1007.6500000000001,66.33333333333333,1013.8333333333331,7.550000000000001
2016-01-08,5.1,10.2,-0.3,0.0,9.0,9.453333333333333,0.0,0.0,1.0,11.883333333333333,1009.4499999999999,64.66666666666667,1015.65,5.4
2016-01-09,5.2,10.9,-0.7,0.0,8.8,8.946666666666665,0.0,0.0,1.4,12.116666666666667,1011.7333333333335,67.0,1017.9666666666667,5.9
2016-01-10,6.1,13.0,-0.2,0.0,9.1,9.376666666666667,0.0,0.0,1.3,12.333333333333334,1011.7000000000002,66.33333333333333,1017.9333333333334,5.9
2016-01-11,5.6,9.9,-0.6,0.0,4.3,7.789999999999999,0.0,0.0,1.3,12.049999999999999,1010.8666666666668,68.5,1017.1,9.25
2016-01-12,2.5,5.2,-1.5,0.5,0.0,5.57,0.0,0.0,1.0,13.6,1006.8000000000001,81.83333333333333,1013.0333333333333,8.75
2016-01-13,3.0,9.0,-3.7,0.0,9.1,12.083333333333334,0.0,0.0,1.0,11.5,1007.85,66.5,1014.0833333333335,5.75
2016-01-14,4.4,11.1,-3.0,0.0,9.2,8.723333333333334,0.0,0.0,1.4,11.149999999999999,1008.1166666666667,63.0,1014.3499999999999,5.25
2016-01-15,5.5,10.2,2.2,0.0,5.6,8.473333333333334,0.0,0.0,1.3,11.5,1009.35,70.5,1015.6333333333333,8.0
2016-01-16,6.2,11.2,0.2,0.0,8.8,10.166666666666666,0.0,0.0,1.0,11.383333333333333,1010.7333333333335,69.0,1017.0000000000001,6.050000000000001
2016-01-17,5.0,7.9,1.5,5.5,3.9,9.293333333333335,0.0,0.0,1.2,11.466666666666667,1012.6166666666667,71.16666666666667,1018.85,8.0
2016-01-18,2.0,7.2,-0.7,63.0,0.9,6.37,6.0,6.0,1.5,14.716666666666669,997.0166666666665,85.0,1003.0999999999999,8.75
2016-01-19,3.9,7.2,-0.5,0.5,9.3,12.303333333333333,3.0,0.0,2.3,10.616666666666667,1001.25,59.666666666666664,1007.4333333333333,5.5
2016-01-20,3.2,8.7,-1.8,0.0,9.0,11.396666666666667,1.0,0.0,2.0,9.916666666666666,1005.9166666666666,60.166666666666664,1012.1999999999999,4.65
2016-01-21,3.7,8.7,-2.7,0.0,7.9,9.049999999999999,0.0,0.0,1.3,8.683333333333332,1011.15,57.833333333333336,1017.4666666666667,6.05
2016-01-22,4.2,9.4,-0.7,0.0,9.0,11.5,0.0,0.0,1.2,8.9,1012.0333333333334,58.166666666666664,1018.3000000000001,7.75
2016-01-23,3.3,5.8,0.7,0.0,0.5,7.579999999999999,0.0,0.0,1.3,11.183333333333335,1009.5,70.16666666666667,1015.75,10.0
2016-01-24,2.3,7.5,-3.5,0.0,9.0,12.993333333333334,0.0,0.0,1.9,10.016666666666667,1002.3833333333333,60.5,1008.6666666666666,4.65
2016-01-25,1.4,8.3,-6.1,0.0,9.6,12.023333333333333,0.0,0.0,1.1,9.066666666666666,1010.8833333333333,56.0,1017.25,4.65
2016-01-26,2.5,9.2,-3.9,0.0,9.2,11.86,0.0,0.0,1.3,8.583333333333334,1016.6833333333333,58.666666666666664,1023.0166666666665,2.75
2016-01-27,4.7,12.5,-3.7,0.0,9.6,13.863333333333335,0.0,0.0,1.4,8.616666666666667,1018.5166666666668,58.333333333333336,1024.8166666666666,4.550000000000001
2016-01-28,6.4,13.7,0.5,0.0,9.5,14.116666666666667,0.0,0.0,1.3,9.433333333333332,1019.8333333333334,60.166666666666664,1026.1,0.5
2016-01-29,4.5,6.8,2.2,9.5,0.0,10.24,0.0,0.0,1.5,12.783333333333333,1016.5500000000001,79.16666666666667,1022.7333333333335,6.0
2016-01-30,2.9,4.7,1.0,4.0,0.0,10.020000000000001,0.0,0.0,1.2,13.783333333333333,1012.6833333333333,86.16666666666667,1018.9333333333334,9.65
2016-01-31,5.1,10.3,0.0,0.0,4.8,12.92,0.0,0.0,1.1,12.549999999999999,1013.7499999999999,72.83333333333333,1020.0166666666665,7.4
2016-02-01,4.0,5.6,1.9,0.0,0.0,11.72,0.0,0.0,1.1,12.100000000000001,1012.5333333333333,73.66666666666667,1018.7833333333333,7.9
2016-02-02,5.3,9.9,2.4,0.0,8.0,13.776666666666666,0.0,0.0,1.5,11.850000000000001,1010.2166666666667,71.33333333333333,1016.5,5.8
2016-02-03,4.4,8.4,-0.8,0.0,2.7,13.67,0.0,0.0,1.4,11.25,1012.4333333333334,67.0,1018.7166666666667,6.9
2016-02-04,4.2,9.5,-0.2,0.0,5.7,14.483333333333334,0.0,0.0,1.2,10.483333333333333,1012.6166666666667,65.0,1018.9166666666669,4.3
2016-02-05,6.1,12.7,-1.4,0.0,9.4,16.646666666666665,0.0,0.0,1.3,9.466666666666667,1010.3333333333334,61.666666666666664,1016.5833333333334,4.3
2016-02-06,6.2,9.1,2.0,1.5,1.1,9.92,0.0,0.0,1.4,11.316666666666665,1006.3499999999999,67.83333333333333,1012.5833333333334,10.0
2016-02-07,3.9,9.0,-0.4,0.5,9.1,13.9,0.0,0.0,1.5,11.233333333333334,1008.65,67.66666666666667,1014.9166666666666,6.65
